zhou 770 221 bc	31-34761-S,33-16660-S,33-23962-S
zhou and the warring states 1122 265 bc	71-53443-S
zhou dun yi 1017 1073	13-11974-B
zhou dun yi 周敦頤 周敦颐	17-59471-S
zhou dynasty	13-12517-B,13-28573-S
zhou dynasty 557 581	10-29522-S
zhou dynasty from 1027 bc	13-10567-S,13-10905-S,13-13469-S
zhou dynasty from 661 bc in shanxi	70-34323-S
zhou enlai	14-46395-S
zhou enlai 1898 1976	13-11846-B
zhou enlai 周恩來 周恩来 1898 1976	13-13743-S
zhou family household	13-11506-S
zhou hosting his vassals	15-57374-S
zhou in confucianism	13-13609-S
zhou in shandong	39-30577-S
zhou ji 1781 1839	13-13416-B
zhou libo 1908 1979	13-13678-B
zhou meiling 周美玲 1969 	51-8025-B
zhou of shang 11th century bc	13-61165-S
zhou of the five dynasties 951 960	23-67602-S
zhou of the northern dynasties	13-12376-S
zhou shuren	13-12951-B
zhou state c 1152 1056 bc	13-12042-S
zhou xiaochuan 1948 	13-11683-B
zhou yongkang 1942 	13-13158-B
zhou yu or chou yü 175 210	13-13546-B
zhou zuoren 1885 1967	13-10969-B
zhou 東周 东周 1046 771 bc and western zhou 西周 770 221 bc	13-12517-S
zhou 西周 770 221 bc	13-12517-S
zhou1 overthrows tyrant zhou4 of shang	35-47974-S
zhou4 of shang	35-47974-S
zhou4 紂 纣	22-25674-S
zhoucun area in shandong	13-12716-S
zhoukou district in henan	13-11115-S
zhoukou 周口	68-21418-S,68-21502-S
zhouning place in fujian	13-11617-S
zhouqu place in gansu	53-33447-S
zhoushan city 舟山市 in zhejiang	19-46511-S
zhoushan island	53-33374-B
zhoushan prefecture level city in zhejiang consisting solely of islands	53-33099-B,53-33231-B
zhoushan 舟山市 in zhejiang	31-52842-S
zhouzhi place in shaanxi	13-13839-S
zhouzhuang	13-13904-B,13-13952-B
zhu	32-68308-S,32-68563-S,37-55376-S,46-54683-S,48-3668-S,58-47358-S,63-20489-S
zhu bajie	59-25548-B
zhu c 990	42-36755-S
zhu de 1886 1976	32-68821-B
zhu guanghu 1949 	32-68756-B
zhu jun 195	32-68352-B
zhu ronji 1928 	32-69577-B
zhu wen 852 912	32-68950-B
zhu xi or chu hsi 1130 1200	32-69090-B
zhu yuanzhang	32-68400-B
zhu yuanzhang 朱元璋 posthumous name ming taizu 明太祖	37-61183-S
zhu yuanzhang 朱元璋 reigned 1386 1398	31-22991-S
zhu yun breaks the railing 成语 saw	32-69711-S
zhu yunming 1460 1526	46-54760-B
zhu zhishan 1460 1526	46-54888-B
zhu ziqing 1898 1948	32-69367-B
zhua fan zi quan eagle claw martial art	71-1758-S
zhua pai tiger claw sytem martial art	55-47538-S
zhuan	68-44886-S
zhuan xu	68-44936-B
zhuan xu 顓頊 颛顼	3-49838-S
zhuang	16-37426-B
zhuang and yao autonomous county in qingyuan 清远	62-21149-S,62-21323-S
zhuang autonomous region in south china	23-14691-S
zhuang autonomous region in south china 廣西壯族自治區 广西壮族自治区	10-69439-S,10-69610-S,10-69778-S
zhuang of chu reigned 613 591 bc	34-30497-S
zhuanghe city in liaoning	54-21544-S
zhuanglang place in gansu	54-21611-S
zhuangzi 	54-21172-S
zhuangzi 369 286 bc	54-21442-B
zhuangzi and laozi	54-21853-B
zhuangzi or lao tze and chuang tze	51-30338-S
zhuangzi 莊子 庄子	13-32621-S,23-27144-S
