bangguo	13-2225-S
banging away clumsily in all directions with no overall vision	33-14314-B
bangkok	32-15128-B
bangladesh	19-10190-B,19-10252-B,19-10340-B,34-39670-S,62-52799-S,66-56357-S
bangladesh port city	12-39220-S
bangqing 1856 1894	68-12911-S
bangqing 韓邦慶 韩邦庆	38-15363-S
bangqing 韓邦慶 韩邦庆 featuring serialized novels in classical chinese and jiangsu vernacular	38-15161-S
bangs or fringes of hair	9-42608-B
bangui capital of central african republic	42-46596-B
banish	29-52991-B,58-18732-S
banish from one s thoughts	50-52785-S
banish from the court	59-44809-B
banish to an army post	7-544-S
banish to penal servitude	7-0-S
banishment	38-3682-B,69-56428-B
banister	35-16024-B,35-18089-B
banja luka city in bosnia	22-4989-B
banjo loan	42-46538-B
banjul capital of gambia	42-47305-B
bank	1-52787-S,2-41732-S,2-54078-S,2-58315-S,2-67811-S,3-61438-S,6-27704-S,6-59205-S,8-32981-S,8-57893-S,10-30802-S,10-37991-S,10-70402-S,11-29070-S,13-60498-S,15-7771-S,15-49929-B,15-57032-B,16-7563-B,16-22455-S,19-8019-S,21-38416-B,22-3556-S,22-27671-B,24-26508-S,24-67906-S,24-69852-S,28-40218-S,33-17979-S,35-28330-S,36-53390-S,37-14942-S,37-19800-S,37-21527-S,38-36795-S,38-66622-B,39-2542-S,39-44044-S,39-63780-S,40-2111-B,40-11302-B,43-48286-B,44-62867-B,45-57449-B,53-39716-S,56-24978-S,57-16482-S,59-45990-S,64-28791-B,65-39819-S,65-59408-B,66-14621-S,66-34638-B,67-66767-S,71-9073-S
bank abbr 	2-41900-S
bank abbr for 世界銀行 世界银行	2-42503-S
bank abbr for 中央銀行 中央银行	17-63709-S
bank account	10-37740-S,12-58008-S,26-25596-B,35-59655-S,59-61555-S,61-28399-S,64-28894-S,64-28894-S
bank account passbook	19-8349-B
bank autoteller	28-40367-B,53-2608-B
bank check	29-39055-B
bank debit card	28-40299-B
bank deposit	19-8019-B
bank deposit book	19-7793-B
bank etc	65-35240-S
bank for international settlements	15-17939-B
bank in paris	21-58540-S
bank loan	5-45275-S
bank note	46-63685-B
bank note in jiao units mao	57-45510-B
bank notes	49-22151-B
bank of a body of water	20-49271-S
bank of a river	39-34154-B
bank of china	2-53837-S,2-64206-S,2-64593-B,4-13453-S,21-57142-S,41-50432-S,65-12421-S
bank of china abbr for 中國人民銀行 中国人民银行	17-63709-S
bank of china boc 中国银行	2-81256-S
bank of china icbc	21-54683-S
bank of communications	4-195-B
bank of east asia	33-14590-B
bank of england	54-3723-B
bank of japan	31-9671-B
bank of jordan river	57-16482-S
bank of korea	68-11762-B
bank of new york	53-56561-S
bank or shares	19-7731-S
bank or store	8-57893-S
bank or warehouse	28-38015-S
bank overdraft	62-624-B
bank passbook	56-57798-S
bank president	56-35366-B
bank run	29-25302-B
bank up the roots of plants	55-10048-S
bank vice president	16-21237-S
bank 中国光大银行	7-7805-S
banker	64-29005-B
banker s anti fraud numeral	4-29953-S,4-52755-S,5-10803-S,11-41362-S,16-37845-S,27-53554-S,28-2759-S,33-42586-S,42-37296-S,52-3700-S,59-41860-S,66-32597-S
banker s anti fraud numeral corresponding to 廿	24-49883-S
banker s anti fraud numeral one	16-37710-S,23-25071-S
banker s anti fraud numerals	11-41420-S,52-3823-S,59-41915-S
banker s anti fraud numerals 壹	17-15322-B
banking	3-69953-S,13-57942-S,27-3443-S,58-60201-S,64-14827-B,64-29057-B,64-29109-B
banking corporation hsbc	10-39292-S,10-39377-S
banking crisis	64-15353-B
banking giant	17-56902-S
banknote	46-64055-B
banknote with a value in silver	64-28214-S
bankrupcy	50-62628-S
bankrupt	5-54933-S,5-60303-S,5-61933-S,46-18456-S,46-20325-B
bankrupt and the people dead 成语 saw	19-63585-S
bankrupt person	46-18538-B
bankruptcy	46-18456-B
banks	36-55104-S,37-36174-S,69-28427-S
banma place in qinghai	42-47375-S
banner	13-50407-S,22-34896-B,24-30369-B,26-18644-S,30-68001-S,31-1972-B,31-2322-B,31-2477-B,31-2796-B,31-3316-S,31-4243-B,34-14091-S,50-4867-S,50-36852-S,50-48048-S,53-8318-S,67-16316-S
banner advertisement	23-10883-B
banner advertisment	34-14177-B
banner and yellow battle ax 成语 saw	44-39629-S
banner decorated with animal s tail	30-68043-B
banner headline	18-9712-S
banner of	31-2617-S
banner of baarin züün khoshuu	22-7315-S,22-7402-S
banner on a solitary tree 成语 saw	42-19607-S
banner or aokhan khoshuu	29-65462-S,29-65525-S
banner or aru khorchin khoshuu	66-14076-S,66-14178-S
banner or baarin baruun khoshuu	22-7129-S,22-7217-S
banner or fan	50-48048-S,51-24283-S
banner or kesigüten khoshuu	7-14492-S,7-14584-S
banner or kharchin khoshuu	14-1413-S,14-1703-S
banner or ongnuud khoshuu	51-17038-S,51-17116-S
banner place in inner mongolia	17-56084-S
banner to distinguish an army unit or the name of its general	31-3456-S
banner with falcons	31-4273-B
banners	23-40655-S,31-2669-S
banners and drums 成语 saw	31-4042-S
banners military organization in qing dynasty	7-51551-S
banquet	10-54062-S,17-41246-B,19-60071-B,19-60117-B,19-60286-S,22-26908-B,22-64377-S,27-10032-S,30-9662-S,31-45009-B,39-40126-S,48-22969-B,63-10015-S,63-44716-S,67-17516-S,67-17589-S,69-5255-B,69-5972-B,69-20564-S
banquet etc	60-15313-S
banquet in 961 and persuades his senior army commanders to go home to their provinces	33-13968-S
banquet to taste the peaches of immortality of goddess xi wangmu 西王母	56-17537-S
banquet without permission	61-64816-S
banshee	14-13628-S,14-13737-S
banter	26-21747-S,58-46258-B,58-53108-S,58-53282-S,62-3929-S
banter flirtatiously	26-43949-B
bantustan	42-46720-B
banyan	34-39157-B
banyan tree	34-39106-B
bao	10-13136-S,17-6602-S,23-39368-S,30-27878-S,31-65938-S,70-41945-S
bao an district of shenzhen city 深圳市	20-29157-B,20-29232-B
bao chicken	19-57856-S
bao jia system an administrative system organized on basis of households	5-38017-S
bao quan leopard fist martial art	59-26815-B
bao zheng 999 1062	10-15723-B
baoan ethnic minority	5-35648-B
baoan paoan nationality living in gansu	5-35993-S
baochai	55-22433-S
baochan in anhui	57-7448-S
baode place in shanxi	5-37129-S
baodi place in tianjin	20-29057-S
baoding district district in hebei	5-36308-S
baoding prefecture	38-60319-S
baoding prefecture level city in hebei	5-36235-B,5-36403-B
baofeng place in henan	20-30613-S
baoji chengdu railway	20-29660-B
baoji city 寶雞 宝鸡 in shaanxi	66-26644-S
baojia 1867 1906	33-1964-S
baojia 李寶嘉 李宝嘉 1867 1906	33-810-S
baojing place in hunan	5-41616-S
baokang place in hubei	5-37010-S
baoqing place in heilongjiang	20-29846-S
baosen 1909 1958	34-27683-S
baoshan district district in yunnan	5-36756-S
baoshan place in shanghai	20-29363-S
baoshan prefecture level city in yunnan	5-36682-B,5-36852-B
baosteel	1-52217-B,20-31000-B,20-31043-B
baotou prefecture level city in inner mongolia	10-19342-B,10-19471-B
baoxing place in sichuan	20-30318-S
baoying place in jiangsu	20-29595-S
baoyu	59-53893-S
baozhen	37-5437-S
baptism	11-62439-S,37-53991-B,68-34733-B
baptism christian ceremony	51-48317-B
baptist	30-65939-S,30-66010-S,37-54030-S,38-27100-B
baptist christian sect	38-27570-B
baptiste joseph fourier french mathematician	6-25771-S
baptize	30-65899-B
baptized	11-62439-B
baqing place in tibet	22-10449-S
bar	14-19203-B,20-20744-S,20-61719-S,24-49501-S,30-36390-S,33-52105-S,34-14254-S,34-45644-B,34-45691-B,34-45691-S,34-45791-S,34-45971-S,34-46033-S,34-56307-S,35-8780-B,35-8780-S,35-16422-B,35-17419-B,37-15469-S,37-16583-S,47-32856-S,63-39286-B,63-39652-B,63-40606-B,64-27012-S
bar buoy	38-57145-B
bar down to a fine needle 成语 saw	46-39515-S
bar for fastening a door	26-31348-S
bar gymnastics event	14-19203-S
bar headed goose anser indicus	30-33084-B
bar in software	6-19806-S
bar music	20-68449-B
bar of a computer application	54-29583-S
bar pub	12-67117-S
bar the way	29-32782-S,65-64122-S
bar 成语 saw	1-11646-S,1-11876-S
barabbas in the biblical passion story	22-5986-B
barack obama 1961 	18-13646-B
baradei born 1942 director of international atomic energy agency and nobel laureate	22-6078-S
barb	5-55625-B,36-13665-B,45-62535-B,64-53069-B
barbados	22-5078-B,22-17657-S
barbarian	54-63524-S,56-22898-B,56-23089-S,64-4417-B
barbarian emissary	56-23564-S
barbarian mound	17-69238-S
barbarians	17-68782-S,17-69044-B
barbarous	6-58809-B,64-4363-B
barbecue	41-26911-B
barbecue cantonese style	41-27480-B
barbecue lit roast meat	40-42195-B
barbecue sauce	40-42255-B,41-26960-B,70-38807-S
barbed	22-28143-S
barbed tip e g of fishhook	5-55625-B
barbel	70-47638-B
barbell for weight lifting	34-46181-B
barbeque sauce	38-26707-S
barbequed chicken	40-30996-B
barbequed food on a skewer	3-1370-B
barber	42-57004-S,42-57057-B,42-57107-B
barber s shop	42-57156-B,42-57227-B
barbican	65-51593-B
barbital	22-7926-B
barbitone	22-7926-B
barbuda	19-29345-S
barca 247 183 bc	39-49511-S
barcelona	22-4563-B
barclay or berkeley name	22-3487-B
barclays bank	22-3556-B
barcode	34-14371-B,34-14772-B
bard	58-13959-B
bardi	16-64530-S
bare	32-670-S,56-50298-S,57-11440-S,60-5627-B,60-6827-B,60-6871-B
bare feet	55-8833-S
bare handed and wade rivers 成语 saw	32-159-S
bare hands	24-5460-S,60-6366-S
bare heart into sb else s keeping 成语 saw	28-30682-S
bare hill	21-34112-B
bare in a few words	71-41423-S,71-41576-S
bare one s fangs	13-15469-S,71-55865-S
bare one s teeth	71-55807-S
bare the feet	26-49060-S
bared	7-2453-S
barefoot	60-6634-B,60-6926-B
barefooted	60-6926-B,60-38785-B
barely	6-49828-B,6-49869-B,9-27374-B,21-63540-B,22-1126-B
barely audible	66-50475-B
barely enough	9-66715-B
barely enough to get by	30-18740-B
barely satisfactory	22-0-B
barents sea	22-3230-B
bargain	5-29070-S,16-47322-S,57-62015-S,59-3100-S,63-9606-S
bargain face to face	68-3564-S
bargaining chip	48-43004-B
barge	27-37884-B,35-9909-S,53-37594-B,62-37742-B,69-46345-S,69-46345-S,69-46582-S,69-46968-B
barge hauler	50-31339-S
barge into	29-25510-S
bari sardegna	22-9480-B
baritone	43-44870-B
barium ba	64-35070-B
barium sulfate	46-24724-B
bark	12-66223-S,14-25731-S,34-2332-S,34-61376-S,55-36040-S
bark is worse than his bite	67-22549-S
bark of animals	13-47335-B
bark of the peony tree	3-3094-S
bark out a sound	12-9248-S
barkam county tibetan	69-39786-B
barkam town tibetan	69-39864-B
barkhor pilgrim circuit around jokhang temple in lhasa	7-51247-S
barking	12-9667-B
barkol grasslands near hami in xinjiang	22-9794-B
barkol kazak autonomous county near hami in xinjiang	22-9541-B,22-9636-B
barley	17-42312-B,31-33201-S,41-49763-B,55-21132-S,67-57077-S,71-11086-B,71-13247-B
barley grown in tibet and qinghai	67-57077-S
barline music	20-68517-B
barn	5-51848-B,23-4461-B,47-36726-B,49-113-B,69-37236-B
barn owl tyto capensis	54-15971-B
barn swallow	19-63060-B
barnyard millet echinochloa crus galli	47-30421-B
barometer	31-55636-B,36-27941-B,36-27994-B
barometric pressure	36-27869-B
barometz	64-11655-S
baron	43-46522-B
baron george stanton	30-41967-B
baroque period in western art history	22-9153-B
barrack	29-41550-B
barracks	8-1963-B,41-31272-B,61-341-B
barracuda	34-15809-B
barrage	40-30451-S
barrage of fire	28-15902-S
barred spiral galaxy	34-20563-B
barrel	17-22693-B,34-45267-S
barrel imparting spin to the bullet	5-18028-S
barrel of oil etc	34-8621-B
barreled	66-67843-S
barreled mortar	55-48092-S
barren	2-16542-B,44-18108-B,54-18007-B,54-18247-B,59-36267-B
barren field	55-19449-B
barren hills and treacherous rapids 成语 saw	47-57091-B
barren land	2-16581-B,55-18344-B
barren or uninhabited island	54-17442-B
barren sands of the gobi desert	26-4540-B
barrenness	2-25836-B
barricade	60-44239-S
barrier	16-31025-B,30-26603-S,35-18139-B,52-40838-S,55-35420-S,59-49107-S,62-48636-S,65-53118-S,65-53182-S,66-42217-B
barrier between guanzhong plain 關中平原 关中平原 and han river 汉水 valley	47-24151-S
barrier reef	17-12613-S
barriers for one s defense	29-24997-S
barroso eu commission president	22-9064-S
barrow	21-1321-B,61-20322-S
bars	60-61527-S
bars gymnastics	70-11528-S
bars gymnastics event	66-66606-S
bars of unequal length	34-12669-S
bars one s way 成语 saw	17-50257-S
barshefsky	22-8599-S
bartering not involving money	53-9413-S
barthes semiotician	22-8693-B
bartholomew	22-8263-B
baruch	22-10397-B
baruch name	22-10397-B
baruch or benedict spinoza 1632 1677	30-42789-B
baruun khoshuu	22-7129-S,22-7217-S
barwa himalayan mountain	11-3762-S
barycenter	59-60092-B
baryon particle such as proton and neutron	63-57602-B
bas relief	38-56887-B
basal cell carcinoma	15-68552-B
basal ganglia lesions	15-68429-B
basalt	33-32699-S
basalt geol 	42-27868-B
basay	69-42223-B
base	10-61788-B,10-61842-B,10-61884-B,10-62742-B,15-39856-B,15-66722-B,15-67626-S,15-67812-B,15-69943-B,15-70239-B,16-462-B,22-59972-B,22-60204-B,22-64087-B,26-51252-S,29-25078-S,31-56924-S,32-62760-S,38-23113-S,45-64522-S,46-42751-B,47-50141-S,48-26682-S,49-59821-S,52-43047-B,60-62465-S,61-125-S,62-28709-S,63-31799-B,71-56422-B
base 2	3-42499-S
base a work on some model	5-24153-S
base alkali	23-37021-S
base at fuzhou city in qing times	69-36799-S
base camp	17-21789-B
base chem 	71-4733-B
base electrode in transistor	15-70004-B
base for chinese flagstaff	33-32343-S
base harmonic	16-1316-B
base in baseball	16-34196-B
base in the indian ocean	61-51021-S
base in the tokyo bay	35-10501-S
base insurance group	10-5294-S
base line	15-70239-B
base line in geodetic survey	16-1002-B
base line in sports	22-60933-B
base matter and turn it to gold 成语 saw	71-41263-S,71-42567-S
base metal 成语 saw	71-42276-S
base net in geodetic survey	16-939-B
base number of a tender	34-52804-B
base of a triangle	16-1002-B
base of operations	15-43596-B,15-67626-B,33-64124-B,61-26804-S
base of sauce or gravy	22-60611-B
base of the skull	15-55790-S,52-39165-S
base of the spinal column	70-3525-S,70-3604-S
base oneself on	25-54949-S
base pair	71-5386-B
base pair bp consisting of two complementary nucleotides adenine a 腺嘌呤 paired with thymine t 胸腺嘧啶 in dna	71-5219-B
base pair kbp	10-52662-S
base pairing e g adenine a 腺嘌呤 pairs with thymine t 胸腺嘧啶 in dna	71-5050-S,71-5386-B
base point	15-70239-B
base rock	15-68104-B
base station	16-893-B
base 成语 saw	9-5303-S,20-45227-S,45-11228-S,58-12152-S,61-58233-S
baseball	8-38622-S,8-38622-S,16-34196-S,27-1820-S,34-20836-B,39-37569-S,42-34914-S,43-47485-S,60-35674-S,60-35743-S
baseball circles	34-20413-B
baseball or cricket bat	42-52030-B
baseball team	37-50213-S
baseball world	34-20413-B
based	4-35812-S,53-39927-S,57-36382-S,60-46585-S,66-32706-S,66-32965-S
based chinese input method	63-34431-S
based fantasy world	55-51979-S
based genre in prc acquiring cult status from 2005	25-21482-S,25-21577-S
based in mumbai	20-30383-S
based liquor	54-171-S
based missile	66-33007-S
based on	25-54808-S,33-63967-B
based on 	32-66457-B
based on aesop	14-14139-S,58-33016-S
based on an overall analysis of the illness and the patient s condition	61-38497-S
based on biography	49-2496-S
based on cold noodles in soup	8-23953-S
based on inadequate information	60-14800-S,60-15016-S
based on master s power 成语 saw	42-7048-S
based on nostalgia	24-13666-S
based on novel by jinyong 金庸	46-62196-S,46-63035-S
based on public opinion 成语 saw	31-38042-S
based on radical and stroke count	48-14366-S
based on same essence	56-11272-S
based on share holding	52-9890-S
based on the eight trigrams in legend	7-49886-S
based on the name 成语 saw	24-23191-S
based on the silver tael 兩 两	64-25499-S
based on the subject s face	45-32341-S
based on vernacular folk stories	58-15991-S
based on what is known so far	45-39502-S
based on written evidence	51-34439-S
based upon	60-47568-S
based vanguard group cbvg	53-35536-S
basel city in switzerland	22-4493-B
baseless	54-27164-B
baseless lie	25-55764-B
baseless suspicions	24-36222-B
basement	15-37680-B,15-43890-B
bases in baseball	60-35674-S
bases loaded in baseball	39-37569-B
bash one s head against a brick wall	65-9835-S,65-10101-S
bashful	19-59758-S,24-53972-B,25-58222-B,51-10058-B,51-10304-B,68-4347-B,68-4378-B
bashfulness	52-52821-B
bashi channel across south taiwan	22-4800-B
bashing sideways and colliding straight on 成语 saw	35-9909-S
bashir of the sudan	22-5378-S
bashir president al bashir of the sudan	22-5378-B
basic	8-67768-B,15-66722-B,15-68956-B,32-19593-B,33-64185-B
basic bodily fluids of chinese medicine	36-29955-S
basic concept	15-69359-B
basic course	16-746-B
basic dance position	1-25100-S
basic essence	49-25201-B
basic i e alkaline	71-4781-S
basic issue	16-516-B
basic law	15-69428-B
basic level	15-68042-B
basic meaning	46-46497-S
basic multilingual plane bmp	15-69165-B
basic musical interval	3-50402-S
basic necessity	15-69704-B
basic rate as in isdn	16-817-B
basic requirement	15-69552-S
basic rock	71-5812-B
basic taste	13-15823-B
basic unit of city administration	56-55784-B,57-1358-B
basic word	15-69640-B
basically	15-69022-B,17-41798-B
basics	67-20137-S
basil	3-18823-B,49-29825-B,53-46512-S,55-37341-S
basil and mints	49-29881-S
basil ocimum basilicum	50-55948-S,50-61925-S
basil or wild red basil	55-37341-S
basilar artery central artery of the brain	15-68330-B
basilicum	50-55948-S,50-61925-S
basin	14-49028-S,36-44884-B,37-54498-S,38-2799-S,40-44338-S,45-1642-B,50-49735-S,64-24406-S,71-20720-S
basin around turpan in xinjiang	4-50395-S
basin around urumqi in xinjiang	4-50755-S
basin depression in southern xinjiang	16-18302-S
basin depression northeast of the plateau of tibet	33-51273-S
basin depressions of china	14-48086-S
basin for washing hands and face	37-54338-B,52-52308-B
basin in inner mongolia	3-42006-S,3-42414-S
basin in northeast of tarim basin	40-44338-S
basin in southern xinjiang	16-18224-S
basin in xinjiang between the altai and tianshan ranges	39-17075-S
basin internal to ilium	70-4032-S
basin low lying geographical feature	45-1722-B
basin of tianshan mountains	22-10510-S
basin on one s head 成语 saw	26-23741-S
basin 四川盆地	63-15370-S
basiralis	56-6913-S
basis	3-26689-S,5-25183-B,6-1337-S,16-462-B,26-60495-S,32-60330-B,33-63839-B,33-63967-B,62-2234-S,62-51460-B
basis of	15-68873-S,27-62634-S
basis of ability and integrity	4-41706-S,4-44001-S
basis of households	5-38017-S
basis taxation	57-29018-S
bask in the light	37-25839-S
basket	10-37047-B,28-41376-S,28-41417-S,30-35308-S,33-55000-B,48-3950-S,48-20143-B,48-22458-S,48-22809-B,48-23673-S,48-32727-S,48-35680-S,48-35714-B,48-41833-B,48-41911-B,48-43734-S,48-44105-B,48-44224-B,48-44513-S,48-45014-B,48-45043-S,50-51383-S,50-54119-S,55-1272-S,55-7182-S,55-47092-S
basket carried on the back	52-18190-S
basket couch in coffin	34-27101-B
basket e g for dimsum	55-2101-S
basket for carrying earth	55-9898-B
basket for carrying soil	48-39149-B
basket for chopsticks	48-45096-S
basket for cooked rice	48-35823-S
basket for draining rice	48-43774-B
basket for flowers	12-44003-S
basket for fruits	48-44796-B
basket for removing earth	34-15726-B
basket for straining	48-32628-B
basket for trapping fish	48-13629-B
basket for washing rice	38-42546-B
basket made of rush	48-43909-B
basket of bamboo	48-35521-S
basket of brides	48-13676-S
basket of fertile agricultural land	49-113-S
basket or pan used for earth	43-53125-S
basket tray	48-13798-S
basket used in state worship	48-35918-B
basket used to serve dimsum 點心 点心 such as jiǎozi 餃子 饺子	48-44105-S
basket 蒸籠 蒸笼	8-43664-S
basketball	2-83342-S,43-45604-S,48-42044-B,55-5530-S
basketball court	48-42088-B
basketball player	42-35782-S
baskets	48-35143-S
basketwork	45-11848-S
basophil granulocytes rarest type of white blood cell	14-24802-B
basque	22-6485-B
basque country	15-49396-S,22-6485-S
basque language	22-6552-B
basque region of spain	4-47530-S
basque separatist group	15-57798-S
basra city in iraq	22-4737-B
bass	4-70272-B,4-70309-S,4-70468-S,26-32832-S,70-49058-B
bass bass guitar technique	29-19373-S
bass drum	17-42756-S
bass guitar	23-35287-S,59-29760-B,59-29828-B,67-37815-S
bass guitar technique	29-19373-S
bass loan	59-29760-B
bass lute	17-38312-S
bass music	43-44975-B
bass tuba	4-70395-B
basset hound	46-0-B
basseterre capital of saint kitts and nevis	22-6688-B
bassoon	22-7036-B,67-252-S
bastard	16-34670-S,16-34837-S,16-34941-B,16-35207-B,17-12837-B,21-17770-B,23-785-B,38-55224-B,39-8428-B,42-33182-S,47-13041-B,47-13130-B
bastard carp	70-45447-B
bastard insult	42-33267-B
bastard lit cunt	56-61089-S
bastia french town on corsica island	22-6785-B
bastille paris	22-4674-S
basu place in tibet	7-50673-S
bat	3-12021-S,27-29273-S,29-19847-S,42-51980-B,42-52030-S,56-7286-B,56-7313-B,56-7542-B
bat an eyelid	1-73359-S
bat pteroptidae	42-6787-S
batang town in kham prov of tibet	22-4420-S
batatas	43-15161-S
batch	26-58164-B,29-11465-B
batch file	26-57496-B
batch number	26-57549-B
batches	26-56691-S
batches or groups	8-53309-S
