beat music	48-28923-B
beat nearby drum	30-14214-S
beat of percussion instrument	71-37621-B
beat one s chest	28-8650-S
beat one s chest and stamp one s feet 成语 saw	28-8706-S
beat rhythmically	28-53025-B
beat sb	30-13589-S
beat the breast	29-23334-S
beat the night watches	28-34363-B
beat the powerful from a position of weakness	4-37233-S
beat time by slapping one s thighs	28-53309-S
beat to death	26-46076-S
beat up	27-49482-S,28-35759-B,36-3228-B,36-7434-B
beat with a stick but offer a carrot	18-48850-S
beat with the fist	28-8440-B,28-57865-B
beaten	11-60213-B,27-68293-S,44-6298-B,46-17659-B,69-8223-S
beaten black and blue	62-42714-B
beaten egg and green leafy vegetable	55-60959-S
beaten in a contest	30-98-S
beaten track	2-27077-S,4-16593-S,26-11894-S,41-16816-B,42-21881-S,51-30851-B
beating	27-68149-S,27-68576-S
beating about the bush	65-25835-B
beating of drums	69-51339-S
beating of heart	52-29663-B
beating the chest 成语 saw	60-34829-S
beatles	27-12128-S
beatrix name	59-29497-B
beats down	40-41942-S
beats in a measure of music four beats in the bar 成语 saw	1-11876-S
beats in a measure of music two beats in the bar 成语 saw	1-11646-S
beats in the bar 成语 saw	1-11646-S,1-11876-S
beats reading a thousand books	56-34692-S
beaufort sea off alaska and british columbia	37-38456-B
beautician	51-9518-B
beauties of ancient china	2-55115-S,14-48176-S
beautiful	5-11423-B,6-18708-S,18-34115-B,18-36988-B,18-51048-B,18-51169-B,18-55314-B,18-55571-B,18-57267-B,18-59644-B,18-61022-B,19-0-B,25-62840-B,31-23121-S,39-43084-B,43-2627-S,43-7605-B,45-50905-S,47-11670-B,48-1209-S,48-51556-B,50-11431-B,50-11649-B,50-26140-B,51-1460-B,51-2408-S,51-5880-B,51-8990-B,51-9584-B,53-46386-S,54-37840-B,55-27915-B,64-45750-B,71-9480-B
beautiful and good	51-2540-B
beautiful and heart warming	41-42078-B
beautiful article honorific	55-45775-S
beautiful calligraphy	5-11073-B
beautiful can be imagined 成语 saw	51-1500-S
beautiful daughter of duke mu of qin 秦穆公	42-29584-S
beautiful day	53-56819-S
beautiful eyebrow and white teeth 成语 saw	56-1834-B
beautiful flowers	18-25983-B
beautiful food	51-9399-B
beautiful girl	35-61606-B
