bird like	4-62958-B
bird like dinosaur	4-63001-B,12-4524-S
bird like dinosaur found in erlian in inner mongolia	3-42070-S
bird like dinosaur found in liaoning province	63-4695-S
bird like sinbad s roc	69-50514-S
bird name	71-63-B
bird net	50-55094-B,50-55211-B,50-61561-B
bird of prey	17-42165-S,42-12233-B
bird or animal	29-36959-S
bird or reptile	37-28100-S
bird resembling a duck	71-1973-S
bird resembling a mandarin duck	71-2033-S
bird s egg	70-49432-B
bird s eye view	45-60127-B,45-62208-B,70-50420-S
bird s nest	70-49629-B,70-50528-B
bird s nest soup	41-29165-B
bird s wings	51-24191-S
bird shotgun replaced by cannon 成语 saw	70-49821-B
bird species	47-10598-B
bird startled by a bowshot 成语 saw	69-60774-S
bird that pokes its head out 成语 saw	34-44552-S
bird watcher	45-39958-S
bird whose feathers can be used as poison	70-53455-S
bird with one eye and one wing	70-59178-S
bird wounded by an arrow 成语 saw	6-44103-S
bird writing	70-50856-B
bird zhen 鴆 鸩	70-53553-S
birdbath	70-50017-B
birdcage	70-50662-B
birdcatching	50-8972-S
birdhouse	70-49586-B
birdie	21-2768-B
birdie one stroke under par in golf	11-9886-B
birds	13-10260-S,13-53678-S,13-57355-S,14-23292-S,14-43546-S,31-15453-S,34-24098-S,42-43586-S,46-53843-S,46-53903-S,47-10331-B,47-10598-B,47-10650-B,50-51304-S,51-19864-S,52-19374-S,66-52266-S,70-39097-S,70-51202-B,70-51242-S,70-52799-S,70-54425-S,70-57214-S
birds and animals	47-10417-B,68-64468-B
birds and beasts	68-63289-B,70-50071-B,70-50129-S
birds and certain animals	66-51818-S
birds and dig for rats 成语 saw	50-58184-S,50-62628-S
birds and flowers	53-61711-S
birds are over	70-50338-S
birds literary school around 1900	70-54593-S
birds of a feather	53-16426-B
birds of a feather flock together	41-52789-B
birds of prey	71-310-B
birds of the air	68-63289-S,68-64468-S
birds or fish	50-51120-S
birds or insects	14-35627-S
birds such as ostriches	60-13046-S
birdsong	31-46877-S
birdsong and fragrant flowers 成语 saw	70-50916-S
birmingham	4-58764-B
birth	8-42457-S,8-42529-S,31-14833-S,32-36521-S,42-19987-S,43-17960-S,43-18484-S,43-29051-S,43-30965-S,43-31059-S,43-31114-S,43-31781-S,43-31973-S,52-61362-S,58-23712-B,67-13108-S,69-10328-S
birth and death of historical figure	43-18778-S
birth canal	45-1977-B
birth canal in obstetrics	43-33099-B
birth certificate	8-42724-B,8-42809-B
birth clinic	18-54868-B
birth control	48-29895-B
birth data for astrological purposes	43-30163-S
birth defect	7-3722-B,7-22582-S,8-42653-B,20-12671-S,35-63350-S,44-198-B,44-266-S,46-5487-S,68-44486-S
birth i e entering the second month	23-51343-S
birth late	31-44868-S
birth name of qing emperor guangxu 光緒 光绪	61-7463-B
birth of a savior or religious leader	66-17361-B
birth of the children in a family or to indicate affection or familiarity	51-24509-S
birth place	2-69920-S
birth rate	43-29146-B
birth to	43-18022-S
birth to a child	18-51204-S
birth twice	3-39255-S
birthday	11-42687-S,27-45332-S,31-16363-S,39-38947-S,43-21164-B,43-21207-S,43-30118-B,51-51044-S,55-24118-S,58-23712-B,58-23818-B,62-47365-S
birthday cake	43-21278-B
birthday celebration	16-38309-S
birthday congratulations	46-54829-B
birthday felicitations	27-45332-S
birthday honorific	54-36298-S
birthday noodles for longevity	16-39693-B
birthday of a child	31-47177-S
birthday of an old person	16-39419-B
birthday of reigning emperor	51-51044-B
birthday of the flowers	53-56986-B
birthday of the flowers on lunar 15th february and mid autumn festival on lunar 15th august	53-56819-S
birthday peach bun	16-38780-B
birthday present for an old person	16-39035-B
birthday suit	1-17545-S
birthmark	44-15283-B
birthplace	8-42401-B,11-35097-B,44-30791-B,48-43607-S
birthplace of confucius in shandong	63-25009-B
birthplace of sth good	44-32137-S
birthrate	8-42598-B
birthright	43-21348-B,65-13021-B
birthwort family of flowering plants	69-33576-S
biscay spanish mare cantabrico	15-49653-S
biscuit	53-51916-S,55-39068-S,69-9969-B,69-13790-B
bisexual	7-44775-B,66-65515-B
bisexual person	66-61462-S
bisexuality	66-65515-B
bishan county county in sichuan	16-31178-S
bishkek capital of kyrgyzstan	36-9102-B
bishop	3-5751-B
bismarck 1815 1898	5-51329-S
bismarck name	5-51329-B
bismarck on politics	12-13833-S
bismuth bi	64-23363-B
bison	64-3894-B
bissau	22-57184-S,36-11579-S
bissau capital of guinea bissau	36-11579-B
bisu	59-29760-S
bisyllable	67-2621-B
bit	1-23305-S,1-23371-S,1-23850-S,1-26352-S,4-66330-B,10-61685-S,21-5161-S,21-25116-S,26-47344-S,29-15891-S,32-29469-S,37-9879-S,43-55990-S,47-30071-S,47-39480-S,49-14768-S,49-54566-S,65-9023-S,66-33785-S,67-61442-S,71-40432-S,71-43396-S
bit and pieces	67-21884-B
bit and understand everything 成语 saw	58-62318-S
bit bigger	17-4027-S
bit by bit	1-23371-B,21-25116-S,47-39480-S,66-33785-B,71-43396-B
bit different	21-63540-S,22-1126-S
bit earlier	31-13043-S
bit of everything	67-3542-S
bit off	2-14428-S
bit on the side	12-7123-S
bit or 2 bytes	4-66195-S
bit reluctantly	20-36775-S
bit sticking out	47-54103-B,47-54181-B
bit then give up	31-40189-S
bit to give it a try	1-399-S
bit too much	32-56503-S
bitch	36-4130-B,36-4180-B,42-33267-S
bite	13-27859-B,13-28629-B,13-57398-S,14-36056-S,67-22549-S,71-41922-S,71-56286-B,71-56525-B,71-56606-S
bite off more than one can chew	59-38910-S
bite the bullet	13-29180-S
bite the teeth tightly 成语 saw	13-29180-S
bite words and chew characters 成语 saw	13-28961-S
bites does not show its fangs 俗语 saying	13-28660-S
biting	26-22403-S,26-22970-S,26-23057-S
biting cold	8-27564-B
biting criticism	61-33382-S
biting talk	8-23291-S
biting words	9-12686-B
bits	27-54589-S,46-21400-S,67-5049-S
bits and piece	1-26568-B
bits and pieces	1-23039-S,1-28895-B,49-31933-B
bits and pieces left over	63-12993-B
bits and pieces of industrial	63-13072-S
bits and pieces 成语 saw	67-20251-S,67-20412-S
bits e g 十六位 16 bit or 2 bytes	4-66195-S
bits in binary coded decimal	69-16778-S
bits of news	53-59578-B
bits of rubbish	13-57209-B
bits to make a whole	39-9784-S
bitten by a snake in one year	1-8019-B
bitten twice shy	24-1970-S
bitter	14-42924-B,25-47825-B,25-48091-B,53-66869-B,61-33591-B,71-4146-S
bitter about unbearable grievances	36-25204-B
bitter and astringent	53-67703-B
bitter anguish	8-62770-B,37-6707-B
bitter cold	14-41715-B
bitter fighting	64-56791-B
bitter gourd	53-67772-S
bitter hardship	12-68624-B,54-12879-B
bitter hatred	8-63613-B
bitter laugh	54-45-S
bitter melon bitter gourd	53-67772-B
bitter smile	25-48267-B
bitter sweet	54-0-B
bitter taste	53-66925-B
bitter taste in wine	63-51155-B
bitter truths	61-67948-B
bitter 成语 saw	53-43202-S
bitterly	35-56623-S,44-14085-S
bittern	71-3553-B
bitterness	8-22659-S,53-66925-B
bittorrent bt	71-39211-B
bituminous	40-15563-B
biwu 1886 1975	54-59553-S
biyang place in henan	37-28945-S
bizarre	18-1110-B,22-20220-B,23-27144-B,40-49341-S,47-27637-B
bizkaia or vizcaya	36-10694-B
bjorn borg 1956 	11-7862-B
bk97	64-42889-S
bkar dgam pa sect of tibetan buddhism	14-38635-B
blab	16-55160-S,41-36428-S
blab mouth	41-36428-S
black	37-23999-S,38-39988-B,39-44000-S,40-34336-B,40-40223-B,40-40223-S,42-26942-B,42-28578-S,42-29349-B,44-58549-B,44-58592-B,67-53725-S,70-859-S,71-26541-B,71-28837-B,71-32639-B,71-34558-B,71-37517-B,71-43615-S,71-45763-B,71-45791-S,71-46016-S
black and blue	62-42714-S
black and shining ebony	71-43478-B
black and white	14-20908-B,38-54784-S,44-43840-S,71-31673-B
black and white in tv screen setup	20-51591-S
black and white picture	14-20981-B,14-21078-B
black and white tv	71-31749-B
black and white 成语 saw	68-45759-S
black armband	52-51854-B
black bean	59-18118-B
black bean sauce	59-18118-B,59-18179-B
black bear ursus thibetanus	71-31498-S
black billed magpie pica pica	14-9957-B
black body radiation in thermodynamics	71-33746-B
black box	69-349-B,69-443-B,69-533-B,71-29158-S
black brick kiln	71-32093-S
black carp mylopharyngodon piceus	67-59925-B,71-34021-B
black chicken	40-38767-B
black cloud	40-38812-B
black coal	71-31407-B
black color	71-37556-S
black core flaw in pottery	71-30083-B
black devil derogatory term for black or african person	71-33888-B
black drongo dicrurus macrocercus	70-57954-B
black dwarf pejorative term for non han people	46-1835-B
black dwarf star	71-32032-B
black dye for painting the eyebrow	71-37341-S
black eagle	71-769-B
black ewe	51-9809-B
black eye 成语 saw	71-52242-S
black eyed bean	59-18329-B
black eyed beans	59-18280-B
black fish archaic	70-46351-S
black flag army	71-30250-B
black forest	71-30633-B
black forest gateau	71-30702-B
black fox vulpes alopex argentatus	42-28042-S,64-27836-S
black hair	50-25992-S,67-57283-S,70-27944-S,71-33840-S,71-45976-S
black headed gull	49-8818-B
black heart	71-30083-B
black henbane	54-23737-B
black hole	71-31212-S
black horse	69-57230-B,69-64814-B
black horse of the herd	19-59922-S
black horse of the herd 成语 saw	19-59609-S
black horse with a white face	69-51423-B
black horse with white legs	69-56994-B
black horse with white mane	66-62052-B
black jade	42-37296-B
black kingfish rachycentron canadum	60-65484-S
black lead	46-5340-B
black locust tree robinia pseudoacacia	37-50816-B,37-50892-B
black make up	45-37042-S
black mane	69-54157-S
black market	71-29889-B
black millet	47-25815-B
black mountain	71-29709-B
black naped oriole oriolus chinensis	71-25440-B,71-25522-B,71-30475-B
black necked crane grus nigricollis	71-33482-B
black olive canarium tramdenum	35-19622-B,40-36709-B
black or african person	71-33888-S
black out	31-58288-S
black ox	42-1729-B
black patches	48-4094-S
black pepper	71-32582-B
black person	71-29012-B
black pigment	71-32397-B,71-32677-B
black pongee	49-56210-S
black pottery	4-40584-S,4-40687-S
black ram	51-14560-B
black register of lost souls	71-32313-B
black sea	71-31269-B
black sea in russia	49-26506-S
black sheep of the family	19-59609-S,19-59922-S
black silk	50-13985-B
black smoker	38-50475-B
black soy sauce	66-65792-B
black soya bean as animal fodder	30-35507-S
black spots on body	71-46181-B
black stone like jade	43-2947-S
black tea	49-12786-B
black tiger fist martial art	71-33113-S
black tortoise the seven mansions of north sky	42-27749-S
blackberry	37-39632-S,71-32951-B,71-32995-B
blackberry vine	54-16353-B
blackbird	40-40126-B
blackboard	33-30021-S,71-30431-B
blackboard eraser	33-29870-B,33-29920-B
blackburn	22-17225-B
blackcurrant	71-29101-B,71-32877-B,71-33427-B
blacken	38-28110-B,71-46223-B
blackfish	71-33979-B
blackfly	55-57800-B
blacklist	71-29221-B
blackmail	9-67666-S,9-67721-B,30-13972-B,30-14069-S,58-254-B,58-6544-S,71-29058-B
blackout	31-63185-B
blacksmith	65-2433-B
blacksmith name	22-17134-B
bladder	38-40489-S,52-23878-B,52-35015-B,52-46039-B,52-46121-S,52-46121-B,52-50455-S,52-50522-S,70-39007-S,70-47025-S
bladder of fish	70-37792-S,70-47025-S
bladder qi4 transformation in traditional chinese medicine	52-46181-B
blade	8-48173-S,8-48471-B,8-48933-S,9-5800-S,11-26158-S,20-26291-S,52-12668-S,52-20061-S,54-8989-S,64-35534-S,64-41192-S,66-64114-S,68-53926-S,68-62579-S,70-4242-S
blade edge	64-50108-B
blade of grass grows	20-31799-S
blade of propellor	54-52052-B
blade of tongue	53-30017-B
blade to cut grain	65-1475-S
blades	46-39298-S,65-1161-S
blah	46-38799-S
blah blah	46-38799-B
blair name	22-17354-B
blaise pascal 1623 1662	22-22934-B
blame	2-14385-B,4-42763-S,8-63170-S,13-26215-B,13-27606-S,15-60670-S,23-28402-S,24-63687-B,24-64394-S,24-65619-S,27-68229-S,27-69292-S,28-30146-S,30-37735-B,35-53731-B,43-43287-S,43-44762-S,50-51478-B,58-4751-S,58-24725-S,58-63808-S,59-32156-S,59-40368-S,59-40521-B,59-40785-S,59-40842-S,59-61271-S,61-22363-S,67-68550-B
blame it	24-64501-S
blame often oneself	57-29882-S
blame on	66-32188-S
blame oneself	53-14746-S
blame others	18-57952-S,28-30300-S,28-32176-S
blame sb	35-55255-S
blame sb else	59-62463-S
blame sb wrongly	64-48067-S
blamed	52-18967-S
blamed for	59-32336-B
blamed for failures of chinese communists from 1927	21-57879-S
blamed for sb else s faults	32-17639-S
blaming the other	3-45685-S
blandishments	53-60773-B
blangah	45-23708-S
blank	25-43564-B,34-31122-B,44-35806-B
blank character in chinese text	47-47852-B
blank character □ punct used to represent an unreadable character	55-53645-S
blank exam paper	44-37112-B
blank face	40-61310-B
blank film at the beginning and end of a reel	41-44603-S
blank minded	6-2637-B
blank on a form	16-22101-S
blank space	47-48810-B
blank spaces in writing	43-50974-S
blank squares for writing practice	4-45729-S
blank stele	40-49737-B,44-43400-B
blank vote	44-43528-B
