down with worries	50-45742-S
down 成语 saw	4-26987-S,5-56342-S,5-56503-S,5-56663-S,46-62766-S,57-50806-S
downcast	4-68278-B,4-69440-B,25-10903-B,40-25659-B,40-59265-B,54-42277-B
downcast wretch	14-12922-B
downfall	5-60303-B,37-11648-B
downhearted	24-34298-B,24-34377-B,40-25659-B
downhill	1-59077-B,8-41270-S
downhill whereas man struggles upwards	36-41067-S
downing street london	13-51440-B
download	1-63312-S,66-49291-S
download a form of malware boobytrap	66-49291-S
downpour	6-48343-S,6-48408-S
downright	59-60455-B
downs	60-15773-S,60-17873-S
downs of life	66-42000-S
downs success or failure	70-11362-S
downstairs	34-50664-B
downstream	1-60832-B
downstream freezes more than upstream	8-26032-S
downstream to upstream because of blockage	5-58954-S
downtown	13-59930-B,22-11619-B,22-12037-B,70-29516-B
downtown tokyo	39-5771-S
downward	12-62115-B
downwards	1-57993-B
downwards left curved character stroke	29-5130-B
downwards right concave character stroke	28-9605-B
downwards right concave hooked character stroke	30-36722-B
downwards right convex character stroke	71-37621-B
downwards starting right angle character stroke	59-19061-B
downwind	61-46599-B
down’s syndrome	13-52254-B
down’s syndrome child	13-52186-B
dowry	17-53961-B,66-23189-B
dowry contract	18-53337-B
dowry money given by the bride s family to the groom	18-57752-B
doyle 1859 1930	33-47589-S
doyle name	16-53220-B
doze	6-7661-S,45-32614-B
doze off	14-63179-B,26-47136-S,26-47274-S,26-49121-S,45-54220-B,45-58231-B,45-58268-S,45-58301-S
dozen	1-9216-B,26-40295-B,39-30442-S
dozen of the other	11-50697-S
dozen or more	10-46834-S
dpp democratic progressive party	36-18678-B,36-23110-B
dr dong feng 董奉	33-6563-S
dr hans christian jaochim gram 1953 1938	68-5161-B
dr sigmund freud 1856 1939	23-31822-B
dr sun yat sen	2-69526-S
dr sun yat sen 1866 1925	19-14369-B,19-15769-B
dr sun yat sen s birth place	2-69920-S
dr sun yat sen s mausoleum in nanjing	2-70349-B
dr sun yat sen s 孫中山 孙中山 three principles of the people late 1890s	1-36440-B
draba nemerosa bebe carpa	54-60745-B
drabanemerosa hebecarpa	55-35526-B
drabs	71-43396-S
draco constellation	17-55606-B
draft	5-48156-S,20-23168-S,24-23142-B,29-27569-S,29-27998-S,30-30090-B,36-28910-B,47-36416-B,47-36470-S,47-48423-B,50-41818-S,50-41984-S,54-14500-S,54-15359-B
draft a bill	60-17810-B
draft a plan	29-26964-S
draft a statement	29-27840-S
draft assisted furnace for smelting metals	71-48923-S
draft for military service	24-22725-S
draft history of the qing dynasty	38-59598-B
draft legislation	54-15112-B
draft manuscript	26-47716-S
draft of a document	47-36558-B,54-13738-B
draft of book	63-3501-S
draft of wind	71-48793-S
draft of writing	9-953-S
draft paper	47-36649-B
draft remittance	46-63799-B
draft resolution	28-40037-B
draft unequal treaty of livadia crimea of 1879 between russia and qing china	63-55025-B
drafting	15-24751-S
draftsman	60-18689-B
drafty place	68-53825-B
drag	27-20397-S,27-36848-S,27-46984-S,27-53469-B,27-53525-B,28-14841-B,29-1105-S,32-6888-B,47-48636-S
drag along	26-53284-B,27-35188-S
drag away	27-37519-B
drag in	27-37745-S
drag male to female	43-46282-S
drag net	50-52595-B
drag on sb	27-36036-S
drag out	27-37789-B,27-67710-B
drag out a lesson	27-35787-S
dragged down by having a family to feed	27-35597-B,27-35941-B
dragging brush stroke in painting	27-35188-B
dragnet	27-37418-S
dragnet of the law	67-13531-S
