errors often imaginary	26-58460-S
errors or lies 成语 saw	58-58538-S
errors or misconceptions	69-47057-S
errors 成语 saw	56-56545-S
ersatz	6-8841-B
erudite	11-7086-B,11-9379-S,11-9608-B,11-10178-B,11-10353-B,18-27872-B,19-18257-B,38-52474-B,69-7772-B
erudite and informed	11-6334-B
erudite and multi talented 成语 saw	11-7134-B
erudite person	32-10848-S
erudition	11-10178-B,19-19599-B,28-13280-S,62-14028-B
erupt	14-37409-S,41-34704-S
erupt simultaneously	5-12078-B
eruption	14-37409-S,40-20952-S
erwin name	35-27963-B
erwin schrödinger 1887 1961	55-22262-B
erxun 1844 1927	60-29941-S
erya the first surviving chinese dictionary	41-43419-B
erysipelas	3-2654-B
erythema	44-21147-B
erythema pathol 	49-9692-B
erythematosus	49-9765-S
erythrocyte	49-12160-B,49-13068-B
erythromycin	49-13829-B,49-14141-B
erythropoietin epo	49-13140-B
eryuan place in yunnan	37-62822-S
es	49-40484-S,65-5777-S
es salaam city in tanzania	62-54869-S
es99	64-51974-S
esa	35-29916-B
escalade	67-18468-B
escalate in intensity	10-53465-S
escalation	62-2439-B
escalator	53-2393-B,53-2783-B
escape	3-19538-S,22-51071-S,47-58805-B,52-32243-S,52-34409-S,60-19224-S,60-35466-S,61-64273-S,61-64679-S,61-65269-S,61-65313-S,61-65469-B,61-65514-S,61-65586-S,61-65651-B,62-33208-B,62-34869-S,62-67157-S,63-5989-S
escape a problem	37-11802-S
escape danger	52-34561-S,63-7865-S
escape from	62-26361-B,67-11634-S
escape from a famine	61-65368-S
escape from calamity	17-39886-S
escape from danger	8-46665-S
escape from infatuation or addiction	45-46308-S
escape from prison	61-65086-S
escape into exile	8-38091-S
escape poverty	52-35335-S
escape the dragnet of the law	67-13531-S
escape the net of justice	37-32825-S
escape to faraway places	62-63022-S
escape velocity	19-20954-B
escape without trace 成语 saw	61-64325-S
escaped criminal	61-65036-B
escaped the net 成语 saw	39-44860-S,39-44979-S
escaping laughter	14-34345-S
escherichia coli e coli	17-32250-B
escort	51-15708-S,59-5368-S,59-5426-S,59-5610-S,59-5666-S,65-7233-B
escort a criminal under guard in former times	62-59938-S
escort of travelers or merchants caravans	64-58439-S
escort the bride	61-45175-S,61-45175-S,61-45804-S,61-45804-S
escort the emperor	5-41808-B
escorting bride to new home	18-57178-S
escudo unit of currency	15-58824-B
esculenta	53-49002-S
eshan yizu autonomous county in yunnan	21-39092-B
eskimo	25-35368-B,25-35432-B
eskimo 愛斯基摩人 爱斯基摩人	14-61639-S
esophageal cancer	69-4314-B
esophagus	69-3216-B,69-4271-B
esoteric buddhism	20-4554-B
esoteric lore	46-52469-B
esp a crime	68-30581-S
esp a woman s	60-56148-S
esp about celebrities	62-33258-S
esp actors salary in former times	10-19084-S
esp after childbirth	56-25196-S
esp an ethnic group	51-54296-S
esp as an object of unscrupulous exploitation	36-22610-S
esp as daoist priest or buddhist monk	23-15234-S
esp as paid stooge	28-6319-S
esp between lovers	26-43795-S
esp bright white teeth of youth or white hair of old age	44-63136-S
esp buddhist	5-5350-S
esp by donkey	60-29054-S
esp cantonese	14-39323-S
esp catholic	46-61059-S,51-44267-S
esp character or action	10-62808-S,10-62946-S
esp chinese communist party	71-43965-S
esp christian	58-57150-S
esp computer	57-48626-S
esp confucius	51-46559-S
esp corrupt	65-10751-S
esp daoist	31-28850-S
esp divine	22-58590-S
esp during the warlords period	10-33527-S
esp during ww2	27-4994-S
esp durio zibethinus	34-42363-S,34-42559-S
esp economic	4-69803-S
esp emperor or superior official	58-56662-S
esp european	18-34624-S
esp exchanged between sworn brothers	55-46515-S,64-14685-S
esp fictional	42-25667-S
esp following sb s example	57-42693-S
esp food in times of shortages	63-37717-S
esp for the mid autumn festival	32-29138-S
esp foreign restaurants	30-35379-S
esp from 18th early 20th century	47-1132-S
esp girl friend or rival	18-37134-S
esp hair or feathers	29-5458-S
esp human	14-34060-S
esp in combinations such as 戶部尚書 户部尚书	21-7243-S
esp in commerce and marketing	19-16436-S
esp in context of south korea	68-12830-S
esp in daoism	17-60923-S
esp in fights of theatrical stunts	32-18492-S
esp in girl s names such as anna 安娜 or diana 黛安娜	18-50809-S
esp in moving	60-49515-S
esp in plants	37-59316-S
esp in poetry	34-51511-S
esp in public	64-31977-S,70-53065-S
esp in southern china and hong kong	13-52098-S
esp in tang or buddhist context	17-52223-S
esp in the face of difficulties	61-44692-S
esp in traditional fiction	65-44346-S,71-29935-S
esp in writing	24-45307-S
esp in yuan theater	41-2895-S,41-3043-S,41-3120-S,41-3197-S,41-3338-B,41-3481-S,41-3769-S,41-3857-S
esp in yunnan similar to 了 le	14-37580-S
esp japanese	44-62550-S
esp literary	26-38405-S
esp marriage	49-37014-S
esp medical	68-28713-S
esp mountains	50-12151-S
esp narrow minded etc	24-35993-S
esp north korea	31-8195-S
esp north south or top to bottom	50-30803-S
esp of a public official	9-60672-S
esp of an illness	58-23955-S
esp of bamboo or wood railings	48-44944-S
esp of china	17-38805-S
esp of crime	37-60655-S
esp of fame	62-49170-S
esp of female posture	69-64174-S
esp of funeral robes	57-12180-S
esp of insects	66-49138-S
esp of medical patient	8-22366-S
esp of mountain ranges	50-12425-S
esp of old person	60-51332-S
esp of one s parents	26-61509-S
esp of quotation or literary allusion	8-44687-S
esp of shortcoming	59-9647-S
esp of tall trees	14-14664-S
esp on public project	36-20108-S
esp one obliged to forsake male friends	18-37449-S,18-37571-S
esp oral	59-2582-S
esp physics	42-53278-S
esp poems in rythm	12-65913-S
esp protestant	51-49511-S
esp religious	51-13985-S
esp remembered	68-2336-S
esp responsibility	28-30146-S
esp scatological insults	48-49973-S
esp scheme to get sth cheaper	65-22907-S
esp short introduction	53-20047-S
esp skin diving	39-60020-B
esp slung over the arm	27-63799-S
esp stalin s purges of the 1930 and mao s purges 1955 57	52-2900-S,52-3086-S,52-3407-S
esp state officials promoting agriculture	10-11529-S
esp sth unattainable	25-1203-S
esp surprise attack	57-12267-S
esp taiwan media	41-34232-S
esp talk	26-43373-S
esp the ill fated chinese navy in the 1895 war with japan	10-33160-S
esp the sun	31-29881-S
esp the tail of an animal	26-15854-S
esp tire valve	36-31257-S
esp to complain about one s fate	43-18074-S
esp to do sth bad	65-10505-S
esp to empress dowager or regent	52-58504-S
esp to live as man and wife	12-47769-S
esp to police	13-8976-S
esp to the onset of regular contractions	52-61362-S
esp under the age of five	69-63778-S
esp wartime activities	27-4994-S
esp wedding	14-8955-S
esp western christianity in qing china	37-50649-S
esp with negative	62-49022-B
esp with negative don t expect instant success	1-13126-B
esp with simple materials	28-59401-S,28-60680-S
esp yellow	31-60358-B
esp young school leavers	1-48934-S
esp 豐功偉績 丰功伟绩	59-19518-B
especially	21-7742-B,21-7926-B,21-7982-B,33-65244-B,41-55693-B,41-56575-B,41-56887-B
especially efficacious	41-59490-B
especially fast	41-58369-B
especially hands	45-12668-S
especially harmful or malicious cult	63-18781-S
especially urgent	41-58495-B
esperanto language	2-41299-B
espionage	11-55582-S,65-46932-B
espresso	25-29055-B
espresso coffee	40-7315-B
esquire	43-46036-B
essay	30-8414-B,30-30163-B,51-13985-S,59-59387-S,67-4886-B
essay by tang philosopher han yu 韓愈 韩愈	11-35667-B
essay column in beijing newspaper from 1961 1966	1-33639-S
essay in eight parts	7-52488-S
essay or story	4-54199-S
essay topic	13-20450-S
essay writing	66-44776-B
essays	67-5861-S
essen	15-59076-B
essence	11-57830-S,15-12607-S,20-15260-B,32-66620-B,42-53278-S,45-44868-S,46-55300-S,48-51991-B,48-55012-B,48-57750-B,48-57818-B,48-59282-B,49-25201-S,56-11272-S,70-5003-B
essence of the matter	45-45692-S
essences	58-36313-B,58-36552-B,69-29505-B
essential	8-62857-B,24-40778-B,24-41110-B,24-41720-B,24-41944-B,57-28224-B
essential because of a slight risk	14-59606-S
essential breath 血氣 血气 of traditional chinese medicine	4-15449-S
essential character	46-62574-S
essential factor	57-27035-B
essential oil of butter	63-47527-B
essential point	3-6567-S,65-24869-B
essential points	50-5101-B
essential properties implied or reflected by a notion	7-29413-B
essential thing	24-41999-B
essential to follow the above instruction	8-60451-S
essential to hemoglobin and chlorophyll	11-11964-S
essentially	20-15311-B,32-66703-B
essentials	28-41632-S,57-27150-S,57-28043-B
est	32-18612-B,33-25009-B
estabilish a factory	58-1878-S
establish	9-10574-B,9-36337-S,9-36995-B,9-37553-S,9-37695-S,18-11643-S,23-20176-S,23-21214-B,23-21995-B,26-11178-B,34-61575-S,46-33883-S,49-38272-B,58-1576-S,58-2200-S
establish a brand	9-36836-S
establish a reputation for quality	9-36836-S
establish diplomatic relations	23-20341-S,23-22080-S
establish separate units	8-58328-S
established	25-7796-B
established by zu chongzhi 祖冲之	17-20048-S
established enterprise	9-156-S
established in 1898 by william a p martin 丁韙良 丁韪良	12-47846-S
established law	19-45170-B
established rules	26-11894-B
established theory	19-46611-B
established tradition	35-52380-B
established under unequal treaties from 1860	47-22726-S
establishing social relations	7-53432-S
establishment	7-14082-S,19-17748-S,50-21269-B,69-18229-B
establishment of prc in 1949	57-49449-S
estate	1-73272-S,15-43419-B,15-69943-S,20-670-S,26-26371-S,26-27076-S,29-60491-S,37-65340-S,43-30965-B,43-32045-B,55-19390-S,59-10725-S,65-39488-S
esteem	20-44311-B,21-6819-S,21-41425-S,21-42097-S,30-11090-B,30-11608-B,30-13002-S,45-62695-B,53-4959-S,53-5026-S,53-6592-S,53-14301-S
esteemed	30-11029-S
esteemed by everyone	45-52925-S
esteemed father	51-26809-B
esteemed guest	14-29001-B
esteemed mother	51-26635-B
esteemed presence	69-49311-S
esteeming men above women	63-62586-S
ester	2-44412-S,63-43640-B
esterase	63-43716-B
esterase che	52-51313-S
esterification	63-43668-B
esther	4-37688-S
esther name	4-37632-B
esthetic activity	20-22354-B
esthetic conception	20-22451-B
esthetic point of view	20-22451-B
esthetics	20-22282-B
estimable	6-4444-B
estimate	4-59373-B,4-59450-B,4-59717-B,4-59937-B,4-59984-S,22-63597-B,28-10527-S,28-35425-B,28-47734-B,28-47909-S,47-34257-S,47-62513-S,49-6180-S,49-8036-S,64-4777-S,64-31288-B,68-28315-S,68-30477-S
estimate by eye	45-17480-S
estimate how much food is required for a meal	64-6462-S
estimate one s strength	64-5164-S
estimate the value	4-59603-S
estimate value of property	4-59757-S
estimates	29-23619-S
estonia	16-17675-S,25-35947-B
estranged	44-3249-S
estranged person	62-60192-S
estrangement	44-3249-B,66-41067-B
estriol	66-61029-B
estrogen oestrogen	9-69455-B,66-61193-B
estrus	9-69376-B
estuary	37-19401-B
et al and other authors	48-17202-B
et cetera	48-17202-B
eta basque separatist group	15-57798-B
eta greek letter ηη	4-48114-B,53-47028-B
eta ursae majoris in the big dipper	28-53770-B
etat against emperor wu of han 漢武帝 汉武帝	21-63021-S
