fighting prowess	18-45581-S
fighting ship	70-29196-B
fighting strength	26-20537-B
fighting water storage system for a building	6-59387-S
fighting 成语 saw	7-47610-S,57-55397-S
fights	56-19825-S
fights from opera and film recent usage	35-48337-S
fights of theatrical stunts	32-18492-S
figuratively	36-10025-B
figure	4-7573-B,4-7573-S,7-3460-S,7-40733-S,10-8028-S,15-26222-B,16-47545-B,22-46129-S,22-46211-S,23-55560-B,24-57498-S,27-68938-S,27-69095-S,28-47734-B,30-19440-B,30-20699-B,42-10566-S,42-36244-S,43-18778-S,45-63193-S,46-48633-S,47-62131-S,48-22652-S,48-23744-S,49-15538-B,56-2523-S,56-2966-S,59-24727-S,60-56207-B,60-56400-B,60-56511-B,60-56804-B,64-33641-S,68-40227-S,68-54341-S,70-6048-B,70-6757-B,70-7326-B
figure esp a woman s	60-56148-B
figure having nine plane faces	3-20745-S
figure in a gerontocracy	6-62921-S
figure in clay	16-15395-S
figure in geometry	35-34080-S
figure in government	63-64082-S
figure in hiding	52-55051-S
figure in perspective	62-1305-S
figure made up of straight line segments	27-10115-S
figure man or god worshipped by a religious sect	30-1093-B
figure of a country or dynasty	65-31719-S
figure of confucius	51-44640-B
figure of speech	36-10025-B
figure of speech contrasting two incompatible parts	35-24872-S
figure out	23-23430-S,28-48030-S,48-23937-S
figure out how to do something	23-23940-S
figure skating	53-58019-B
figure such as a cube or parallelepiped	7-69632-S
figure viewed from behind	52-17586-S
figure what sth amounts to	12-37520-S
figure will develop into a pillar of the state	17-10568-S
figured satin	53-59705-B
figures	5-32904-S,30-23554-B,57-29219-S
figures buried with the dead	5-32845-S
figures disagree	2-23381-B
figures in a certain field	68-20086-S
figures to teach the children 成语 saw	43-58963-S
fiji	30-32254-B,55-40317-S
fiji tropical volcanic island in southwest pacific	30-32169-B
filament	2-83913-S,49-54738-B
filament of stamen	53-59646-S
filature silk	23-8101-B
filbert	34-39479-B
file	5-35286-S,8-65665-B,9-16720-S,12-6883-S,19-7951-S,23-58922-S,26-57496-S,30-25626-B,30-27090-S,30-28862-S,34-4031-B,35-11306-B,35-11482-B,35-11735-S,35-54643-S,50-31090-B,57-48519-S,64-34620-S,64-35140-S,65-7180-B
file a complaint	27-3172-S
