kham or chamdo	31-21544-B
kham or chamdo district in tibet chinese qamdo or changdu	31-21593-B
kham prov of tibet	22-4420-S,24-27147-S,42-53795-S
khan	6-60865-S,12-14925-B,15-33047-S
khan 1162 1227	26-8910-S
khan 1186－1242	47-56643-S,47-56713-S
khan 1215 1294	24-50926-S
khan king in persian	36-56208-S
khan name	36-56114-B
khan persian or mongol king or emperor	36-56114-B
khan tengri or mt hantengri on the border between xinjiang and kazakhstan	36-56977-B
khanate mongol state	36-56272-B
khanate or kingdom that took over as qing dynasty in 1644	24-2637-S
khanate or kingdom that took over as the qing dynasty in 1644	64-8410-S
kharchin khoshuu	14-1413-S,14-1703-S
kharosthi ancient language of central asia	4-65964-B,4-66051-B
khartoum capital of sudan	14-1937-B
khitan	18-6031-B
khitan dynasty 907 1125	63-4262-S
khmer	70-16368-B
khmer kingdom of kampuchea or cambodia	45-44445-B
khmers	49-12632-S
khorchin khoshuu	66-14076-S,66-14178-S
khoshuu	7-14492-S,7-14584-S,14-1413-S,14-1703-S,22-7129-S,22-7217-S,22-7315-S,22-7402-S,29-65462-S,29-65525-S,51-17038-S,51-17116-S,66-14076-S,66-14178-S
khot	38-11114-S
khotan	13-23984-B
khotan prefecture	44-65283-S
khrushchev 1894 1971	60-9139-S
khufu pharoah	52-21060-B
khuur	69-44405-S
khz	10-48389-B,10-50541-B
ki moon 1944 	39-57789-S
kiamusze or jiamusi	5-11141-B
kiamusze or jiamusi prefecture level city in heilongjiang	5-11203-B
kiangsi in southeast china	36-60731-S,36-60811-S
kiangsu in southeast china	36-60503-S
kiangsu in southwest china	36-60583-S
kibbutz	15-68154-B,21-27936-B
kick	4-43178-S,52-43047-B,60-47695-B,60-48655-B,60-48690-B,60-50238-S,60-51966-B,71-40718-S
kick a benefactor in the teeth	24-45369-S
kick as a horse	60-52017-S
kick in soccer	57-45367-S
kick in sports	50-53486-S
kick martial arts	31-1895-S
kick off soccer	65-38946-S
kick out of sth	62-47552-S
kick the bucket	51-20623-S
kick 成语 saw	27-49482-S
kickback	14-58012-S,49-8543-S
kicking	27-49992-S
kid	4-57316-B,4-57355-B,4-57403-B
