lexicography	61-36740-B
lexicon	24-35343-S
lexington	8-65854-B
lexus	8-25936-B
ley lines	15-44296-B
leye place in guangxi	34-49174-S
lezhi place in sichuan	34-49736-S
lhalu	27-26752-B
lhalu wetland national nature reserve in lhasa	27-26789-B
lhasa	7-51247-S,22-18165-S,27-25406-B,27-25443-B,27-26789-S,43-13236-S,53-45110-S
lhasa 1904 between british empire and tibet	27-25491-S
lhasa shoton festival or yogurt banquet	63-44716-B,67-17516-B,67-17589-B
lhc at cern	17-11901-S
lhoka prefecture	70-27197-S
lhokha prefecture of tibet	21-28840-B
li	2-34985-S,11-36985-S,33-487-S,33-4496-S,33-52375-S,63-36348-S,63-54405-S,64-38914-S,68-7321-S,71-26541-S
li 1916 	54-47672-S
li 1954 	33-1810-S
li ao 774 836	33-5322-B
li bai 701 762	33-4760-B
li bai 李白 701 762	63-46862-S
li baiyao 565 648	33-4809-B
li baojia 1867 1906	33-1964-S
li baojia 李寶嘉 李宝嘉 1867 1906	33-810-S
li bing c 230 bc historical hydraulic engineer of dujiangyan 都江堰	33-1172-B
li boyuan or li baojia 李寶嘉 李宝嘉 1867 1906	33-810-B
li boyuan 李伯元 or li baojia 1867 1906	33-1964-B
li changchun 1944 	33-5847-B
li chaowei c 766 c 820	33-3601-B
li chengjiang	33-2746-B
li chinese unit of distance	54-36406-B
li county in gansu	47-9003-B
li county in hebei	56-21563-B
li county in hunan	40-2059-B
li county in sichuan	42-56351-B
li county 理縣 理县	67-6025-S
li delin 530 590	33-2571-B
li fang 925 996	33-3298-B
li fo	55-11975-S
li gefei active c 1090	33-3730-B
li gongpu 1946	33-1111-B
li guang 119 bc	33-2264-B
li guang 李廣 李广	68-63147-S
li hongzhang 1823 1901	33-6182-S,70-55837-S
li hongzhi	33-4086-B
li houzhu c 937 978	33-2451-B
li hung chang or li hongzhang 1823 1901	33-6182-B,70-55837-B
li i e 500 kilometers	10-51090-S
li jiancheng 589 626	33-2382-B
li jieren 1891 1962	33-1279-B
li jing	33-6080-B
li jun	33-908-B
li ka shing 1928 	33-1574-S
li lanqing	33-2119-B
li linfu 752	33-3672-B
li ling 74 bc	33-5975-B
li lüyuan 1707 1790	33-4929-B
li minyong 1947 	33-2861-B
li near xian with the tomb of the first emperor	69-64941-S
li ning	33-1923-B
li peng 1928 	33-6270-B
li people	71-26932-B
li qingzhao 1084 c 1151	33-4192-B
li river of east guangxi through guilin 桂林	39-45219-B
li ruihuan	33-4640-B
li ruzhen c 1763 c 1830	33-4017-B
li shangyin c 813 858	33-1504-B
li shangyin 李商隱 李商隐	49-34049-S
li shimin	33-524-B
li si c 280 208 bc	33-2924-B
li street name in beijing	22-39458-S
li tie	33-5784-B
li wa	33-1707-S
li xiannian 1909 1992	33-947-B
li xuejian	33-6025-B
li yanshou fl 650	33-2317-B
li ying 1963 	33-5154-B
li yingru 1913 1989	33-5566-B
li yu 1611 c 1680	33-4444-B
li yu c 937 978	33-4549-B
li yuan 566 635	13-53023-B,33-4141-B
li yuan 李淵 李渊 566 635	13-52947-B
li zhao c 800	33-5449-B
li zhaoxing prc foreign minister	33-5369-B
li zhi 1527 1602	33-5677-B
li zicheng 1605 1645	33-5499-B
li zicheng 李自成 who styled himself chuang wang one in jiugongshan 九宫山 nature reserve	65-52647-S
li zongren 1891 1969	33-1856-B
li 驪山 骊山 near xian awaits excavation	47-23950-S,47-25250-S
liability	38-2655-S,58-22228-S
liable	32-39575-B
liable to	19-65554-B
liaison	57-6780-B
liaison in phonetics	62-23931-B
lian	23-4792-S,62-19431-S
lian 1310 1381	19-36078-S
lian county in guangdong	62-24065-B
lian po 327 243 bc	23-5445-B
lian4	30-24726-S
liancheng county in longyan 龍岩 龙岩	62-20323-B
liancheng county level city in longyan 龍岩 龙岩	62-20234-B
liang	34-9061-S,43-37122-S,58-3028-S
liang 181 234	58-48675-S
liang chenyu 1521 1594	34-10120-B
liang dynasties 502 557	34-9769-S
liang hong opposition candidate in jan 1996 singapore elections	63-32910-S
liang of the five dynasties 907 923	24-112-S
liang of the sixteen kingdoms	3-47261-S,38-38850-S
liang of the sixteen kingdoms 314 376	9-21602-S
liang of the sixteen kingdoms 386 403	24-344-S
liang of the sixteen kingdoms 397 414	11-979-S
liang of the sixteen kingdoms 398 439	10-34099-S
liang of the sixteen kingdoms 400 421	57-19624-S
liang of the southern dynasties	34-9691-S
liang of the southern dynasties 502 557	10-72664-B,55-16741-B
liang of the southern dynasties 南朝梁 in 548	5-26431-S
liang qichao 1873 1929	34-9327-B
liang shuk yee 1945 	13-12853-S
liang shuming 1893 1988	34-10047-B
liang three kingdoms	69-41119-S
liang 諸葛亮 诸葛亮	19-3199-S,52-55430-S
liang 諸葛亮 诸葛亮 many of them in different town	35-43849-S
liang 諸葛亮 诸葛亮 of shu	56-2359-S
liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
liang4	60-58341-S
liang5	13-61666-S
liangcheng place in inner mongolia	38-38968-S
liangdang place in gansu	7-46920-S
lianghe place in yunnan	34-9983-S
liangji 1746 1809	37-60913-S
liangping place in sichuan	34-9622-S
liangshan city and county in shandong	34-9398-B
liangshan city in shandong	34-9472-B
liangshan count in shandong	34-9546-B
liangshan mountain rebels	62-33697-S
liangshan yi people autonomous prefecture in sichuan	38-39046-B
liangxiang town in beijing municipality	53-43475-B
liangyu 1944 prc hui national career politician from guilin	14-57511-S
liangzhu c 3400 2250 bc	53-42110-B,53-42172-B
lianhua county in pingxiang 萍鄉 萍乡	55-9038-B,55-9168-B
lianhuanhua graphic novel	62-23170-B
lianjiang city in guangdong	23-5127-S
lianjiang place in fujian	62-22661-S
lianliang 1901 1966	69-43204-S
liannan yao autonomous county in qingyuan 清远	62-19851-B
liannan yaozu autonomous county in qingyuan 清远	62-19988-B
lianping place in guangdong	62-21679-S
lianshan district of huludao city 葫蘆島市 葫芦岛市	62-20949-B,62-21044-B
lianshan zhuang and yao autonomous county in qingyuan 清远	62-21149-B,62-21323-B
lianshui place in jiangsu	39-51646-S
lianyuan city in hunan	39-51713-S
lianyuan district district in hunan	39-51777-S
lianyungang prefecture level city in jiangsu	62-26107-B,62-26198-B
lianzhou county level city in qingyuan 清远	62-21431-B,62-21512-B
liao	23-6111-S,57-23191-S
liao and jin dynasties	63-5675-B
liao dynasty	63-4550-S
liao mosha 1907 1990	23-6147-B
liao or khitan dynasty 907 1125	63-4262-B
liao river of northeast china	63-5246-B
liao river 遼河 辽河	12-6368-S,63-5011-S
liao zi	20-42263-S
liaocheng district district in shandong	51-43360-S
liaocheng prefecture level city in shandong	51-43280-B,51-43462-B
liaodong peninsula	63-5170-B
liaodong peninsula between bohai 渤海 and yellow sea	63-5011-B
liaohe river	18-6031-S
liaoning	3-2441-S,3-2517-S,10-32864-S,10-36108-S,12-18568-S,17-36076-S,17-36150-S,20-26836-S,20-26971-S,20-27106-S,21-36845-S,30-57869-S,32-49459-S,33-15521-S,33-21248-S,34-7289-S,38-17433-S,43-10792-S,44-43223-S,54-21544-S,55-6238-S,63-5781-S,63-5859-S,64-10178-S,64-45693-S,64-45863-S,65-2672-S,65-3844-S,65-17139-S,68-7015-S,68-7089-S,70-52010-S
liaoning and shandong	39-2716-S
liaoning peninsula	33-28903-S,55-59737-S
liaoning province	18-3414-S,45-4278-S,63-4695-S,63-5011-S,63-5309-S
liaoning province fengtien in northeast china	63-4612-B,63-4915-B
liaoning province 遼寧省 辽宁省 in northeast china	29-14360-S,29-14501-S,32-49544-S,32-65014-S,32-65134-S,37-5565-S,40-13247-S,41-30865-S,41-30989-S,45-12136-S,45-12258-S,54-59944-S,54-60076-S,64-45259-S,64-45383-S,65-2528-S,65-2770-S,65-58689-S,65-58809-S
liaoning university	63-4839-B
liaoning 遼寧 辽宁 province in northeast china	63-4262-S
liaoningensis bird like dinosaur found in liaoning province	63-4695-S
liaoyang prefecture level city in liaoning	63-5781-B,63-5859-B
liaoyuan city 遼源市 辽源市	57-15540-S,57-15873-S,71-58557-S,71-58677-S
liaoyuan prefecture level city in jilin province 吉林省 in northeast china	63-5379-B,63-5492-B
liaoyuan 遼源 辽源	33-24324-S,33-24401-S,33-24632-S,33-24709-S
liaozhong county in shenyang 沈陽 沈阳	63-4380-B,63-4459-B
liar	58-33695-B
libation	18-11874-S,23-27034-S,46-65457-S,63-45821-S
libation cup	43-8552-B
libation on ground	63-47098-S
libation to the dead	18-11298-S
libel	25-21165-S,36-2941-B,58-35118-B,63-48619-B
liberal	6-58064-B,23-33218-B,25-52958-B,53-11083-B
liberal arts	30-29979-B
liberal arts college in grinnell	33-66493-S
liberal democratic party	53-10929-B
liberal democratic party japanese political party	53-7924-B
liberal minded	59-16365-B
liberal party	53-11983-B
liberal treatment	20-25653-B
liberal with money	65-51155-B
liberalism	53-10166-B
liberalization	53-10414-B
liberate	29-52883-S,57-49147-S,57-52040-B,63-52658-S
liberate a prisoner	63-53161-S
liberation	12-27103-S,57-49147-B
liberation 1945 49	57-49587-S
liberation army	4-13281-S
liberation army air force plaaf	2-53680-S
liberation army i e the chinese army	57-49925-S
liberation army navy plan	2-53522-S
liberation army pla	2-53392-S
liberation daily	57-49774-B
liberation day	57-49674-B
liberation front	34-6173-S
liberation i e after the communist s victory	57-49449-S
liberation movement	57-50019-B
liberation of palestine	57-49282-S
liberation of taiwan from japanese rule in 1945	7-8962-S
liberation organization	22-4049-S,57-49846-B
liberation organization etlo	33-22295-S,33-22883-S
liberation organization etlo xinjiang dissident group	33-22703-S
liberation tigers of tamil eelam	37-47718-B
liberator	29-64167-B
liberia	9-7113-B,54-63861-S
liberties	36-21688-S,36-21738-S
liberties with a woman	58-37410-S
libertina	56-5497-S
liberty	8-11086-S,53-10113-B,53-11388-S
liberty of	2-12264-S
libido	24-61220-S
libo 1908 1979	13-13678-S
libo place in guizhou	54-18997-S
libra constellation and sign of the zodiac	17-48344-B,17-52028-B
librarian	15-26536-B,15-26664-B
library	9-50292-S,15-4810-S,15-26612-B,35-12225-S,38-10420-S
library card	6-340-B
library established in 1898 by william a p martin 丁韙良 丁韪良	12-47846-S
library of classic texts	32-12663-B
library or bookstore	15-26470-S
library oxford	4-58397-S
library partition on computer hard disk	8-47858-B
library renewal	50-43867-S
library stack	19-57125-B
libreville capital of gabon	9-5718-B
libya	9-7066-B,44-59366-S
licang district of qingdao city 青島市 青岛市	33-4264-B,33-4349-B
lice	68-39764-S
license	15-65476-B,25-55564-B,43-44705-S,58-3208-B,58-3268-B,69-49260-S,69-49882-S,69-50022-S
license plate	41-45999-B,55-55451-S,60-59491-B
license to a computer account	62-12525-S
licensed to kill	1-49910-S,21-7081-S
licentious	37-28233-B,38-46375-B,42-13113-B,54-17895-B,57-9300-B
lichen	15-44615-B,67-57749-B
licheng place in shandong	35-52471-S
licheng place in shanxi	71-26597-S
lichuan city in hubei	9-6411-S
lichuan county in fuzhou 撫州 抚州	71-26661-B,71-26734-B
lichun or start of spring	47-61184-B
lick	13-14848-S,40-24757-S,53-30554-S,53-31607-S,69-9635-B
lick and suck	53-31645-S
licker	60-37876-S,69-36986-S
licking	27-30398-S,69-36902-S
licorice	54-5266-B
licorice root	43-15070-B
lictor	8-48363-B
lid	11-37303-S,28-9877-S,55-4968-B,55-5169-B,55-5259-B
lid 成语 saw	55-5582-S,55-5802-S
lidazhao 1889 1927	33-1643-B
lidong or start of winter	47-60600-B
lidthi	70-53298-S
lie	4-66558-S,6-9531-S,14-3491-S,23-51055-S,25-55764-S,52-54162-S,58-33633-S,58-52552-S,58-52588-S,58-52630-B,58-52669-B,59-5778-S,70-32243-B
lie algebra math 	33-577-B
lie between	4-23492-B,4-23857-S,66-40089-S
lie curled up	56-5859-S
lie down	5-60246-S,20-11524-B,52-54345-S,60-58028-S,60-58074-S
lie down on one s side	6-19745-S
lie flat	5-55241-S
lie group math 	33-5272-B
lie idle of arable land	27-28249-S
lie in	15-35114-B
lie in ambush	42-7669-S
lie looking at the ceiling in despair	4-39910-S
lie low	4-53149-S,30-24969-S,63-8183-B,64-33941-S,66-46358-S
lie on his skin 成语 saw	69-3430-S
lie on it	23-35110-S,53-796-S
lie on one s side	35-16484-S
lie on one s stomach	60-33050-S
lie or an error passed on for a long time may be taken for the truth	47-40710-S
lie prone	60-33095-S
lie prostrate	4-53552-S,4-54569-S,5-50165-S,10-20236-B
lie supine	6-5177-S
lie waste	54-17522-S
lie with knees drawn up	56-5595-S
lie zi	8-66372-B
lieberman	9-5634-S
liebknecht 1826 1900	33-1344-S
liechtenstein	8-66805-B,43-10906-S
liege	40-33902-B
liehyu village in taiwan	40-33681-S
lien chan 1936 	62-21868-B
lies	1-13879-S,18-33808-S,23-51055-S,29-8444-S,39-35615-S,39-36234-S,53-7215-S,58-22801-B,58-52552-B
lies and slander	59-13475-B
lies in diligence 成语 saw you can only master a subject by assiduous study	34-32835-S
lies 成语 saw	58-58538-S
lieutenant	66-34326-B
lieutenant army	2-69229-S
lieutenant army rank	21-3787-S
lieutenant colonel	2-73709-B
lieutenant commander	21-4676-B
lieutenant commander uk and us navy equivalent	38-25086-B
lieutenant general	2-69148-B
lieutenant governor of us state	9-32246-B
lieutenant navy	2-69229-B
life	1-14646-S,1-14646-S,1-14717-S,2-37414-B,2-37568-S,3-19538-S,4-2543-S,4-7429-S,4-14509-B,4-22156-S,4-23079-S,5-18579-S,6-56754-S,7-38525-S,8-10069-S,8-11509-S,8-11717-S,8-25622-S,9-36214-S,10-57945-S,10-60110-S,11-22046-S,11-34523-S,11-36486-S,12-29920-S,12-29989-S,12-30483-S,13-19913-B,14-11726-S,14-13081-S,15-54248-S,16-22624-S,16-37226-S,16-38105-S,16-38458-S,16-39482-S,16-48506-S,17-1360-S,17-52974-S,17-67840-S,18-46410-S,22-43624-S,22-48859-S,23-16577-S,23-17304-S,24-61501-B,24-62775-S,25-10455-S,25-17181-S,25-32627-S,25-39302-S,27-40665-S,27-40782-S,27-51593-S,27-52050-S,27-52347-S,28-3688-S,28-4127-S,28-4650-S,28-6720-S,28-7099-S,28-54741-S,29-63745-S,29-64502-S,30-62649-S,31-6721-S,31-32686-B,31-35134-S,31-36677-S,32-8929-S,32-16545-S,32-36521-S,32-45750-S,33-54179-S,35-50856-S,35-56175-S,36-710-S,36-52253-S,38-11961-S,38-44993-S,39-53732-S,42-38446-S,42-48732-S,43-17960-B,43-18533-S,43-19310-S,43-19310-S,43-19476-S,43-19606-S,43-20121-S,43-20621-S,43-22346-B,43-22488-S,43-22644-S,43-55030-S,43-59492-S,45-4906-S,46-61946-S,50-2996-S,50-14817-S,53-19163-S,54-45777-S,55-13126-S,57-51326-S,57-51402-S,58-23356-S,58-50668-S,60-16659-S,60-16659-S,60-49749-S,60-55088-B,61-15351-S,61-64679-S,62-34318-S,62-45287-S,62-45390-S,62-45390-S,62-46039-S,62-46657-S,63-10750-S,63-18510-S,63-18942-S,63-46754-S,66-42000-S,67-54216-S,69-8223-S,71-41034-S
life and death	19-7317-S,24-61541-S,43-21551-S,43-23006-B,57-26289-S
life and limb	8-42238-S
life and livelihood	31-7491-B
life and property	4-16429-S,29-16485-S
life by magic	59-10132-S
life cycle	43-19678-B
life depends on it	27-50972-S
life derives from physical exercise	43-18976-B
life difficult for	62-43085-S
life etc	42-1888-S
life euphemism	61-36316-S
life expectancy	16-38248-B,22-38476-B
life experience	60-55348-S
life expression of good wishes	40-62943-S
life for	42-26355-S
life for righteousness 成语 saw	28-6998-S
life force	43-18872-B,43-21406-B
life form	16-62345-S,43-62592-S
life imprisonment	32-34855-S,40-54606-B
life in a crisis	52-56397-S
life in buddhism	37-34796-S
life in death 成语 saw	35-56175-S
life in the line of duty	42-26465-S
life in the stars	19-66657-S
life insurance	4-7634-B,16-39607-B
life is but a dream 成语 saw	4-14549-B
life is motion popular saying with many possible interpretations	43-18976-B
life is short	20-57125-S
life jacket	29-64910-B
life leaving a monastic order	63-9469-S
life long smoker	51-29111-B
life longer	23-17304-S
life of a family	19-61919-S
life of dissipation	20-45428-B
life of ease	49-17066-S
life of luxury	49-23181-S,64-15617-S
life or death	10-52209-S,35-58558-B,43-21503-B,57-26464-S
life or death struggle	27-52196-S
life peer	10-10135-S
life s joys and sorrows	12-49865-S
life s necessities	43-22403-B
life s vicissitudes	39-25878-B
life sciences	43-19405-B
life sentence	49-37126-B
life span	16-38248-B,17-44986-S,66-35073-S
life span is up	16-38519-S
life style	20-2328-S,68-55732-S
life threatening illness	15-54583-B
life threatening medical condition	67-67591-S
life to lead	12-29209-S
life vest	29-64910-B
life video game	10-58778-S
life 成语 saw	18-35667-S,26-7293-S,45-26532-S
lifeboat service	29-64088-B
lifeless	40-57212-B
lifelike	6-38179-B,33-54179-S,62-34318-B
lifeline	13-20296-B,43-19549-B
lifelong	1-707-B,49-36969-B
lifelong import esp marriage	49-37014-S
liferaft	29-64854-S
lifespan	17-38365-S
lifespan is accomplished	17-38441-S
lifestyle	43-22488-B,43-22874-S,65-667-S
lifetime	1-707-S,1-21789-S,2-37414-B,10-59301-S,10-60732-S,16-39482-B,43-18533-S,43-55030-B,44-53148-B,61-15135-B,61-15351-B
lifetime s absence	35-54338-S
lifetime 成语 saw	1-14717-S
lift	27-12249-S,27-30559-S,28-9936-S,28-10196-S,28-36446-S,28-61069-S,29-15002-S,31-17771-S,50-48138-S,51-21766-S,53-21415-S,53-26363-S,53-27677-B
lift a ban	11-58658-S,65-36192-S,65-40123-S
lift a curfew	65-40123-S
lift a finger	53-27031-S
lift a hand or move a leg 成语 saw	53-27178-S
lift a lid	28-9877-S
lift a prohibition	11-58658-S,57-51759-S
lift an embargo	57-53116-S
lift an encirclement	57-48419-S
lift clothes	57-8512-S
lift off	10-53408-B
lift off a cover	28-48335-B
lift open	28-10297-S
lift overhead with both hands	26-53123-B
lift restrictions	65-36192-S
lift restrictions such as curfew or martial law	57-48232-S
lift up	70-21260-B
lift up a dress	56-52745-B
lift up onto one s shoulders	28-60159-S
lift up sth hanging down	29-13059-S
lifting	34-46181-S
lifting athletics	53-27777-S
lifting brush stroke in painting	28-36446-B
lifting one s hand 成语 saw	53-27031-S
lifting weight	10-49432-S
ligament	68-10915-B
ligand	63-39079-B
ligature in typesetting	62-23931-B
