lit the executioner raises one s queue	51-20623-B
lit the eye cannot bear to see it 成语 saw	45-15041-B,45-15174-B
lit the eye cannot recognize the letter t 成语 saw	45-15767-B
lit the eye cannot see the eyelashes 成语 saw	45-14851-B,45-15577-B
lit the fat and wealth of the people 成语 saw	36-22610-B
lit the first person to bury funerary dolls 成语 saw	18-38317-B
lit the fish and the bear s paw	70-38048-B,70-38138-B
lit the fish sinks	70-37347-B
lit the flowering branches sway 成语 saw	53-57403-B
lit the fox exploits the tiger s might 成语 saw	42-6057-B
lit the gong is ready	65-8348-B
lit the goose comes	5-19900-B
lit the guest acts as host 成语 saw	11-46384-B
lit the hammer fits the drum 成语 saw	34-8451-B
lit the matter has become a pile of eggs 成语 saw	3-29733-B
lit the next mountain looks taller 成语 saw	62-5116-B
lit the other mountain s stone can polish jade 成语 saw	4-25249-B
lit the pain of being hanged upside down 成语 saw	5-56663-B
lit the path exhausted	47-57702-B
lit the plum tree withers in place of the peach tree	33-640-B
lit the raw rice is now cooked 成语 saw	43-28366-B,43-28618-B
lit the scholar buys a donkey 成语 saw	11-6746-B
lit the three legs of a tripod	71-47047-B
lit the weasel offers the chicken new year greetings 谚语 proverb	71-25964-B
lit the whip cannot reach 成语 saw	68-9087-B
lit the whole nest came out to fight us	6-47487-B
lit there are principles behind making money 成语 saw	43-29895-B
lit thousand ways	10-49504-B
lit three humble visits to a thatched cottage	1-44380-B
lit three knight errants and five righteous one	1-30531-S
lit to acknowledge the bandit as one s father 成语 saw	58-22059-B
lit to anoint your head with the purest cream 成语 saw	63-47720-B
lit to argue who is right and wrong 成语 saw	41-39989-B
lit to assemble the multitude	12-36105-B
lit to assess the head and discuss the feet 成语 saw	13-35409-B,58-8413-B
lit to beat a gong	30-13650-B
lit to beat milk	26-42445-B
lit to beat nearby drum	30-14214-B
lit to become lost in a fog 成语 saw	16-30454-B
lit to bite the teeth tightly 成语 saw	13-29180-B
lit to blow apart the hairs upon a fur to discover any defect 成语 saw	13-5675-B
lit to borrow a knife to kill sb 成语 saw	5-64277-B
lit to borrow chopsticks	6-774-B
lit to break the cauldrons and sink the boats 成语 saw	46-20447-B
lit to breathe out stale air and breathe in fresh 成语 saw	12-60195-B
lit to breathe through the same nostril 成语 saw	1-24039-B
lit to burn both fragrant orchids and stinking weeds 成语 saw	55-46040-B
lit to bust guts	46-19744-B
lit to bust guts and freeze the heart 成语 saw	46-19827-B
lit to carry firewood to put out a fire 成语 saw	27-13649-B
lit to catch sparrows blindfolded	65-27791-B
lit to change course to leeward	1-64728-B
lit to clasp the buddha s feet when danger arises 成语 saw	52-57896-B
lit to clasp the buddha s feet without ever having burned incense 成语 saw	27-12591-B
lit to cling to the high	29-32379-B
lit to cover light and nurture in the dark 成语 saw	68-13305-B
lit to cover sb s mouth with cloth	4-65267-B
lit to devise battle plan in a tent 成语 saw	61-46766-B
lit to dig up the root	9-5144-B
lit to direct blindly	45-58620-B
lit to discuss sb s merits and demerits 成语 saw	58-33789-B,58-44834-B
lit to dispel the clouds and see the sun 成语 saw	29-12887-B
lit to dissect a sparrow	57-47813-B
lit to draw a painting inside a gourd 成语 saw	41-9267-B
lit to drill a hole	65-10505-B
lit to drop a bag of books 成语 saw	28-13280-B
lit to drum on a bowl	71-48348-B
lit to eat his meat and lie on his skin 成语 saw	69-3430-B
lit to eat one s words	69-4081-B
lit to eliminate worry and dispel melancholy 成语 saw	38-30133-B
lit to enter by the back door	60-11548-B
lit to examine roots and inquire at the base 成语 saw	20-45227-B,45-11228-B,58-12152-B,61-58233-B
lit to fall from a horse	54-50875-B
lit to fear the wolf in front and the tiger behind 成语 saw	9-20196-B
lit to fill the whole sky	39-52210-B
lit to fill the whole sky and cover the land	39-52309-B,39-52449-B
lit to fire pots and smelt metal	66-31120-B
lit to first show one s horns 成语 saw	9-1993-B
lit to flick dust off sb s cap 成语 saw	23-47088-B
lit to flourish with the pen and sprinkle ink	28-49862-B
lit to fly upwards swiftly	69-54479-B
lit to follow the vine to get to the melon	68-26576-B
