mournfully	25-9496-S,25-10383-S
mourning	13-46955-S,14-11440-B,39-37830-S,39-39032-S,47-7851-S,61-57267-B,67-62713-S
mourning ceremonial	14-13417-B
mourning dress	63-57681-B
mourning garment	14-12430-B
mourning garments	50-25649-B,56-47833-B
mourning hall	16-38309-B,65-32354-S,67-51083-B
mourning period	39-37830-S,39-39032-S
mourning song or elegy	63-15044-S
mourning staff draped in white	13-46203-B
mourning the wind and bewailing the rain	8-25101-S
mouse	20-63319-B,21-2941-B,48-46099-S,51-31898-B,51-38115-B,51-38188-S,71-49351-B,71-50404-B,71-50846-B
mouse computer	39-30136-B,71-49596-B,71-49647-B
mouse pad	39-30186-B
mousetrap	28-5930-B
mousseline silk fabric	34-12058-S
moustache or whiskers	70-27715-B
mousterian a palaeolithic culture	54-25595-B
mouth	4-70760-S,6-36505-S,11-67016-B,11-68289-S,11-69139-S,12-25928-S,13-6761-B,13-10096-S,13-28001-S,13-48935-S,13-65976-S,14-5866-S,14-32482-B,14-32548-B,14-32586-S,14-33586-S,14-34426-S,20-24316-S,23-37771-S,25-19748-S,35-50000-S,35-50000-S,37-19357-S,38-36124-S,39-61096-S,41-36428-S,43-12524-S,43-13056-S,44-9865-S,50-50204-S,57-47003-B,57-63266-S,64-32224-S,65-31324-S,71-56880-S
mouth and broken tongue 成语 saw	27-39841-S
mouth and ears	13-27647-S
mouth and nose	11-70707-B
mouth and quick tongue	24-57906-S
mouth and teeth	11-70754-B
mouth and tongue 成语 saw	11-67198-S
mouth and two or four handles	48-35521-S
mouth as in speaking	14-43718-S
mouth as one 成语 saw	24-31251-S
mouth at the surface of the water	14-34495-S
mouth disease	26-36213-S,26-36293-S
mouth disease fmd	11-70092-S
mouth from devouring freshly killed prey	56-24026-S
mouth full of literary phrases	39-35763-B
mouth of a corpse	42-51258-S
mouth of a river	37-19401-S
mouth of sb	29-27198-S
mouth off	16-55160-S,16-55268-S
mouth or opening	59-15677-S
mouth organ	13-298-S,13-5998-S,13-6199-S,13-6329-S,48-3702-S,48-5336-S
mouth organ to make up numbers 成语 saw	40-10384-S
mouth organ virtuoso 萧史 won for his wife the beautiful daughter of duke mu of qin 秦穆公	42-29584-S
mouth ulcer	11-68722-B
mouth with cloth	4-65267-S
mouth with water	39-53668-S,39-53732-S
mouth without chewing	12-67301-S
mouthed	1-66209-S,39-36308-S
mouthed and smooth talking	37-22161-S
mouthfeel	11-68033-B
mouthful	39-35615-S,39-36483-S
mouthful awkard speech	23-46684-B
mouthing words	13-15207-B
mouthpiece	6-39161-B,14-5220-B
mouthpiece of wind instrument	36-27632-S
mouths	43-60569-S
mouths such as people	11-67016-S
movable	12-11712-B,38-12409-B
movable battlefield turret	34-51332-B
movable door sill	34-16569-B
movable type	37-64694-B,37-64739-S,43-54294-S
move	1-18851-S,1-18851-S,1-18933-S,5-62129-S,8-38009-S,9-25768-S,9-68220-S,12-67276-B,17-67034-S,18-57299-S,25-38714-S,25-39135-S,26-53991-S,26-58699-S,27-69499-S,27-69641-S,28-58085-B,28-58623-B,29-11465-S,31-3858-S,35-43518-B,38-1681-S,43-52281-S,47-26081-S,47-26200-S,48-42651-S,52-47166-S,53-26800-B,53-27307-S,55-15614-B,56-31764-S,60-28293-S,60-54004-B,62-38588-S,62-41165-S,62-69196-S,62-69622-S,62-69763-S,64-984-S,65-30663-B,70-15316-S
