of a similar kind	29-39202-B
of a simple person to be overwhelmed by new experiences and luxurious surroundings	9-41574-B
of a sinner	25-39302-S
of a slight risk	14-59606-S
of a society	32-25849-S
of a solid education	31-35967-S
of a song	65-51285-S,70-17583-S
of a song to pass from person to person	6-34782-B
of a sound	26-14979-S
of a sovereign	1-26742-S
of a space curve	23-35861-S,29-9233-S
of a spear	64-35445-S
of a species	13-33990-S,13-34677-S,47-32586-S,47-33723-S
of a speech	58-47670-S
of a spice etc	16-57900-S,21-4115-S
of a split chinese character	6-12656-S
of a squad	42-46452-S
of a star	31-31311-S
of a state	63-35900-S
of a state in former times	42-35867-S
of a state monopoly	9-6990-S
of a steelyard	47-23198-S,47-34796-S
of a stick	1-22700-S
of a stock animal	52-47219-S
of a stone	46-15755-S
of a story	6-31057-S,35-55165-S,49-41217-S,50-17371-S,50-44243-S
of a story with great momentum	37-39927-S
of a stove	41-35602-S
of a stranger not accustomed to the climate of a new place	2-15376-B
of a stringed instrument	42-59240-S,42-59373-S
of a sudden	1-399-S,1-621-S,2-25383-S,24-51107-S,67-43914-S
of a sum of money	43-50141-S,43-50258-S
of a swelling	38-32024-S
of a sword	64-32499-S
of a syllable	21-15772-S,68-17332-S
of a symphony	34-49541-S
of a system	17-68188-S
of a tablet	46-28850-S
of a tael	64-43805-S
of a tael 2 or 3 grams	64-31360-S
of a talk or conversation	58-16401-S
of a tank	7-34457-S
of a task	28-32176-S
of a teacher to prepare lessons	6-29687-B
of a team of 4	69-55709-S
of a temple	69-28626-S
of a ten day period	31-16691-S
of a tender	34-52804-S
of a term	21-19476-S,39-39141-S
of a text or argument	57-25980-S
of a thing	12-57482-S
of a tiger	41-12379-S,42-11298-S,55-48445-S
of a tiger and waist of a bear	55-47709-S
of a tire	29-7752-S
of a tool	64-35445-S
of a topological space in math 	1-47719-S,12-51574-S
of a torrent	37-3915-S
of a trade	1-9124-S
of a tradition	14-25454-S,71-51934-S
of a train bound for	23-61667-B
of a train conductor	60-36216-S
of a transitive verb	11-59455-S
of a tray	2-76608-S
of a tree	2-48363-S,33-156-S,33-203-S,33-203-S,33-39368-S,34-52202-S,34-61082-S
