organic chem 	49-42708-S
organic chemical	43-60648-S
organic chemical essential to hemoglobin and chlorophyll	11-11964-S
organic chemistry	11-47670-S,32-35505-B,53-62279-S,53-62353-S,54-963-S,68-23749-S
organic compound	12-69116-S,32-35425-B
organic compounds	52-33309-S
organic farming	40-62544-S
organic food	49-66030-B
organic law	49-38761-B
organic matter	32-35577-B
organic molecule	32-35355-B
organic substance	32-35577-B
organism	11-34666-S,11-46587-S,12-4142-S,14-20616-S,14-20696-S,32-35831-B,35-6127-B,43-23174-B,43-26032-B,52-7858-B
organization	1-47507-S,2-40026-S,2-40141-S,2-40392-S,2-41626-S,2-42418-S,3-58762-S,3-58857-S,4-11257-S,4-46841-S,5-28604-S,5-50681-S,7-30886-S,12-57482-S,13-60080-S,14-41656-S,14-46630-S,15-14996-S,15-15201-S,15-17311-S,15-17567-S,15-17828-S,15-18445-S,15-29469-B,16-1645-S,17-45247-S,20-41954-S,22-4049-S,25-45081-S,26-27829-S,27-5213-S,28-27381-S,29-29989-S,29-54874-S,29-54953-S,29-56433-S,29-64167-S,30-2148-S,30-9022-S,30-54170-S,31-3456-S,32-25849-S,34-9844-S,34-22757-S,34-54753-S,35-4347-B,36-23636-S,37-34950-S,45-2340-S,46-14174-S,46-48713-S,49-9857-S,49-38511-B,50-8808-S,51-11133-S,53-5817-S,53-14422-S,57-49846-S,59-49298-S,67-66995-S,67-67093-S,70-5709-B
organization e g trade union	46-47404-S
organization etlo	33-22295-S,33-22883-S
organization etlo xinjiang dissident group	33-22703-S
organization for economic cooperation and development oecd	49-58207-S,49-58372-S,49-59618-B
organization for nuclear research cern	35-29503-S
organization for security and cooperation in europe ocse	35-29011-B
organization for security and cooperation in europe osce	35-29175-B
organization for standardization	15-17176-S
organization founded in london in 1865	29-63399-S
organization in qing dynasty	7-51551-S
organization interpol	15-14843-S
organization nato	10-30099-S
organization ngo	67-65256-S
organization not for profit	67-67917-B
organization of african unity	67-66588-B
organization of american states	51-7520-B
organization of the islamic conference	4-49272-B
organization of the petroleum exporting countries	35-27175-B
organization one is affiliated with	26-28197-S
organization or enterprise	28-22465-S
organization sco	1-47581-S,1-51688-S
organization who	2-41105-S,2-41953-S
organization wto	2-42233-S
organizational committee	49-38173-B
organizational structure	23-20410-B
organizations	56-57114-S
organizations such as médecins sans frontières	40-48729-S
organize	49-37683-S,49-38272-B,49-38511-S,50-19552-B
organize into groups	50-20707-B
organize into teams	50-22235-B
organize papers etc	23-52911-S
organize the distribution of vehicles	58-37123-S
organized	69-23512-S
organized by different enterprises	51-63465-S
organized crime syndicate	71-32220-B
organized group	42-46783-B
organized on basis of households	5-38017-S
organized system	49-38511-B
organizer	49-38909-B
organizing committee	18-15163-S,18-15989-S,49-38598-B
organophosphate	32-35738-B
organophosphorus agent	32-35652-B
organs	7-31376-S,25-43177-S,38-13923-S,38-14027-S,43-52793-S,52-38012-S,52-53737-S,52-53786-S
organs and tissues in the thorax between the lungs	50-31136-S
organs fail 成语 saw	7-68796-S
organs of the human body	56-46472-S
organs of traditional chinese medicine nose eyes lips tongue ears 鼻目口舌耳	3-48904-S
organs ruled by six daoist deities heart 心	7-68706-S
orgasm	24-60798-B,24-62088-B,24-62664-B,24-63627-B,53-23892-B
oriental bullfinch	71-1901-B
oriental catfish	70-41799-B,70-45345-B
oriental cherry prunus serrulata or prunus yedoensis	35-17755-B
oriental daily news	33-19212-B
oriental giant radish japanese daikon	44-45504-B
oriental greenfinch carduelis sinica	50-72-B,55-36978-B,64-13954-B,64-14026-B
oriental rat flea xenopsylla cheopis	11-21828-S
oriental shipping company	10-57103-S
oriental whitebait	64-29543-B
orientalis	55-422-S,56-3735-S,69-30567-S,70-51399-S
orientalis david	40-24308-S,56-20569-S
orientation	6-46901-B,6-46964-B,12-61824-B,30-61935-B,35-37096-B
orientation e g gay	24-61425-S,24-62151-S
orientation to her husband s family traditional confucian assumption	18-21376-S
oriented	17-29049-S,68-1348-B,68-1722-S
oriented economic model	16-45480-S
oriented economy	8-7227-S,16-45367-S
oriented language	68-1616-S
oriented technology	68-1499-S
orifice	62-10348-S
origin	4-14066-S,5-18278-B,5-18337-S,5-18409-B,5-19626-S,8-44687-B,8-45903-S,11-31103-B,11-34810-S,11-34874-S,12-49288-S,12-49358-S,18-52470-S,32-60330-B,32-64966-B,33-64449-B,38-52556-B,39-15714-B,39-15870-S,40-8594-S,43-31642-S,43-38691-B,44-30791-S,48-21974-S,50-19439-B,51-27505-S,52-4314-B,52-5046-S,60-17254-B,61-57971-S
origin in polar coordinates	34-35027-S,34-36347-S
origin math 	11-35885-B
origin of an incident	3-31297-B
origin of coordinates	11-35885-B
origin of dharma in buddhism	37-32346-B
origin of names	12-56869-B
origin of some phenomenon	40-10619-S
origin of species	41-54451-S
origin of sth	39-23623-S
origin of value by miura baien 三浦·梅園 三浦·梅园	6-53205-S
original	9-4645-S,11-30177-B,11-30466-B,11-30560-B,11-31467-B,11-33497-B,11-34257-B,30-53202-S,32-61123-B,34-52931-S,42-18508-B,62-49955-B
original approach	9-3200-S
original calligraphy or painting of famous person	16-29910-B
original character	32-62856-S
original creation	42-18508-B,69-21322-B
original document etc	11-31467-B
original domicile and civil registration	46-53660-B
original forest cover	11-31550-B
original form	11-31388-B
original form of nuclear reactor	11-31881-S
original han dynasty dictionary shuowen jiezi 說文解字 说文解字	58-3667-S
original handwriting or painting	26-36567-S
original home	46-53277-S
original idea	9-37374-S,9-37428-B,32-64009-B
original inhabitant	11-30373-B
original intention or aspiration	9-1503-B
original juices	11-34257-S
original meaning	11-35277-B,32-65908-B
original meaning etymology	11-33252-S
original name	11-30998-B
original nature	11-33201-B
original or etymological meaning of a word	12-4895-B
original owner	12-56131-S
original path	11-35667-B
original position	11-30247-B
original shape	11-31388-B,11-33129-B,11-34117-B,41-6785-S
original sin	11-35230-B
original source	11-34874-B
original spot	11-35517-B
original state	24-12792-S,25-443-S,63-9689-S
original story	32-60452-B
original style	2-27077-S
original text	11-33318-B
original voice of a poet	35-26316-S
original work	46-9262-S
original work not translation or abridged	11-35374-B
originality	9-35108-B,11-30779-B
originality 成语 saw	42-18392-S
originally	11-30466-B,11-33414-B,11-33497-B,32-61123-B,43-66086-B,60-16052-B
originally a theatrical device in which a character explains his own role	53-4294-B
originally determined	11-32988-B
originally esp as paid stooge	28-6319-S
originally german	71-12120-S
originally planned	11-32988-B
originally two provinces of qin and han	22-9400-B
originate	9-36995-B,44-30726-S,44-34428-S,52-4066-B,60-16552-B,60-17254-S
originator	9-35166-B,69-21413-B
originator of a tradition	71-51934-B
originator of an evil practise refers to mencius 孟子	18-38317-S
origins	61-58459-S
oriole	70-57804-B,70-57954-B,70-58254-B,70-58284-S,70-58394-B,71-2779-S,71-25440-B
oriole oriolus chinensis	71-25440-S,71-25522-S,71-25693-S,71-30475-S
oriolus chinensis	71-25440-S,71-25522-S,71-25693-S,71-30475-S
orion constellation	18-12967-B,42-24477-B
orion in traditional chinese astronomy	11-39197-S
orion m42	42-24542-S
