present the counts	47-9333-S
present the facts and reason things out	29-29425-B
present thirst	62-61567-S
present time	45-16495-S,51-35149-S,62-65990-S
present to	4-27729-B,42-26138-B
present to sb to ensure success	64-38112-S
present to study the past	20-36571-S
present value	42-49484-B
present value npv	38-44682-S
present with	61-63346-S
present with a weighty thought behind it	10-51192-S,10-51499-S
present with the past	4-23224-S
present 成语 saw	5-64777-S,59-42167-S,59-43860-S
presentable	2-19765-S,6-50339-B,27-54996-S
presentation	48-36943-B
presentation layer	56-45940-B
presenter	3-5673-S
presenting abstractions as people	29-27081-S
presenting the buddha with borrowed flowers 成语 saw	6-981-S
presently	43-64732-B,66-43086-B
presents	59-62389-S,60-4353-S
presents between lovers	28-22108-S
presents to one s elders or superiors	19-9759-S
preservation	5-37650-S,27-56760-B,69-11390-S
preservation of soil moisture	5-34972-B
preservative	65-63106-B
preserve	5-34645-B,5-35286-S,5-37243-S,5-38150-S,5-39034-B,43-48324-S,43-48920-S,50-839-S,50-3373-S,50-61764-S
preserve fertility of soil	61-15534-S
preserve one s ambitions although destitute	59-36824-S
preserve the outmoded	5-37556-S
preserve the outworn	27-13396-S
preserve unity	24-43970-S
preserve us	66-2013-S
preserved corpse	32-52334-S
preserved eggs	45-135-B
preserved fish	70-42394-B
preserved fruit	52-35045-B
preserved in sugar or honey	56-5034-S
preserved meat	52-35969-B,52-53419-B
preserved pomfret	70-44251-S
preservere	27-56332-S
preserves	69-17789-B
preserving	5-39141-S,5-40686-S
preserving correspondence	5-39210-S,5-40759-S
preside over	3-5620-B
presidency	32-25690-B,50-34774-B
presidency of eu	61-15456-S
president	7-37016-S,9-33375-S,16-21237-S,22-9064-S,45-13599-S,48-8814-S,50-33710-B,55-26127-S,56-35366-S
president al bashir of the sudan	22-5378-S
president fidel ramos	27-25330-S
president jimmy carter between israel and egypt	17-34511-S
president of a club	32-25635-B
president of a country	17-30782-B,50-34714-B
president of a university etc	66-20498-B
president of france	47-5345-S
president of russia 1991 1999	54-51225-S
president of the republic of egypt	49-15882-S
president of vietnam	66-27584-S
president or director of association etc	46-50509-B
president sadat s infitah policy towards investment and relations with israel	65-22502-S
president since 2004	11-13673-S
presidential election	50-34922-B,50-35066-B
presidential palace	22-62727-B,50-35001-B
presidential system	50-34856-B
presiding judge	20-20853-B,23-524-B
presidium	3-4883-B
presley 1935 1977	15-59873-S,59-28176-S
press	1-51805-S,4-27502-S,6-30180-S,8-41647-S,10-39635-S,13-58190-S,16-8971-S,16-11156-S,16-32332-S,16-33864-S,17-34043-S,30-10182-S,30-54591-S,30-55062-S,34-40189-S,44-32386-S,54-64907-S,61-52949-S,61-60825-S,71-39574-S
press a button	27-61804-S
press a false analogy	66-15855-S
press a pedal	60-46429-S,60-48114-S
press against	27-68448-S
press and publication administration	30-54170-B
press ap	51-8598-S
press bell	29-17199-S
press close to	59-48590-S
press closely on some goal	62-32665-S
press conference	27-41870-B,57-66888-B,57-66971-B
press ctrl alt delete	65-37869-S
press down	27-61804-S,29-26929-S,64-53683-S
press down firmly	28-9605-B
press for	62-33566-B
press for a payment	6-32243-S
press for action	9-45228-S
press for extracting wine	63-49042-B
press for payment of debts	62-34113-B
press from either side	17-69457-S
press gang	27-20471-S,27-21804-B
press gang sb and sell into slavery	28-20357-S
press ganged and sold into slavery during western colonialism	28-20430-S
press home the attack	3-12870-S
press i e publishing house	32-11729-B
press in	61-52553-S,61-52671-S
press international upi	12-36201-S
press near	39-9185-B
press on	16-4753-S
press on towards	62-33566-B,62-34543-B
press release	30-54894-B,49-63245-B
press report	57-66821-B
press sb into doing sth	9-68093-S
press sb to death	6-30776-S
press up physical exercise	5-50213-B
press up to	62-33566-B
press with finger	28-61572-B,28-63127-S
press with the hand	27-61646-S
press 成语 saw	69-4610-S,69-19831-S
pressburg slovakia	31-53012-B
presse	37-31974-S
pressed	2-11609-S,6-2682-B,12-27392-S,27-47820-B,47-55808-S
pressed dried salted duck	33-31515-B
pressed for cash	50-58184-S,50-62628-S
pressed for money	27-47877-S,27-47953-S
pressed to extract oil	37-22348-S
pressing	24-60202-B,49-55585-B,50-15588-B,61-51642-B,61-52046-B,61-52101-B,62-33860-B
pressing affairs	29-11780-S
pressing danger	11-23520-B
pressing down brush movement in painting	27-61646-B
pressing in on one s eyelashes 成语 saw	61-52201-B
pressing matter	24-57847-B
pressing need	50-22471-S
pressure	4-68224-S,4-69481-S,15-46596-S,16-32332-B,16-32722-B,16-33059-B,17-23785-S,17-23847-S,17-23919-S,21-61154-S,21-61154-S,23-43766-S,24-2766-S,24-32275-S,24-38337-S,24-38630-S,29-42098-S,30-65360-S,30-65420-S,31-50890-S,34-54533-S,34-54642-S,36-16829-S,36-27869-S,36-27869-S,36-40259-S,38-37415-S,39-242-S,39-19922-S,39-32688-S,45-48669-S,48-18150-S,48-18150-S,48-18216-S,49-20002-S,52-29483-S,53-31010-S,56-24599-S,59-31443-S,63-57348-S,70-12653-S,70-21408-S
pressure as measured	16-32831-B
pressure cooking	16-32908-B
pressure crease	16-33392-B
pressure from outside	16-44711-B
pressure gradient	48-19315-S
pressure group	40-48848-S,57-67031-S
pressure meter	56-24646-S
pressure on a drill bit	65-9023-B
pressure on the median nerve	52-38801-S
pressure roller used in dyeing trough	60-61090-B
pressure to do sth	61-52410-S
pressure vessel	16-32762-B
pressurize sb continually	6-30776-S
prestidigitation	59-8757-B
prestige	1-58915-S,1-62445-S,5-46458-B,5-64058-S,15-4054-S,18-44861-B,18-44904-B,18-45700-B,18-47352-B,18-49199-B,24-29131-S,35-18672-S,51-66121-B,59-51528-S
prestigious	63-60614-B
prestigious house	12-59156-B
preston	31-53086-B
prestressed	68-29014-B
presume	24-54113-B,30-35114-S,47-59609-S
presume on	62-16543-B
presume on sb s patience	8-11086-S
presume to	2-12264-B
presumption talk	18-33871-S
presumptious and ignorant person	18-32547-B
presumptious demands	18-33091-S
presumptuous	18-32354-B
presumptuous request humble expr 	2-9976-S
pretence at complying 成语 saw	55-53901-S
