refers to 夜明珠	31-24576-B
refers to 日本鬼子	70-31287-B
refill for a ball point pen	48-15005-B
refinancing	8-9811-B
refine	10-53686-S,28-38015-S,28-42031-S,41-71-B,48-54468-B,64-47421-S,64-49707-S
refine with fire	58-12957-S
refined	8-6053-B,18-60348-B,18-60435-S,23-56923-B,30-31452-B,30-31992-B,30-40774-B,39-23199-B,48-52303-S,48-52826-B,48-58188-B,55-42821-S
refined ability	48-52303-S
refined and courteous	23-56964-B
refined and virtuous	69-64681-B
refined chant	66-55410-S
refined cream cheese	63-47572-B
refined grain rice	48-57375-B
refined in manner	30-31047-B
refined language	61-36249-B
refined rice	48-52303-B,48-57269-B
refined white sugar	44-43784-B
refined 成语 saw	11-9212-S
refinement	48-52890-B,48-57559-B
refinery	41-674-S,41-721-S,46-4063-B
reflect	11-46587-S,11-50158-S,23-59431-S,31-32282-B,31-32545-S,41-6501-S,65-6307-S,70-8393-S
reflect on	24-55947-S
reflect on one s best strategy	58-50749-S
reflect on one s past errors	24-56513-S
reflect the reality 成语 saw	12-53164-S
reflected by a notion	7-29413-S
reflected from an object	4-4227-S
reflected glory	5-64058-B,37-25839-B
reflected in	70-8393-S
reflected in a cup as a snake 成语 saw	33-13429-S
reflected in the lake 成语 saw	64-58033-S
reflecting mirror	11-44342-B
reflection	11-50158-B,11-51387-B,23-58751-B,23-59313-B,38-49939-S,65-6307-B
reflection from a mirror etc	11-46587-B
reflection in dialectic materialism	11-50311-S
reflection in water	5-58169-S
reflection nebula	11-46932-B
reflections	25-41449-B
reflectivity	11-51432-B
reflector	11-44342-B
reflex action	11-46707-B
reflex angle	27-10926-B,29-4610-B
reflex arc	11-46878-B
reflex i e automatic reaction of organism	11-46587-B
reflexive pronoun	11-54751-B,53-5098-B
reflexology alternative medicine	11-46777-B,11-47006-B
reforest	49-64404-S
reform	8-10069-S,25-7594-S,29-46670-S,30-15314-S,36-52919-S,49-60356-S,59-10021-S,64-15034-S,68-4453-S
reform a criminal	25-39302-S
reform and open to the outside world	29-46898-S
reform and renewal	32-8196-B
