to lash, beat, whip, flog.	verbero
to last endure, persist.	eduro
to laugh at, laugh.	rideo risi risum
to laugh at, mock, deride.	derideo
to laugh at, mock, ridicule.	inrideo
to launch, ponder.	libro
to lavish care upon.	operam do
to lavish, bestow, grant, give abundantly.	largior
to lay aside, put away, store/strip, deprive.	exuo
to lay hold of.	arripio
to lay in ruins.	disicio
to lay in.	impono
to lay out, expend, weigh out.	impendo
to lay to a charge, enter in an account, impute to.	imputo
to lay waste, ravage, devastate.	depopulo, depopulor
to lay waste, ravage.	devasto
to lay, place, put, set /(milit.) post, station.	pono posui positum
to lead back, bring back, return.	reduco
to lead in, introduce, induce, influence.	induco indux inductum
to lead in, introduce.	introduco
to lead on the march, marry a wife, command.	duco
to lead the way.	praeeo
to lead through, conduct, carry through.	perduco
to lead, draw, esteem, consider.	duco
to lead, induce, persuade, bring.	adduco
to lead, or take away/ detach, withdraw.	abduco
to lead.	induco-are
to lead.	protelo
to lean against /strive, strain, labor, struggle.	nixor
to leap at or on /revile, insult, deride, heap scorn upon.	insulto
to leap over.	transilio
to leap upon.	assilio
to leap, jump, dance (as in a religious procession).	tripudio
to learn, become acquainted with.	disco
to learn, find out, ascertain.	comperio
to leave behind, bequeath/abandon, forsake.	relinquo
to leave desolate, abandoned, to forsake.	desolo
to leave off, cease /linger, delay.	cesso
to leave off, give over, cease, stop, desist.	desino (desiit)
to leave, abandon, foresake.	desero
to leave, forgive, send away, abandon.	dimitto
To less, diminish, decrease, grow smaller.	minuo minui minutum
to let down, lower /subject, subordinate.	summitto
to let down, lower.	demitto
to let go forward, send forth, promise, undertake.	promitto
to let go without reins.	effreno
to let go, send forth, undertake, promise.	promitto
to let go, transfer / estrange / forget.	alieno
to let slip, lose, pardon.	omitto
to liberate, deliver/ punish, avenge/ claim, assume.	vindico
to lick /(of rivers) to wash.	lambo
to lie down often.	cubito
to lie down, recline / be ill in bed.	cubo
to lie hidden, be concealed.	latito
to lie in ambush.	commoro, in loco insidiarum
to lie or lean upon, lean over, overhang.	incumbo
to lie, lie prostrate, lie dead.	iaceo
to lift (an obstacle), raise.	libero
to lift .	tollo
to lift again, lighten, alleviate, relieve.	relevo
to lift up, raise up, erect /elevate, exalt.	extollo
to lift up, raise, elevate, carry away. .	tollo sustuli sublatum
to lift up, take away.	tollo
to light up, illuminate.	illustro
to light.	elucido
to limp, halt, be lame, to hobble.	claudeo
to limp.	claudico
to linger.	morulo
to link together, bind together.	concateno
to listen to, hear plainly, hear favorably.	exaudio
to live from another's table.	aliena quadra vivere
to live in exile.	exsulo
to live, be alive.	vivo vixi victum
to live, to sustain, support life.	vivo
to load, burden, oppress, fil up.	onero
to loiter, linger, tarry, belay.	demoror
to long for, wish for greatly, to miss.	desidero
to look at attentively, gaze at, consider.	intueor
to look at, behold, gaze at, see.	aspicio
to look at, regard carefully,.	considero
to look at, watch, see/aim at, tend towards.	specto
