'bout cindy.	1-8111-S
1, dep. v, to be of the opinion of.	6-2024-S
1/10 of a legion.	4-1872-S
10 of a legion.	4-1872-S
100 (undeclinable).	20-1392-S
1500th.	3-2155-B
20 and 45).	42-3957-S
20-40 years).	26-4860-S
24) pot, bowl, drinking vessel.	2-1979-S
25:268].	2-7371-S
268].	2-7371-S
279.	11-4547-S
28, 69.	24-804-S
282).	41-1381-S
283, 293).	5-6406-S
293).	5-6406-S
2nd person present subjunctive of sum) you may be.	1-3187-B
3 persons only) to give off a smell/ to make onself noticed.	1-3243-B
3, put in place, begin.	3-2180-B
3, to mock, to scorn.	3-2221-B
3, to touch, touch upon, to speak of.	3-2257-B
308).	24-4114-S,29-5198-S
38 bc (spain).	3-2315-S
39, 44).	28-6811-S
4 or 5 years, years from 38 bc (spain).	3-2315-B
40 years).	26-4860-S
44).	28-6811-S
45).	42-3957-S
5 years, years from 38 bc (spain).	3-2315-S
69.	24-804-S
[+ abl.] be distinguished for.	27-3927-S
[+ abl.] deuoid of/ worthless useless, vain.	11-5042-S
[+ abl.] discharge, administer.	27-3968-S
[+ abl.] free from, alone, safe.	3-407-B
[+ abl.] settle.	27-5848-S
[+ abl.] to be devoid of whatever.	3-448-B
[+ abl] obtain.	27-4010-S
[+ acc.] to keep silent , to silence.	27-4036-S
[+ acc] incur.	27-4086-S
[+ acc] make resound with,.	36-3559-S
[+ ad, pro] desire.	27-4142-S
[+ comp. adj.] more than usually	3-490-B
[+ contra] dispute.	27-4112-S
[+ dat.] to be the equal of.	3-530-B
[+ dat] attend closely to/ [+ ad, pro] desire.	27-4142-S
[+ dat] lie in wait for, plot against.	27-4198-S
[+ dat] persist in, urge.	27-4249-S
[+ dat] to speak in favor of.	3-568-B
[+ gen.] fellowship with.	41-1164-S
[+ gen] give thanks for.	27-4286-S
[+ gen] to be lord and master of, dominate.	3-605-B
[+ gen] unreliable.	3-657-B
[+ gen] untroubled by, easy, at ease.	3-683-B
[+ in] prosecute.	4-5711-S
[+ inf.] is of importance.	3-729-B
[+ inf.], struggle alone, strive.	28-2382-S
[+ inf] accustomed to.	3-764-B
[+ inf] to long to.	27-4325-S
[+ ne] shudder at, be horrified at.	27-4355-S
[+ negative] care nothing for.	27-4401-S
[+ remis] ply one's oars.	36-4574-S
[+ subj clause] to be better, preferable.	3-794-B
[+ subj.] because.	5-776-S
[+ subj.] rather, let, verily.	3-844-B
[+ yerga, tergam] turn, retreat/ exchange.	3-880-B
[-a, -um] hollow, empty.	3-929-B
[-egi, -actus] put down, conquer, compel.	27-4472-S
[-onis] punishment, reproof.	3-1456-B
[-orum] an encampment, temporary fortification, bivouac.	3-1496-B
[-rexi, -rectum] to set straight, put in order.	3-1810-B
[a coat of chain mail], a knight's service.	15-136-S
[a journey] tread; (with d.) follow.	31-5854-S
[a] suppliant.	3-960-B
[acc] for sale.	3-983-B
[adj.] reviling.	7-647-S
[adj] courageous, brave, warlike.	3-1005-B
[again].	29-3384-S
[an earth rich in cac, added to lime-deficient soils].	18-2152-S
[away].	28-2892-S
[boundary] line, a line limiting a field by agrimensores.	3-1048-B
[cavi cautum] beware, avoid, look out for.	3-1112-B
[crines] to cut hair.	27-4440-S
[dative] for sale.	3-1161-B
[etiam maior = still greater.	1-1316-S
[euphemism].	5-3408-S
[from england].	5-4294-S
[in adiutorium] to ones assistance, succor.	30-1226-S
[inesse, infuit] to be in or on, contained in, within.	3-1185-B
[instrument of] deceit, trap, ambush.	3-1246-B
[leather] helmet.	3-1290-B
[left] behind.	3-1314-B
[make a] bustle.	28-5130-S
[med] juror, member of an inquest, trustee.	3-1341-B
[medieval] one holding an honor, official, magnate.	3-1396-B
[mghss 25:268].	2-7371-S
[monastery].	21-1801-S
[of a place].	21-2427-S,21-2536-S
[off], fetch.	29-6024-S
[ones].	12-3325-S
[passive] to land.	31-4440-S
[persons] careful, cautious /[things] secure, made safe.	3-1560-B
[pl.] dessert.	3-1624-B
[political/diplomatic power] influence.	3-1648-B
[posthabito].	35-6316-S
[property] made safe, secured/ fenced/ secured by law.	3-1697-B
[resperi, respersum] to sprinkle, splash.	3-1759-B
[sic](adverb) several times.	3-1865-B
[stealthily] approach, submit to.	27-4524-S
[things] secure, made safe.	3-1560-S
[trans.] work hard at.	28-2742-S
[vikings], heave.	29-5135-S
] be distinguished for.	27-3927-S
] because.	5-776-S
] dessert.	3-1624-S
] deuoid of/ worthless useless, vain.	11-5042-S
] discharge, administer.	27-3968-S
] fellowship with.	41-1164-S
] free from, alone, safe.	3-407-S
] is of importance.	3-729-S
] more than usually	3-490-S
] rather, let, verily.	3-844-S
] reviling.	7-647-S
] settle.	27-5848-S
] to be devoid of whatever.	3-448-S
] to be the equal of.	3-530-S
] to keep silent , to silence.	27-4036-S
] work hard at.	28-2742-S
], struggle alone, strive.	28-2382-S
a	4-1999-B,4-2003-B
a bad odor, stink.	33-2951-S
a bad smell, a stink.	4-2010-B
a banquet, feast / food / dishes, courses of a meal.	4-2039-B
a banquet, feast.	3-2365-B
a bargain or agreement, covenant, deal.	34-4150-S
a bargain, make a deal.	37-6775-S
a bargain.	23-5618-S
a barker (such as a dog).	3-2390-B
a base/ foundation/ pedestal.	3-2425-B
a basket.	3-2461-B
a bath.	3-2480-B
a bathhouse.	17-113-S
a beam of wood, a timber /tree-trunk, ship, table.	3-2498-B
a bean, pea, legume.	3-2555-B
a beard.	6-4440-S
a beating, thrashing.	2-2259-S
a bedroom.	21-658-S
a beginning, undertaking, initiative.	3-2584-B
a bending, swaying.	3-2628-B
a bird).	26-5856-S
a bird, beak.	7-114-S
a bit of money, a small property.	3-2657-B
a bit.	13-2483-S,17-4767-S
a biting, bite, also, sting, pain.	3-2700-B
a bitter weed, vetch.	3-2742-B
a blacksmith /iron mines.	19-5938-S
a blow, stroke, wound, buffet,.	3-2770-B
a boil, become hot.	30-1290-S
a bone.	2-4959-S
a book, an announcement.	27-456-S
a book, go over again, repeat.	38-7453-S
a book.	40-2809-S
a boundary mark, limit, end, border.	3-2808-B
a breaking / fragments, remains, ruins.	3-2854-B
a breaking /infractio aninimi dejection.	3-2913-B
a bridle.	42-1005-S
a bringing forward, mentioning /extension /deferring.	3-2964-B
a brute, beast, large animal.	3-3027-B
a bullet, lead pipe.	17-2566-S
a bundle, packet.	3-3064-B
a burden /steward.	21-3625-S
a burden, have a responsibility.	29-6055-S
a burden, weary, pregnant.	29-231-S
a bushel basket.	3-5204-S
a buying, a purchase.	3-3088-B
a cake.	3-3117-B
a camp, military/ disciplined, orderly.	21-695-S
a cardinal point /main consideration.	3-3133-B
a catching, taking / power or manner of comprehension / idea.	3-3184-B
a cathedral chapter or canonry, augustinian.	7-5765-S
a cause.	35-6447-S
a certain (one, thing, someone).	3-3253-B
a certain condition.	11-140-S
a certain extent.	27-4567-S
a certain measure.	15-6319-S
a certain person or thing / a kind of.	3-3294-B
a certain state, to fall into.	32-5729-S
a certain way, in a certain measure.	15-6319-S
a charcoal burner.	3-3362-B
a charge in court.	8-5451-S
a charge, enter in an account, impute to.	34-439-S
a charge, manoeuver.	2-4823-S
a chariot.	20-1567-S
a chestnut or chestnut.	3-3393-B
a church, cathedral.	3-7085-S
a citizen of the lowest rank.	3-3426-B
a city /ramparts /castle, fortress.	41-731-S
a city), street.	40-6395-S
a civitas.	11-757-S
a claim.	30-6739-S
a clam.	3-3468-B
a clarification.	3-3484-B
a clean sweep.	3-4662-S
a colewort (plant).	3-3512-B
a colony.	33-7171-S
a combining, blemish, disorder.	3-3538-B
a coming.	3-3579-B,5-5990-S
a concealed manner.	24-582-S
a conclusion.	34-3584-S
a condition, lessen.	29-4074-S
a confused way, fumbling.	15-6370-S
a consequence or result of something.	28-3992-S
a contest, contention.	3-3596-B
a cough.	3-3630-B
a country other than greece or rome, savagery, rudeness.	3-3646-B
a course	3-7380-S
a cow with calf.	3-3712-B
a coward.	17-2421-S
a crash, crack.	3-3735-B
a creditor, satisfy a creditor.	35-1361-S
a creditor.	35-1361-S
a crime.	8-782-S,32-352-S
a crowd of attendants, a following.	3-3758-B
a cruel manner.	15-6408-S
a crystal, crystal drinking cup.	3-3803-B
a cubit long.	3-3858-B
a cubit.	26-5343-S
a cypress-wood casket.	10-478-S
a dark garment.	10-943-S
a dart.	3-3882-B
a deal.	37-6775-S
a debt, pay.	38-7393-S
a debt, refuse to return something.	30-6974-S
a deep breath /long for, yearn after.	37-2033-S
a degree, so, so far.	37-7418-S
a degree.	4-6494-S
a deity), polish, adorn, refine, serve.	33-4423-S
a demand, request, desire /complaint.	3-3895-B
a depth, abyss, chasm /the sea.	3-3944-B
a design, purpose, scheme, theme of discourse.	3-3986-B
a destroyer.	3-4044-B
a difference.	2-2105-S
a different fashion.	15-6514-S,20-3821-S
a digger, ditcher, sapper / fool, boor, clown.	3-4065-B
a diligent search for, examine.	34-4207-S
a disease where the body is curved backward.	3-4119-B
a disease) attack.	36-7022-S
a disgrace.	3-4177-B
a dish.	3-4195-B
a disorderly manner.	16-5485-S
a distance, from a distance.	6-708-S
a distance, prosper, propitious.	36-6475-S
a distance.	6-708-S,12-3821-S
a distinguishing, distinction, difference.	3-4210-B
a district, country-folk, peasants.	16-3105-S
a district.	22-5785-S
a diver.	3-4264-B
a document.	27-775-S
a dog).	3-2390-S
a door, opening, entrance.	3-4280-B
a doubt.	7-1710-S
a doze, forty winks.	3-6336-S
a dragging, drawing, pulling /territory, tract.	3-4313-B
a dream, fancy /foolish nonesense.	3-4369-B
a dream.	22-3258-S
a drop (of liquid).	3-4412-B
a dwarf.	3-4439-B
a dying.	27-927-S
a face, appearance, shape, form.	3-4465-B
a face.	34-4256-S
a falling /occasion, opportunity /event.	3-4505-B
