field, acre.	12-3869-S
field, plain.	17-3629-S
field, victor.	8-1514-S
field.	18-2921-S
fields, cultivator.	2-4639-S
fields.	17-1604-S
fierce, rough.	40-6659-S
fierce, wild, savage, untamed.	12-5815-B
fierce.	12-5852-B,12-5868-B,24-3016-S
fiercely hating, despising.	17-5080-S
fiercely, cruelly, roughly.	1-5793-S
fiercely.	12-5882-B
fierceness.	23-3981-S
fiery, ardent, burning,.	12-5900-B
fiery, passionate, excited.	7-1524-S
fiery.	12-5932-B,12-5948-B,14-2235-S
fifteen times.	12-5964-B
fifteen years.	17-2017-S
fifth.	12-5991-B
fiftieth part.	12-6007-S
fiftieth, a fiftieth part.	12-6007-B
fig tree.	12-6049-B
fight against, attack, assault, assail.	32-2329-S
fight back.	35-87-S
fight from a chariot.	20-1567-S
fight out.	39-110-S
fight to the finish.	30-3929-S
fight you all, then; bring me giants!.	1-3790-S
fight, attack, oppose.	32-2380-S
fight, battle, conflict, set-to.	12-6065-B
fight, battle, fracas.	11-268-S
fight, pugnacity.	26-5300-S
fight, punish, afflict.	34-3992-S
fight, strike, deal blows, lash out.	32-2414-S
fight.	32-2461-S,37-7081-S
fighten, terrify, intimidate.	32-2477-S
fighter, warrior, combatant.	12-6104-B
fighting man, warrior.	12-6154-B
fighting, combative, stubborn, contntious.	13-1862-S
figure, after the fashion of, like.	3-4937-S
figure, shape.	23-2260-S
fil up.	34-3009-S
file, polishing, revision.	12-6186-B
fill in (or up), satisfy, content, fulfil, perform.	32-2518-S
fill up again, fill, satisfy.	36-3154-S
fill up, complete, finish.	32-2731-S
fill up, content, satisfy.	32-2580-S
fill up, fill up again, fill, satisfy.	36-3154-S
fill up, man, bring up to strength, fulfil.	32-2617-S
fill up, stuff.	32-2672-S
fill up.	32-2712-S
fill, fill up, complete, finish.	32-2731-S
fill, satisfy.	32-2791-S,36-3154-S
fill.	30-4585-S,36-2815-S
filled, full.	12-6218-B
filled, laden.	12-6241-B
filled.	25-0-S,25-28-S
fillet.	16-3856-S
filling.	25-5967-S
film, parchment, membrane, prepared skin.	27-2305-S
filth, manure.	11-2812-S
filth, meanness, stinginess.	12-6263-B
filth, sweepings.	23-4131-S
filth.	11-2071-S,11-2114-S,12-6299-B,12-6320-B
filthy.	2-3156-S,2-3204-S,12-6337-B,19-6416-S
filty manner.	13-4820-S
finally, again, in short.	6-1009-S
finally.	6-1052-S,6-1168-S
find again.	32-5670-S
find fault with.	27-5019-S,27-5061-S
find good, judge.	37-1705-S
find out with certainty, lay open.	31-1716-S
find out, ascertain.	34-1345-S
find out, discover.	32-2845-S
find pleasure in.	32-867-S
find, ascertain, invent, find again.	32-5670-S
find, discover.	30-1643-S
find.	28-2043-S,34-6227-S
fine	17-5788-S
fine flour, fine meal. (also pollis ).	12-6353-B
fine meal. (also pollis ).	12-6353-S
fine with me, baby.	1-3462-S
fine, beautiful /proper.	15-3350-S
fine, charge, tax, amercement.	3-4619-S
fine, delicate.	25-1558-S
fine, distrain.	39-3943-S
fine, elegant, refined.	41-1476-S
fine, elegant.	23-4035-S
fine, fair.	6-4610-S
fine, mulct.	22-1797-S
fine, superb.	12-2285-S
fine.	2-787-S,11-4404-S
finely formed.	12-6399-B
finely, handsomely.	6-4809-S
fineness.	6-4905-S
finest.	42-3568-S
finish a war, fight out.	39-110-S
finish, complete.	32-2816-S
finish, determine, decide, settle.	8-5585-S
finish, end.	29-4134-S
finish, waste away, destroy.	37-4069-S
finish.	14-2650-S,30-3929-S,31-1654-S,32-2731-S,32-5046-S,38-4096-S
finished /right away, immediately.	16-5759-S
finished, done /perfect, without flaw.	8-5636-S
finishing, end.	8-5695-S
fire	12-6423-B
fire to, burn, singe, kindle, light.	37-236-S
fire to.	37-296-S
fire, inflame, to torch, kindle.	37-578-S
fire-god.	12-6440-B
fire.	7-4239-S,12-2425-S,12-6459-B,12-6471-B,13-904-S,20-6051-S,30-3838-S
firm / encourage.	28-1848-S
firm, determined, with one's mind made up.	23-1104-S
firm, mean, stubborn, obstinate.	21-533-S
firm, resolved, staunch.	12-6486-B
firm, stable, steadfast.	12-6522-B
firm, stop, endure.	28-4622-S
firm, strong, reliable, solid.	13-0-B
firm, unchanging, constant, unwavering.	25-4033-S
firm, unshaken, stable.	13-38-B
firm.	20-6452-S,34-4901-S,35-1813-S,37-5360-S
firmly placed.	24-4891-S
firmly, dependably, steadily.	25-3982-S
firmly, include, seize.	31-4969-S
firmly, steadfastly, on the spot, at once.	13-74-B
firmly/ concentrate, fix upon.	12-4001-S
firmness, constancy.	41-2932-S
firmness, obstinacy, stubborness.	13-124-B
firmness, solidity.	9-429-S
firmness, stability, durability.	25-3894-S
first beginning, origin.	13-169-B
first cousin.	18-2720-S
first few words.	6-5699-S
first man.	26-5453-S
first part of the night, evening.	13-205-B
first place.	6-936-S,23-4417-S
first principle, element, basic constituent.	13-251-B
first time, even once, once, ever.	4-193-S
