gag.	16-6216-S
gage, collateral, surety, pawn.	14-577-B
gain an injunction.	32-4138-S
gain strength.	33-1687-S
gain, get, obtain.	27-5288-S
gain, learn, perceive, understand.	32-5291-S
gain, obtain, serve as a soldier.	10-3920-S
gain, prey.	21-2847-S
gain, profit, win.	32-5356-S
gain, profit.	14-616-B
gain, rich.	21-6637-S
gain.	29-5914-S,32-5385-S
gainful.	21-6692-S
gainiing, getting.	21-6479-S
gainsay.	37-3576-S
gait.	20-5015-S
gale; (milit) charge, onset, wave.	25-4744-S
gall, chafe.	29-5011-S
gallery.	40-4998-S
gallows.	26-5515-S
gals.	42-3835-S
gamble, dare.	23-3159-S
gambler / someone who takes chances.	10-4956-S
game / risk, chance, hazard.	10-4917-S
game of chess. .	8-2492-S
game, pitfall.	3-6736-S
game, sport, school.	14-637-B
game, the chase.	15-4825-S
game.	14-664-B,14-679-B
gaming board, painted panel.	7-1365-S
gang of mine.	19-1080-S
gang of.	40-6517-S
gangway of a ship.	14-693-B
gape /yearn for, desire, want, covet.	32-5402-S
gape wide.	32-5449-S
garb, dress.	30-713-S
garb, nun's veil, mantle.	9-4077-S
garb.	8-3950-S
garbage, refuse.	23-4177-S
garden / pl. grounds, park.	14-718-B
garden/ sole of the foot.	19-4962-S
garland, pedigree.	14-759-B
garland.	13-1557-S
garment, covering, blanket, carpet, tapestry.	8-3984-S
garment-tails.	24-289-S
garment.	9-4050-S,10-943-S,14-785-B,14-803-B
garret, attic.	14-824-B
garret.	23-3671-S
garrison of a fortress.	14-849-B
garrison troops, assistance, aid.	14-884-B
garrison, detachment /protection.	14-4202-S
garrulous.	8-2332-S,26-2991-S
gasping, death rattle.	25-432-S
gate, entrance.	14-929-B
gates).	2-655-S,2-720-S
gather around /attend (a person).	30-2214-S
gather strength, become stronger.	32-5467-S
gather together, apprehend.	38-4050-S
gather together, assemble, convene.	32-5514-S
gather together, assemble, draw up, unite.	32-5562-S
gather together, assemble.	17-3162-S
gather, choose, collect, pass through, read.	32-5617-S
gather, regather, flock together.	14-951-B
gather, take away.	35-2857-S
