grant.	33-3410-S
granted that, although / it is allowed, one may or can.	14-3278-B
granted that, although.	1-7055-S
granted, assume.	38-2057-S
granted.	28-156-S
grape vine.	41-5575-S
grape vines).	40-6569-S
grape.	27-1261-S
grasp, affect, infect.	38-4683-S
grasp, detain, arrest.	36-7132-S
grasp, know, understand.	33-1021-S
grasp, seize, enjoy, get a start on.	38-1632-S
grasp, take together, unite /comprehend.	33-1055-S
grasp.	11-4858-S
grasping, stingy, cligning, frugal, obstinate.	14-3340-B
grass.	14-3393-B
grateful, thoughful, prudent.	18-4722-S
gratifier".	35-4279-S
gratify.	33-3514-S
gratifying.	5-1155-S
gratitude, favor.	14-3407-B
grave, follow to the end.	32-3928-S
grave, heap of earth.	19-386-S
grave, solemn.	24-1856-S
grave, tomb, sepulcher.	14-3432-B
gravitation, movement down.	3-6472-S
graze, forage, browse.	33-1111-S
great / high / deep / noble / ancient, old / secret.	18-2781-S
great ancestor.	14-3467-B
great as you please, however great.	5-6313-S
great as you will.	5-6601-S
great as, as much as.	5-6362-S
great as.	15-4194-S,15-4226-S
great deal, by a lot.	7-5174-S
great effort.	17-939-S
great grandfather, ancestor.	14-3618-S
great important, honorable.	17-1793-S
great labor.	30-2176-S
great lords, the best people, the upper class.	18-713-S
great number, a large part, the greater part.	40-5539-S
great pain.	38-4353-S
great profusion, profusely, abundantly.	16-29-S
great promise.	19-5844-S
great value.	2-1928-S
great!, how much, as great as.	15-4226-S
great, as great as.	15-4194-S
great, exceedingly.	4-5347-S
great, important.	17-1747-S
great, of such a size.	25-225-S
great-grandfather.	14-3494-B,14-3556-S
great-grandson.	14-3521-B,14-3588-S
great-great grandfather, ancestor.	14-3618-S
great-great-grandfather.	14-3556-B
great-great-grandson.	14-3588-B
great-great-great grandfather, ancestor.	14-3618-B
great.	2-6370-S,5-6313-S,14-3666-B,15-4428-S,19-803-S
great?, how great!, how much, as great as.	15-4226-S
greater extent, rather, for preference.	18-6265-S
greater part.	40-5539-S
greater, add, increase, augment.	34-5160-S
greater.	1-1316-S,4-6435-S
greatest.	27-1117-S
greatly adorn.	33-1143-S
greatly, exceedingly, to the highest degree, very.	14-3681-B
greatly, terrifically.	25-2646-S
greatly, to miss.	34-3090-S
greatly.	16-4370-S,19-823-S,37-7550-S
greatness.	18-1061-S,24-5055-S
greece or rome, savagery, rudeness.	3-3646-S
greed	14-3739-B
greed.	6-2503-S,14-3760-B
greedily, swallow up, consume, gorge oneself.	31-4612-S
greedy, avaricious.	14-3777-B
greek or roman/ outlander.	3-4813-S
green /weak, drooping.	20-5357-S
green twig, rod, stick, wand, broom, streak, stripe.	3-5244-S
green, fresh, immature, untimely / undigested / harsh.	14-3804-B
green.	14-3866-B,24-185-S
greenish-yellow color.	3-5305-S
greet, visit, reverence, pay respect to.	39-2699-S
grey hair /old age.	14-3881-B
grief /want, need.	42-419-S
grief, sorrow.	14-3910-B,19-552-S
grief.	17-1395-S
grief. misery, pain, suffering.	20-5127-S
grieve, be repentant, repent.	36-4897-S
grieve, sorrow.	33-1169-S
grieve.	37-7578-S
grieve/(tans,) to lament, bewail.	34-6743-S
grieved.	28-6079-S
grievous.	15-1523-S
grilled.	11-2261-S
grimace, mockery.	18-5377-S
grimacing, affected.	14-3932-B
grind.	14-2349-S,32-7148-S
gripe.	30-1997-S
groan, bellow, roar, low.	33-1200-S
groan, moan.	14-3963-B
groan, sigh over.	1-1960-S,33-1235-S
groan, wail.	37-2093-S
groan.	33-1266-S
groats.	20-6884-S
groin.	26-5615-S
grotto, covered gallery.	40-4998-S
grotto, den.	8-1091-S
grotto.	14-3984-B
ground to, submit to, be inferior to.	1-1538-S
ground, earth, soil /land, country.	14-3999-B
ground, land, country, soil.	11-3477-S
ground, milled (of grain).	14-4041-B
ground, pour forth.	29-6981-S
ground, sink down /be ruined, destroyed.	32-1067-S
ground, stand upright.	37-5111-S
ground, to the bottom, downward.	38-2780-S
ground.	2-3665-S,2-3730-S,17-3608-S,38-3338-S
ground/ bottom, floor, foundation.	17-1542-S
groundlesness.	17-4199-S
grounds, park.	14-718-S
grove, and oak forest.	5-3671-S
grove.	39-5270-S,42-2065-S
grow accustomed to, used to, make familiar.	33-1286-S
grow aged, to mature, wear out.	33-1493-S
grow brilliant, sparkle.	37-1346-S
grow fat or sleek.	29-791-S
grow fat, sleek.	33-1351-S
grow haughty.	33-1381-S
grow in or on.	33-1408-S
grow in, or upon.	1-8724-S
grow lukewarm, decrease.	30-4220-S
grow mild, ameliorate.	33-1435-S
grow mild.	33-1469-S
grow more sick, fail.	33-7298-S
grow old, to grow aged, to mature, wear out.	33-1493-S
grow old, weak, feeble, infirm.	33-1549-S
grow out of.	33-1595-S
grow pale at.	1-1065-S
grow sleek.	29-548-S
grow smaller.	30-6197-S,34-1674-S
grow strong / become fashionable / prevail / be able.	33-1621-S
grow strong, gain strength.	33-1687-S
grow strong, prevail, increase, wax.	1-8761-S
grow strong.	33-1729-S,38-1432-S
grow thick.	33-1753-S
grow thickly, abound.	33-1774-S
grow tired, weary.	33-1807-S
grow up after.	33-1851-S
grow up, mature.	33-1879-S
grow very strong.	33-1909-S
grow weary.	29-0-S
grow worse.	32-807-S
grow, increase, expand / spring forth, arise.	1-7901-S
grow, mature.	33-1942-S
grow.	2-9123-S
growing up, increase, crop, yield, or issue.	3-5339-S
growing-together.	14-4076-B
growl.	33-1966-S
grown up, mature, adult, of age.	1-4106-S
growth, enlargement, increase.	14-4104-B
growth, increase / offspring.	14-4142-B
growth.	16-1719-S,16-1756-S
grumble, mutter.	33-1984-S
guarantee of safety, surety, guarantor.	3-42-B
guarantor.	3-42-S,3-7043-S,14-4184-B
guard against /+ut+subj.=take care that.	3-1985-S
guard, charge /guardianship, tutelage.	22-1197-S
guard, garrison, detachment /protection.	14-4202-B
guard, protect.	38-7560-S
