heap scorn upon.	34-1130-S
heap up, increase.	34-4310-S
heap, accumulate, amass.	27-5468-S
heap, mass.	3-5460-S
heap.	33-3359-S
heaps, masses.	21-1369-S
hear .	2-194-S
hear a little.	15-1082-B
hear favorably.	34-2805-S
hear plainly, hear favorably.	34-2805-S
hear, hearken, listen to.	33-3375-S
hearer, listener.	15-1106-B
hearken to, grant.	33-3410-S
hearken, listen to.	33-3375-S
hearsay, rumor, gossip.	15-1132-B
heart belongs to daddy. that old gang of mine.	19-1080-S
heart, breast.	15-1162-B
heart.	6-993-S,13-1294-S,16-3445-S
hearted, fearful, timid.	12-3135-S
hearth.	3-4868-S
hearts beat as one.	20-3904-S
hearty.	25-4851-S
heat of summer /disease of cancer.	9-4271-S
heat, boil, melt.	33-3440-S
heat, tide.	15-1194-B
heat.	28-5193-S
heated /(character) heated, fiery.	14-2235-S
heated, fiery.	14-2235-S
heathenism.	15-1219-B
heauen.	24-5110-S
heave.	29-5135-S
heaven, breeze.	15-1242-B
heaven, heavenly/celestial.	15-1263-B
heaven, home of the gods, height of eminence.	15-1309-B
heaven.	13-6540-S,15-1363-S,20-1339-S,24-5505-S
heavenly, celestial / noun, a god, dweller in heaven.	15-1363-B
heavenly, starry.	15-1427-B
heavenly.	15-1454-B
heavenly/celestial.	15-1263-S
heavens, vault of heauen.	24-5110-S
heavens.	21-3284-S
heavily upon / dwell in / watch over.	33-2370-S
heavily upon, weigh down, oppress.	35-4560-S
heavily, seriously.	15-1473-B
heavy body.	3-6848-S
heavy javelin.	15-1502-B
heavy, a burden, weary, pregnant.	29-231-S
heavy, opressive, bad.	17-2601-S
heavy, weighty, serious, important /severe, grievous.	15-1523-B
hedge in.	33-3472-S,33-3494-S
hedge, fence, enclosure, haye.	15-1584-B
hedgehog, chevaux de frise.	2-4780-S
heedless.	7-1655-S
heel /stone, pebble /lime /goal, aim.	26-5672-S
height of eminence.	15-1309-S
height, elevation, sublimity.	17-5163-S
height.	15-1627-B
heighten, aggravate.	37-6962-S
heinousness, savagery, frightfulness.	15-1646-B
helchin on the left bank of the scheldt.	15-1694-B
hell, abyss, chasm.	15-1742-B
helm.	15-1770-B
helmet.	3-1290-S,3-6181-S,3-6205-S,15-1789-B
help /to send secretly.	36-7355-S
help or assistance/ health, wellness, wholeness.	23-5424-S
help, administration, government.	14-1796-S
help, aid, assist /to please, delight, gratify.	33-3514-S
help, aid, assist, succor.	33-3570-S
help, aid, assistance.	6-576-S
help, aid, be of use.	4-6915-S
help, assist.	27-6513-S,30-1372-S
help, assistance, support.	5-1516-S
help, assistance.	26-1192-S
help, be of service.	36-5679-S
help, remedy.	1-1903-S
help, support, military aid.	15-1803-B
help.	1-1486-S,24-4762-S,36-5341-S
helpful.	17-383-S,40-4330-S
helpfull, thoughtful, kindly.	41-3431-S
helpless, in need, needy, wthout resources.	21-3374-S
hemlock.	15-1841-B
hen.	15-1857-B
hence.	13-6739-S
henceforth, hereafter.	5-1105-S
henceforth, indeed, just, further.	19-11-S
her deeds).	2-5413-S,2-7907-S
her property to these (churches).	2-523-S
her property to those (churches).	2-588-S
her youth).	2-1132-S,2-1186-S
her, its, their own.	2-9014-S
herald, proclaim.	28-3016-S
herb fennel /a rad to beat children with.	26-5719-S
herb rue.	7-331-S
herb savory.	26-5772-S
herb thyme.	26-5797-S
herd of cattle.	15-1870-B
herd, flock.	9-5451-S
herd.	4-134-S,15-1901-B,18-1961-S
herds, troops, crowds.	4-6834-S
here.	1-5162-S,27-2807-S
hereafter.	5-1105-S,6-6399-S
heretical.	19-1181-S
herimann cap. 39, 44).	28-6811-S
herimann p. 283, 293).	5-6406-S
herimann, cap. 24) pot, bowl, drinking vessel.	2-1979-B
herimann, cap. 28, 69.	24-804-S
herimann, p. 279.	11-4547-S
herimann, p. 282).	41-1381-S
heritable estate.	15-1916-B
herman, p. 308).	24-4114-S
hermann, p. 308).	29-5198-S
hero, man of courage.	18-1257-S
herrings, pickled fish.	15-1941-B
herself, itself, =se.	15-2363-S
herself, itself.	15-2399-S,15-2441-S
hesistate because of this! (doubt).	2-6014-S
hesitant.	40-167-S
hesitate because of that! (doubt).	2-6080-S
hesitate.	28-4159-S,31-3097-S,33-3607-S
hesitating /busy.	25-5209-S
hesitation, reservation.	11-1494-S
hesitation.	42-1307-S
heteroclite.	15-1971-B
heterogenous.	8-5800-S
hew /to ruin.	32-650-S
hidden recess .	9-4197-S
hidden, be concealed.	34-2209-S
hidden, concealed /secretly.	15-1993-B
hidden, concealed.	15-2031-B
hidden.	34-3964-S
hide away.	33-3628-S
hide, conceal, cover.	33-3652-S
hide, conceal, keep secret.	33-3685-S
hide, conceal, secrete.	33-3721-S
hide, conceal.	22-2542-S
hide, fleece, skin.	15-2062-B
hide, leather.	26-5011-S
hide, protect, shield.	30-4409-S
hide/back, rear.	24-5411-S
hideous.	13-3973-S
hides pelt.	25-2823-S
high / deep / noble / ancient, old / secret.	18-2781-S
high birth, child, description.	8-3375-S
high cost of living /dearness, affection.	15-2099-S
high price /high cost of living /dearness, affection.	15-2099-B
high rank, emperorship.	22-2215-S
high spirit, courage /arrogance, ferocity.	15-2161-B
high wave, self-exaltation.	15-2212-B
high, aloft.	20-586-S
high, seated in heaven.	20-1339-S
high, thick, dense, boundless.	10-2291-S
high-priced, expensive.	10-1505-S
high.	4-3858-S,12-1142-S,35-7426-S
higher price, of a great value.	2-1928-S
higher tribunal / ecc. apostle.	2-2862-S
higher.	15-2247-B
highest degree, very.	14-3681-S
highest part /whole, sum.	26-5820-S
highest price, of the highest worth.	6-1468-S
highest worth.	6-1468-S
highest.	16-477-S
highly, prize, love.	30-206-S
highly.	35-3905-S,39-0-S
highway robbery.	18-4017-S
highway.	36-4694-S
highwayman, robber, brigand, bandit / mercenary soldier.	15-2263-B
hilly.	15-2332-B
hilt of a sword.	8-4161-S
hilt.	15-2349-B
himself, herself, itself, =se.	15-2363-B
himself, herself, itself.	15-2399-B,15-2441-B
hinder, keep to oneself.	33-3906-S
hinder, prevent, obstruct.	31-5745-S
hinder, prevent.	11-5971-S
hinder, restrain, prohibit, forbid.	35-4824-S
hinder.	32-5778-S,33-3757-S,33-3774-S
hindered /embarassed, prevented, obstructed,.	11-5905-S
hindering, etc.) "without + participle".	2-10238-S
hindrance, impediment, obstacle, difficulty.	15-2471-B
hindrance.	15-2529-B
hinge /pole or pivot.	2-2584-S
hint at, suggest, mean.	33-3795-S
hint.	32-5988-S
hire /seize, arrest.	36-2779-S
hire, buy, procure.	36-1095-S
hire, employ for wages, among many other meanings.	15-2550-B
hire.	28-1930-S
hired servant / mercenary soldier.	2-7180-S
his crown.	2-59-S
his guard/ one who goes bond, suretor.	20-1670-S
his money.	4-646-S
his own name.	16-79-S
his own very self.	15-2609-B
his sons, by whom he was attacked when old.	2-3251-S
his, her, its, their own.	2-9014-S
his; (masc. plur. dat.) tell it to these (policemen).	2-6667-S
hit hard.	37-6612-S
hit upon, discover, find.	34-6227-S
hit, beat /exile, drive away, banish.	33-3844-S
hit, hurt, damage, offend, annoy, violate.	25-5321-S
hit, knock /cause damage.	37-6712-S
hit, strike /shock, offend, displease.	33-6958-S
hit, wound /strike a bargain, make a deal.	37-6775-S
hit.	28-7612-S
hitherto, up to this point, so far.	15-2636-B
hitting against, blow.	25-5405-S
hive of bees / seat.	6-5170-S
hive.	6-5341-S
ho!	15-2681-B
hoard.	17-2391-S
hoary,.	5-3930-S
hobble.	34-2683-S
hof.	40-6353-S
hog.	26-2026-S
hold an opinion,.	35-1496-S
hold back, check, catch.	29-2059-S
hold back, detain.	15-2689-S
hold back, hinder, keep to oneself.	33-3906-S
hold back, repress.	8-6833-S
hold back, reserve /keep, preserve.	17-58-S
hold back, restrain, detain, keep, maintain.	33-3954-S
hold back, restrain.	9-6370-S,33-4010-S
hold back, withhold, restrain.	33-4043-S
hold fast.	31-5801-S
hold in check, curb.	32-1693-S
hold in contempt, dislike strongly.	33-2892-S
hold in, check, restrian /back water /practice.	33-4086-S
hold of, hold on to.	35-2925-S
hold of, receive, take in/ conceive.	38-1571-S
hold of.	34-333-S
hold off, hold back, detain.	15-2689-B
hold on to.	35-2925-S
hold one's course, conceive.	33-4145-S
hold out, supply, provide, allow.	34-8015-S
hold out.	28-4779-S
hold sway.	32-6422-S
hold to.	35-4328-S
hold together, keep together, connect, join.	15-2726-B
hold up, sustain, endure.	33-4188-S
hold up.	30-6556-S
hold, abide.	15-2780-B
hold, get possession of.	1-2276-S
hold, keep, possess, maintain /to continue.	33-4226-S
hold, keep, possess, maintain.	33-4281-S
hold, possess /consider, regard.	33-3260-S
hold, to establish.	33-4321-S
hold, to keep togethere, to contian.	33-4351-S
hold.	34-7761-S
holding an honor, official, magnate.	3-1396-S
holding fast.	24-1313-S
holding, by feudal tenure.	15-2802-S
holding, tenure, feudal holding, by feudal tenure.	15-2802-B
holdings.	15-2860-B
hole, cavity, pit, excavation, depression.	3-5594-S
hole, empty space /pond, pool /deficiency, loss.	3-5482-S
hole, opening, aperture.	15-2883-B
hole, penetrate.	29-2604-S
hole, pit.	15-2927-B
hole, puncture /a point, spot, place.	3-6939-S
hole.	17-6359-S
hollow /lake, pool, pond, troough, tank, tub.	3-5540-S
hollow out, excavate/ pierce/ dig, cultivate.	15-2944-B
hollow out.	33-4400-S
hollow place, cavity, cave, cavern.	15-2995-B
hollow place, cavity/ cave/ pit.	15-3039-B
hollow, basket, bed (of a river).	15-3085-B
hollow, empty.	3-929-S
hollow, hole, cavity, pit, excavation, depression.	3-5594-S
hollow/ [+ abl.] deuoid of/ worthless useless, vain.	11-5042-S
holy mass.	15-3126-B
holy place.	4-882-S
holy spirit, wind .	7-3046-S
holy, pious, dutiful, patriotic.	15-3173-S
holy, sacred, /saint.	15-3143-B
holy, upright, kind, honest, affectionate.	11-2940-S
holy.	36-5886-S
homage.	12-5778-S
home of the gods, height of eminence.	15-1309-S
home, residence.	15-3963-S
home, return.	36-3999-S
homeland.	12-4301-S
honest, affectionate.	11-2940-S
honest, godly, holy, pious, dutiful, patriotic.	15-3173-B
honesty.	21-6068-S
honey.	15-3230-B,15-3248-S
honeyed, sweet as honey.	15-3248-B
honor (a deity), polish, adorn, refine, serve.	33-4423-S
honor /slay, fight, punish, afflict.	34-3992-S
honor, dignity, ornament.	15-3282-B
honor, distinction.	41-2095-S
honor, engagement.	21-6910-S
honor, esteem, public office.	15-3314-B
honor, official, magnate.	3-1396-S
honor, veneration.	23-1248-S
honor.	33-4480-S
honorable, respectable /fine, beautiful /proper.	15-3350-B
honorable, worshipful.	40-5222-S
honorable.	13-5819-S,17-1793-S
honorably, respectfully, with deference, duly.	15-3408-B
honorably.	9-3698-S
honored.	40-2772-S
hook, pruning hook.	24-3892-S
hook.	24-3892-S
hooked.	10-184-S
hoopoe (a bird).	26-5856-S
hope for, hope.	33-4497-S
hope, despair / despair of, give up.	28-7317-S
hope, despair, give up.	33-3043-S
hope.	15-3466-B,33-4497-S,33-4522-S
hopes.	2-4981-S
horde /store-room, treasury.	39-5175-S
horn.	15-3477-B
horrible, dreadful.	15-3489-B
horrible, harsh.	26-4435-S
horrified at.	27-4355-S
horrified, to shake, shudder /dread, tremble at.	28-4831-S
horror.	14-5921-S,15-3519-B
horse team.	13-5112-S
horse, steed, mount.	15-3534-B
horse, war horse.	8-2036-S
horse-fly, frenzy.	15-3561-B
horse-hair.	15-3588-B
horse.	8-2036-S,33-2183-S
horseback.	1-6728-S
horseman, cavalry man rider (classical).	15-3613-B
horseman.	15-3669-B
horsemen (classical).	8-1050-S
horses of these (soldiers) are spent.	2-3850-S
horses of those (soldiers) are spent.	2-3917-S
horses, ornaments.	39-4920-S
horses.	11-6522-S
horseshoe.	26-2084-S
hospitality /guest chambers, inn.	15-3685-B
hospitality.	17-1050-S
host, band of warriors.	15-3729-B
host, stranger.	14-4457-S
host.	15-3761-B,20-7091-S,24-6166-S
hostage, security, pledge, surety.	2-6885-S
hostage.	26-1344-S
hostile attack, coming together.	15-3773-B
hostile manner, belligerently.	15-6438-S
hostile or enemy, armed.	15-3817-B
hostile, agressive /(arms) aimed, ready /(spirit) dangerous.	15-3851-B
hostile, dangerous.	5-1044-S
hostile.	10-5064-S,14-5702-S
hostilities.	39-6042-S
hot, begin to glow or boil.	28-7841-S
hot, boil, seethe, glow.	28-3946-S
hot, heated /(character) heated, fiery.	14-2235-S
hot-blooded.	11-3295-S
hot.	30-1290-S
hotly, warmly.	15-3921-B
hour, late.	6-747-S
hour, time.	15-3946-B
hours).	37-6450-S
house of.	2-8472-S
house) is filthy.	2-3156-S,2-3204-S
house).	41-671-S
house, abode.	15-4099-S
house, country estate /(med.) manor, village.	9-3184-S
house, home, residence.	15-3963-B
house.	7-4693-S,8-1854-S
household / friendly, intimate.	6-5924-S
household articles, furniture, goods.	15-3993-B
household furniture, goods.	15-4057-B
household retinue.	23-882-S
household, house, abode.	15-4099-B
household, pl. household retinue.	23-882-S
household.	12-3702-S
houses) to the ground.	2-3665-S,2-3730-S
hove, small shop, inn, tavern.	7-2084-S
how far, to what extent, where, seeing that.	15-4130-B
how great!, how much, as great as.	15-4226-S
how great, as great as.	15-4194-B
how great?, how great!, how much, as great as.	15-4226-B
how many, as many (indecl.).	15-4281-B
how many?.	1-2372-S
how much (+ comp. adj. or adv.).	7-5066-S
how much!, as much as.	15-4315-S
how much, as great as.	15-4226-S
how much, at what price.	13-2541-S
how much? how many?.	1-2372-S
how much?, how much!, as much as.	15-4315-B
how, from whom.	41-3952-S
how, in what manner.	15-4357-B
how, than, as .. as possible.	1-4627-S
how/ in whatever way, somehow.	16-1040-S
how? /just as, lust like.	15-4390-B
how? in what way? / somehow / wherewith.	2-8862-S
however great.	5-6313-S,15-4428-B
however much, although/ as much as you like.	1-7431-S
however often.	15-4486-B
however, but.	15-4516-B
however, moreover, also.	7-4603-S
however.	16-754-S
howl loudly.	33-4537-S
howling.	15-4536-B
huge bulk, massive building, might.	15-4554-B
huge, monstrous, remarkable.	19-5876-S
human being, man.	15-4596-B
human being.	16-2130-S
human race.	15-4627-B
humane, cultured, refined.	21-888-S
humane, humane, cultured, refined.	21-888-S
humanity, mercy, gentleness, etc.	16-2380-S
humble circumstances.	6-5539-S
humble, cast aside.	33-4561-S
humble.	15-4653-B,17-6225-S
humbly, softly, calmly, modestly.	15-4669-B
humility.	15-4712-B
hundred, 100 (undeclinable).	20-1392-S
hundred.	13-777-S
hunger / long for, desire, yearn.	28-4897-S
hunger /leanness, thinness.	12-3946-S
hunger, emptiness /meagerness, poverty.	15-4732-B
hunger.	12-3753-S,15-4782-B
hungry, to hunger / long for, desire, yearn.	28-4897-S
hunt down, track, trail.	35-1689-S
hunt for.	36-6709-S
hunt, loan, join.	33-4590-S
hunt,.	33-4620-S
hunter of birds.	13-5241-S
hunter, huntsman.	15-4799-B
hunter, suiter.	22-2351-S
hunter.	2-7229-S
hunting, game, the chase.	15-4825-B
huntsman.	15-4799-S
hurl against, strike.	33-4636-S
hurl, lay, scatter, diffuse.	38-3421-S
hurl, throw /put together, conjecture.	33-4669-S
hurl.	36-6211-S
hurricane. tornado, that which spins.	15-4859-B
hurry on.	31-2266-S
hurry, hasten.	36-5421-S
hurry, speed.	33-2786-S
hurt /injustice, wrong.	16-3311-S
hurt, damage, offend, annoy, violate.	25-5321-S
hurt, harm.	31-2836-S,39-3134-S
hurt, wound, amputate, divide, part.	30-5630-S
hurt.	1-1851-S
husband of a grand-daughter.	15-4903-B
husband.	15-4941-B
hut, cottage, cabin.	15-4958-B
hut, cottage, hove, small shop, inn, tavern.	7-2084-S
huy, belgium, between liege and namur.	15-4984-B
hypocrite.	15-5032-B,15-5053-B
i can't give you anything but love, baby.	1-8052-S
i do!.	1-3600-S
i got you, babe.	1-3855-S
i read your letter that said, dear john.	42-3899-S
i say, on the contrary.	19-1595-S
i say.	15-5074-B
i take annoyance.	26-2625-S
i'd give my right arm for this (cookie).	2-5045-S
i'd give my right arm for those (cookies).	2-5109-S
i'll fight you all, then; bring me giants!.	1-3790-S
i'm talkin' to you, yeah, talkin' 'bout cindy.	1-8111-S
i'm the gingerbread man.	42-3509-S
i, self.	15-5088-B
ice.	15-5101-B,15-5134-S
icia) rush, sedge.	2-2045-B
icy coldness.	15-5114-B
icy, freezing.	8-4298-S
icy, frozen, full of ice.	15-5134-B
icy.	15-5170-B
idea.	3-3184-S,8-6007-S
ideal.	11-4104-S,15-5183-B
idia f.) a kind of crab.	2-2072-B
idleness, inactivity.	22-5917-S
idol, likeness /ghost, appartition /ideal.	11-4104-S
ie plan.	30-5892-S
if ever.	15-5199-B
if not, unless, except.	15-5241-B
if only that were true! would that it were the case!.	15-5270-B
if you wish, are willing, want, prefer.	1-3133-S
if, (herimann p. 283, 293).	5-6406-S
if, although, nothwithstanding.	1-3887-S
if, although.	12-635-S,12-662-S
if, as it were /a sort of.	5-6442-S
if, if..or if.	8-7028-S
if, just as, just as if, as it were /a sort of.	5-6442-S
if, like as.	4-6187-S
if.	6-141-S,6-201-S,8-7028-S,15-5331-B,16-6557-S,20-2906-S
if..	1-7491-S
if..or if.	8-7028-S
ignoble.	40-2192-S
ignominy,.	15-5338-B
ignorant of, not know / rarely: neglect, overlook.	28-4955-S
ignorant, be unaware, not know, be unkowing.	28-5019-S
ignorant, disregard, not be recognized.	28-5077-S
ignorant, ignoble.	40-2192-S
ignorant, not knowing.	15-5355-B
ignorant.	40-2153-S
ignore, leave unnoticed.	33-4719-S
ill in bed.	34-2166-S
ill, become troubled, grow worse.	32-807-S
ill, diseased, unwell.	15-5386-B
ill, sick.	15-5416-B
ill, wrongly.	6-3203-S
ill-fit, poorly adapted, unsuiited.	40-2469-S
