melt.	33-3440-S
melted away/ melting away.	18-3852-B
melting away.	18-3852-S
member of a cathedral chapter or canonry, augustinian.	7-5765-S
member of an inquest, trustee.	3-1341-S
membrane, prepared skin.	27-2305-S
memorial or token of remembrance, remembrance.	18-3887-B
memory, consciousness, often = mind.	8-1905-S
memory, recall.	22-5367-S
memory, remembrance, recall, recollection.	18-3945-B
men and animals.	13-1974-S
men) are loyal to the king.	2-3986-S,2-4043-S
men) who have eyes to see..	2-3497-S
men, signs of manhood.	42-3763-S
menace, be imminent.	33-2433-S
menace.	38-3022-S
menaces.	6-4198-S
mend, patch.	36-2876-S
mend, sanity.	15-1022-S
mental illness.	24-4013-S
mention / complete, accomplish.	1-8820-S
mention, cite, quote.	35-3951-S
mention.	29-6505-S,33-2588-S
mention/ to keep in mind.	36-2525-S
mentioned above.	5-6532-S
mentioned.	18-151-S,18-3996-B
mentioning /extension /deferring.	3-2964-S
mer.	7-0-S
mercenary / to rob, steal.	1-8335-S
mercenary service / highway robbery.	18-4017-B
mercenary soldier.	2-7180-S,15-2263-S
mercifully.	8-5325-S,18-4066-B
mercy, gentleness, etc.	16-2380-S
mercy.	21-1705-S
merit, credit.	10-4247-S
merit, unfit.	40-3745-S
merit, unjustifiably.	4-6775-S
merit, worth, prestige, dignity.	18-4095-B
merit, worth.	12-1225-S
merit.	10-3869-S,31-297-S
meritorious.	1-357-S
merry, gay.	8-2447-S
merry.	33-6311-S
mervellously, uncommonly.	42-1882-S
mess hall.	22-5673-S
message, command.	18-4137-B
message, refer.	29-3696-S
message.	17-3485-S,17-3529-S,18-4164-S,36-2000-S
messenger, message.	18-4164-B
messenger.	5-2941-S,18-4192-B,19-1230-S,23-4643-S,39-4986-S
metal helmet.	3-6181-S,3-6205-S
metal), melt, cast.	35-3768-S
metal, coin, knife blade, nutshell.	24-3223-S
metals) melt away.	29-2344-S
method, mode, way.	18-3039-S
method, procedure, manner.	26-2551-S
method, technique, conduct, character.	1-6955-S
metier.	14-1150-S
metz.	18-4211-B
mezereon.	4-1264-S
midday, afternoon, south.	18-4223-B
middle of, central, midst.	18-4260-S
middle, the middle of, central, midst.	18-4260-B
midst.	18-4260-S
mien, splendor, quality.	18-4306-B
might / opulence, splendor.	23-2610-S
might, influence.	13-3090-S
might, power, authority.	18-4339-B
might.	15-4554-S
mighty / splendid, sumptuous.	23-2485-S
mighty, able, mighty, powerful, strong.	18-4373-B
mighty, powerful, exceeding.	18-4420-B
mighty, powerful, strong.	18-4373-S
mighty.	25-5609-S
migratory.	13-1132-S
mil.) hedgehog, chevaux de frise.	2-4780-B
mil.) light-armed.	40-1765-S
mild or ripe, make smooth, pacify, appease.	34-5459-S
mild, ameliorate.	33-1435-S
mild, gentle /ripe, mature.	18-4457-B
mild, soft, gentle.	18-4491-B
mild.	17-3303-S,25-57-S,33-1469-S
mildness.	18-4521-B,18-4539-B,25-91-S
milit) charge, onset, wave.	25-4744-S
milit. marching inland.	3-6283-S
milit.) a charge, manoeuver.	2-4823-B
milit.) attack.	29-2946-S
milit.) post, station.	34-581-S
milit.) to rout, scatter, defeat, put to flight.	2-4862-B
military aid.	15-1803-S
military force, expedition.	18-4560-S
military operation, military force, expedition.	18-4560-B
military service, service.	20-6596-S
military, martial.	19-5636-S
military, war-like.	18-2299-S
military/ disciplined, orderly.	21-695-S
milk, milk-white.	18-4637-S
milk-white.	18-4637-S
milk.	14-1775-S,18-4620-B
milkmaid), who loved a prince.	2-1474-S
milkmaid.	2-3098-S
milky way.	27-253-S,27-279-S
milky, of milk, milk-white.	18-4637-B
mill.	8-4872-S
milled (of grain).	14-4041-S
mimic.	3-6228-S
mind made up.	23-1104-S
mind to, take notice of, see, perceive.	38-6307-S
mind, effect, power.	21-5571-S
mind, foolish.	16-3665-S
mind, offer.	31-6895-S
mind, stolid.	24-5803-S
mind, thought, intention, intellect.	18-4673-B
mind.	2-7335-S,8-1905-S,14-2945-S,19-6034-S,34-4619-S,36-2525-S
minded, upright, honorable.	13-5819-S
mindedness, frankness, openness.	13-5655-S
mindful of, recollect .	28-5458-S
mindful, remembering, grateful, thoughful, prudent.	18-4722-B
mine /my heart belongs to daddy. that old gang of mine.	19-1080-S
mine.	19-1080-S
miner.	18-4780-B
mines.	19-5938-S
mingle, blend.	34-6521-S
mingle.	34-6347-S
mingling, mixture /confounding, confusion, disorder.	18-4795-B
minor disgrace.	4-257-S
minor.	20-3643-S
miracle play.	3-6247-S
miraculous works.	24-4185-S
miraculous, amazing.	40-2546-S
miraculously.	18-4857-B
mirror.	18-4882-B
miry.	18-4899-B
miscarriage.	18-4913-B
mischievous person.	6-3351-S
miscreant.	4-4762-S
misdeed, crime, injury, damage.	12-1051-S
miserable, pathetic, wretched,.	18-4934-B
miserable.	42-2825-S
miserably, wretchedly, cruelly.	18-4975-B
miserably.	42-2886-S
misery, pain, suffering.	20-5127-S
misfortune, bad luck /punishment.	18-5022-B
misfortune, disaster, loss.	7-5486-S
misfortune, misdeed, crime, injury, damage.	12-1051-S
misfortune,.	6-3066-S
misfortune.	25-3401-S
misfortune?.	18-5068-B
mishmash, medley, mixture.	18-5193-S
mislead, draw in.	29-7364-S
miss, want / seek to know / obtain, get.	34-6369-S
miss.	28-1356-S,34-3090-S
missile), cast.	28-1793-S
missing a part.	18-951-S
missing letters, words, or phrases in a manuscript.	18-5090-B
missing, absent.	32-412-S
missing, away, gone.	1-3995-S
missing, be gone.	28-3402-S
missive, message.	17-3485-S,17-3529-S
missive, note /literature.	2-7686-S
mist.	10-1005-S
mistake, deception.	41-913-S
mistake, error.	12-4484-S
mistake, going astray.	12-79-S
mistake.	12-4529-S
mistaken, err, go astray.	39-813-S
mistaken.	28-4338-S
mistakenly, wantonly, without reason.	16-853-S
mistakes, shot with errors.	14-216-S
mistress, lady.	18-5149-B
mistress.	17-1183-S,22-6267-S
misty, foggy.	18-5169-B
mitigate, measure.	33-2085-S
mitigate, relieve, make better.	34-6427-S
mitigate.	34-6468-S
