omit.	35-1117-S
omitted).	13-2924-S
omnipotent.	5-2088-S
on / desparate.	14-1724-S
on /(with inf.) to begin to.	31-5913-S
on /befall (good luck).	7-2193-S
on /revile, insult, deride, heap scorn upon.	34-1130-S
on a grander scale.	39-3791-S
on a horse.	33-2183-S
on a loan.	12-1900-S
on a seal	11-4063-S
on a wax tablet.	35-2795-S
on account of, because of.	1-1132-S,2-1833-S
on account of, for the sake of.	2-2305-S
on account of.	1-506-S,1-3065-S,2-2357-S,37-1581-S
on all sides, altogether.	13-6295-S
on an ear of wheat.	27-397-S
on behalf of, for.	1-177-S
on behalf.	16-4626-S
on beneath, to tie.	29-1733-S
on both sides.	13-6357-S
on clothing, erase writing, revoke, anull.	9-3964-S
on condition that, with the understanding that.	20-472-B
on every side.	20-533-B
on fire, inflame, to torch, kindle.	37-578-S
on fire.	7-4239-S,12-2425-S
on foot, walking /foot-soldier, infantryman.	14-2593-S
on good authority.	20-558-B
on guard against /+ut+subj.=take care that.	3-1985-S
on high, aloft.	20-586-B
on high, seated in heaven.	20-1339-S
on his guard/ one who goes bond, suretor.	20-1670-S
on horseback.	1-6728-S
on no occasion / nusquam esse -- not exist.	19-4818-S
on one's back.	18-82-S
on one's guard.	20-610-B
on or onwards.	34-6183-S
on purpose, designedly.	16-4518-S
on record.	39-3307-S
on show.	33-3086-S
on that account, for that reason, for that purpose.	20-637-B
on that account, therefore.	13-2644-S
on the contrary, by no means/ by all means.	20-697-B
on the contrary.	7-4752-S,19-1595-S
on the far side of.	1-924-S
on the highway.	36-4694-S
on the left bank of the scheldt.	15-1694-S
on the lower side, below.	20-752-B
on the march, marry a wife, command.	34-787-S
on the morrow.	1-5663-S
on the one hand, but if, if..or if.	8-7028-S
on the other hand /surely, for it is certain.	7-4544-S
on the other hand, however, moreover, also.	7-4603-S
on the other hand, in return, back, again.	20-786-B
on the other hand.	16-816-S
on the right.	23-2837-S
on the spot, at once.	13-74-S
on the spot, immediately.	20-836-B
on the spot, in that very place /immediately.	20-868-B
on the table.	35-2205-S
on the way, in the way / (in dat.) open, accessible.	20-928-B
on the way, in the way /(+ dat.) towards, against.	20-988-B
on the way, toward.	1-5917-S
on the winds.	35-5036-S
on to.	35-2925-S
on which account, why.	13-2873-S
on with.	30-4102-S
on, banking on.	3-1905-S
on, be advantageous, accomplish.	33-147-S
on, carry forward, advance, promote,.	29-6450-S
on, contained in, within.	3-1185-S
on, continuously, immediately.	13-4470-S
on, don /inspire.	38-3181-S
on, fall in with /happen, occur.	32-913-S
on, get back at.	38-1804-S
on, go, leave.	27-6119-S
on, occasion, cause.	1-3682-S
on, persist, persevere, endure.	33-6505-S
on, produce, recall to the colors.	31-3470-S
on, put on, don /inspire.	38-3181-S
on, rely on.	1-2411-S
on, supported by.	23-37-S
on.	1-2411-S,3-1905-S,11-6192-S,29-1675-S,29-6310-S,30-2753-S,31-2266-S,31-6961-S,32-1971-S,33-1408-S,33-6376-S,36-4280-S,37-455-S,37-4768-S,38-1632-S,38-1946-S
on/ devote oneself to.	31-0-S
on/ distinction/distinguished, excellent/excellence.	28-4215-S
on/ think.	29-880-S
once and a half.	20-1046-B
once more.	5-947-S
once, at a future time.	20-1075-B
once, at one time, ertswhile.	13-3885-S
once, at the same time, together.	6-1246-S
once, ever.	4-193-S
once, for a long time now.	6-1358-S
once, once, ever.	4-193-S
once.	1-5179-S,13-74-S,28-2119-S
one .. the other.	27-331-S
one after the other, by turns, mutually, each other.	20-1104-B
one after the other, time after time.	23-380-S
one and a half times.	20-1165-B
one and a half.	20-1194-B
one and a third.	20-1219-B
one apiece, single, separate.	20-1291-S
one as happy as us.	1-3506-S
one at a time, one each.	24-4710-S
one brought back from imprisonment.	20-1249-B
one by one, exceedingly, especialy.	4-6339-S
one can.	5-6289-S
one devoted to pleasure.	21-2489-S
one each, one apiece, single, separate.	20-1291-B
one each.	24-4710-S
one enthroned on high, seated in heaven.	20-1339-B
one hand, but if, if..or if.	8-7028-S
one holding an honor, official, magnate.	3-1396-S
one hundred, 100 (undeclinable).	20-1392-B
one may or can.	14-3278-S
one mind.	19-6034-S
one of the best, aristocrat, noble.	20-1432-B
one ought.	16-5902-S
one out of many).	2-8182-S
one prematurely born.	20-1476-B
one should, one ought.	16-5902-S
one thing and then another.	31-2705-S
one time .. at another.	6-1289-S
one time or another.	4-6300-S
one time, ertswhile.	13-3885-S
one time..then.	6-1327-S
one who carves food.	20-1508-B
one who fattens fowls.	20-1537-B
one who fight from a chariot.	20-1567-B
one who gives evidence, witness, spectator / testicle.	20-1608-B
one who goes bond, suretor.	20-1670-S
one who is on his guard/ one who goes bond, suretor.	20-1670-B
one who kisses.	20-1730-B
one who lies in wait.	20-1755-B
one who makes a pattern.	5-5893-S
one who pleads on behalf.	16-4626-S
one who provides for, or against.	20-1788-B
one who punishes, reproves, corrects.	20-1831-B
one would wish.	42-3122-S
one's attention to, attract.	38-6371-S
one's back.	18-82-S
one's by right.	41-3634-S
one's course, aim at.	32-107-S
one's course, conceive.	33-4145-S
one's desire.	14-1326-S
one's duties, quit, retire, die, finish.	31-1654-S
one's father.	38-1002-S
one's forefathers.	14-5202-S
one's gaze fixed and frozen.	35-0-S
one's ground, stand upright.	37-5111-S
one's guard.	20-610-S
one's hands full, have enough to do.	15-321-S
one's kind, fall off, degenerate.	28-6874-S
one's mind made up.	23-1104-S
one's mind, foolish.	16-3665-S
one's mind.	2-7335-S
one's native country, homeland.	12-4301-S
one's oars.	36-4574-S
one's own accord, unaided.	41-5727-S
one's own accord.	19-6056-S
one's own master.	20-1947-B,28-5610-S
one's own, permanent, special, peculiar.	20-1975-B
one's own.	38-1908-S
one's property.	6-1897-S
one's rage, rage.	39-242-S
one's self, walk, live.	30-2710-S
one's self.	27-5386-S
one's senses, become reasonable.	36-963-S
one's service.	28-5213-S
one's sins), to take a monastic oath.	30-2832-S
one's stand, stand still, stop, be posted.	38-1511-S
one's strength, instantly.	42-576-S
one's sweeter than you.	1-3558-S
one's teeth, bruise, crush, grind.	32-7148-S
one's way in, intimate.	33-5483-S
one's way into.	39-638-S
one's way.	32-2117-S
one's will.	40-3581-S
one's wish, obtain one's desire.	14-1326-S
one, at the same time/ single, alone /unparalleled.	20-1880-S
one, drive away.	31-4174-S
one, each person.	11-3226-S
one, exceedingly, especialy.	4-6339-S
one, feel pity, have compassion.	37-7622-S
one, nobody.	19-3120-S
one, only one, at the same time/ single, alone /unparalleled.	20-1880-B
one, schoolboy.	23-6507-S
one, thing, etc.) available.	5-4543-S
one, thing, someone).	3-3253-S
one, together.	1-5217-S
one, whole, entire.	8-4583-S
one-time, deceased, late.	13-3777-S
one.	3-6566-S,20-3904-S,27-704-S,37-148-S
one. to remind.	33-4970-S
ones assistance, succor.	30-1226-S
ones breast.	28-7584-S
ones senses.	20-4098-S
oneself / curse.	29-287-S
oneself / trust in, depend upon.	36-3681-S
oneself about the future or about others.	30-2445-S
oneself down, abase oneself.	38-3239-S
oneself from.	1-295-S,1-2950-S
oneself in, busy oneself with.	2-9821-S
oneself in.	42-2180-S
oneself indebted, receive, learn, take.	30-3515-S
oneself on.	36-4280-S
oneself to, pour forth, inflict.	33-86-S
oneself to.	2-7445-S,29-4774-S,30-1752-S,31-0-S,35-6202-S
oneself with.	2-9821-S
oneself).	8-180-S
oneself, adopt, select, pick out.	39-2628-S
oneself, arrogant.	22-1753-S
oneself, boast, glory in.	35-4993-S
oneself, claim, appropriate, call.	38-1846-S
oneself, concentrate / favor, further, promote.	28-300-S
oneself, conduct, carry on.	30-2753-S
oneself, declare, speak eloquently.	37-3710-S
oneself, devote.	10-6056-S
oneself, gorge.	32-7114-S
oneself, make an effort, persevere.	37-6903-S
oneself, perform, do, execute.	34-7697-S
oneself, present oneself.	1-2629-S
oneself, promise,.	11-5580-S
oneself, steal in.	33-5444-S
oneself, use, employ, enjoy /perceive, observe.	38-1365-S
oneself.	1-2629-S,2-9405-S,6-4340-S,27-5884-S,31-4612-S,31-7194-S,32-7068-S,33-3906-S,33-6551-S,34-4412-S,38-2119-S,38-3239-S
onis) f, rekindling, awakening.	2-7135-B
onis) hired servant / mercenary soldier.	2-7180-B
onis) hunter.	2-7229-B
onis] punishment, reproof.	3-1456-S
only .. but also.	19-3633-S,19-3678-S
only begun.	40-1314-S
only just, just so long as.	20-2025-B
only one, at the same time/ single, alone /unparalleled.	20-1880-S
only that were true! would that it were the case!.	15-5270-S
only) ghosts, phantoms.	2-7624-S
only) to give off a smell/ to make onself noticed.	1-3243-S
only, the only.	5-2480-S
only.	1-4388-S,5-2480-S,19-4733-S,20-2064-B
onself noticed.	1-3243-S
onset, rapid motion/ impulse, passion, force.	6-1680-S
onset, wave.	25-4744-S
onto.	33-6406-S
onwards.	34-6183-S
open sea.	18-1020-S
open to all.	19-6169-S
open, accessible, exposed.	20-2077-B
open, accessible.	20-928-S
open, bare, exposed, to be revealed.	28-5316-S
open, be exposed.	28-5655-S
open, make open.	31-1779-S
open, straightforward.	21-2061-S
open, to be clear, plain.	28-5945-S
open, vent, discharge, erupt.	29-2900-S
open.	29-3282-S,31-1716-S,31-1779-S
opening, aperture.	15-2883-S
opening, entrance.	3-4280-S
opening, source / a mask.	19-639-S
opening.	12-2572-S,12-2595-S
openly, clearly, candidly.	20-2114-B
openly, frankly.	13-5959-S,20-2149-B
openly, publicly, (+abl.) in the presence of.	20-2173-B
openly.	37-3670-S
openness.	13-5655-S
operation, military force, expedition.	18-4560-S
opinion of.	6-2024-S
opinion, decision, saying.	24-1446-S
opinion, doubt.	32-1507-S
opinion, judgment.	20-2225-B
opinion, report, rumor, conjecture, report.	20-2252-B
opinion, thought, way of thinking, meaning, purpose.	20-2303-B
opinion, trial.	16-6459-S
opinion,.	35-1496-S
opponent	20-2366-B
opponent.	20-2429-B,21-587-S
opportune	20-2451-B
opportune, fit, convenient, suitable.	20-2483-B
opportunely	20-2532-B
opportunely, conveniently.	1-4584-S
opportunity	20-2562-B
opportunity /event.	3-4505-S
opportunity, capacity, ability, stock.	21-3961-S
opportunity, comfort.	9-2484-S
opportunity, convenience, use.	26-479-S
opportunity, event.	27-3768-S
opportunity, resources.\, abundance.	12-5069-S
opportunity.	9-2539-S,12-4647-S,20-2605-B,21-3912-S
oppose /help, remedy.	1-1903-S
oppose verbally, gainsay.	37-3576-S
oppose, be opposite.	37-86-S
oppose, defend, stand against.	35-47-S
oppose, resist, fight back.	35-87-S
oppose, work against.	34-7852-S
