slaughter.	33-6623-S,37-2575-S,37-2596-S
slave to, serve.	1-1712-S
slave, serf.	24-1904-S
slave, serve, be devoted to.	28-3128-S
slave.	10-3824-S,24-2022-S,24-5642-B,28-6373-S
slavery, service /an extablishment of slaves.	24-2066-S
slavery.	24-2133-S,42-3443-S
slaves and prisoners).	15-6613-S
slaves.	4-1775-S,24-2066-S
slay, butcher, massacre, slaughter.	33-6623-S
slay, fight, punish, afflict.	34-3992-S
slay, kill, slaughter.	37-2596-S
slay, put to death.	33-6740-S
slay.	33-6684-S,33-6774-S,37-2631-S,37-2645-S
sleek /flowering.	7-3336-S
sleek, /fertile.	12-4081-S
sleek, flourish.	37-1284-S
sleek.	29-548-S,29-791-S,33-1351-S
sleep / a dream.	22-3258-S
sleep, be at ease / stop (doing something).	36-3743-S
sleep, slumber, siesta, nap.	37-2661-S
sleep.	10-2250-S,24-5659-B
sleepily, drowsily.	24-5673-B
sleepiness, coma.	11-2487-S
sleeping chamber.	6-5304-S
sleeping, undisturbed / neutral / quiet, calm.	23-1532-S
sleepy, drowsy.	24-5705-B
slender, meager.	27-2385-S
slender.	27-2415-S
slick.	20-293-S
slide forward, slip forward, fall forward, fall down.	37-2700-S
slide.	37-2821-S
sliding, gradual movement.	12-3491-S
sliding.	4-298-S
slight stain, minor disgrace.	4-257-S
slight value, take lightly.	4-4570-S
slight, feeble, slim, slender.	27-2415-S
slight, poor.	27-2459-S
slight, trivial /beardless, bald /light-armed.	17-4061-S
slight.	24-5734-B
slighter.	24-6349-S
slightest.	17-2780-S
slightly.	17-4164-S
slim, slender.	27-2415-S
slime, poison.	41-65-S
slip away, escape.	32-6892-S,37-2766-S
slip away, fall apart.	29-3219-S
slip away.	31-2192-S,37-2354-S
slip forward, fall forward, fall down.	37-2700-S
slip through.	37-2795-S
slip, glide, slide.	37-2821-S
slip, lose, pardon.	34-2009-S
slip.	17-3362-S,23-3508-S
slippery, slick.	20-293-S
slippery.	39-4780-S
slipping or sliding.	4-298-S
slope, decline.	2-2811-S
slopes.	24-5752-B
sloping down.	21-3120-S
sloping.	24-5770-B
slothful.	24-5786-B
slough.	7-1506-S,21-1320-S
slow down, obstruct.	33-4859-S
slow of mind, stolid.	24-5803-B
slow, a little slow.	22-4145-S
slow, dull.	17-2481-S,25-6108-S
slow, late, tardy.	24-5834-B
slow, lingering.	17-3379-S
slow.	22-4145-S
slowly away, decline in health.	39-1338-S
slowly, bit by bit, gradually, by degrees.	24-5860-B
slowly, calmly, cooly, deliberately.	24-5910-B
slowly.	18-0-S
slowness, sluggishness / apathy.	24-5953-B
sluggish cowardly, a coward.	17-2421-S
sluggish, inert, numb, inactive, immoveable.	28-6315-S
sluggish.	24-5996-B,24-6012-B,24-6029-B
sluggishness / apathy.	24-5953-S
slumber, siesta, nap.	37-2661-S
sly, deceitful.	9-4400-S
sly.	8-3732-S,24-6046-B
slyly, deceitfuly.	24-6060-B
slyly, subtly.	24-5197-S
smack, knock, hit.	28-7612-S
