spot, place.	3-6939-S
spot. [monastery].	21-1801-S
spot/ blemish, fault, flaw.	25-3487-S
spotless, without stain.	22-1898-S
spotless.	25-2890-B
spotlessly, purely, uprightly, chastely.	22-2030-S
spotted, speckled, poluted.	25-2906-B
spouse.	41-5522-S
spread /arise, emanate, originate.	32-3700-S
spread about, spread news / harrass, disturb.	37-4184-S
spread abroad.	37-4241-S
spread around, made known.	25-2944-B
spread news / delay, defer, postpone.	37-4269-S
spread news / harrass, disturb.	37-4184-S
spread out beneath, lay under, set out, provide.	37-4318-S
spread out, extend, expand, increase.	37-4380-S
spread out, extend.	37-6317-S
spread out, extended, wide, copious.	2-1734-S
spread out.	37-4428-S,37-4451-S
spread over.	7-3646-S
spread, pour forth, scatter.	37-4476-S
spread, propagate.	37-4517-S
spread, publish, impart, make accessible.	37-4551-S
spread.	23-6342-S,33-5043-S
spreading abroad.	22-1694-S
spreading happiness.	14-1877-S
sprig.	21-2218-S
spring / fresh water / source, origin.	13-4943-S
spring forth, arise.	1-7901-S
spring forth, bound forth.	37-4602-S
spring forth.	28-4082-S
spring up, burst forth.	37-4640-S
spring up, issue, appear, come forward.	36-4620-S
spring up, leap up.	37-4676-S
spring up.	39-3638-S
spring, little fountain.	24-6251-S
spring, the production of spring.	25-2985-B
spring.	25-2985-S,25-3030-B
springing from, coming from.	5-5626-S
springs, warm baths.	41-1270-S
sprinkle, bestrew.	37-4708-S
sprinkle, cover.	37-4740-S
sprinkle, splash.	3-1759-S
sprinkle.	35-7394-S
sprout, burgeon.	24-3477-S
sprout, offspring, progeny.	24-3512-S
sprout, twig, sprig.	21-2218-S
sprout.	24-3555-S
spruce tree.	27-858-S
sprung from /son.	7-2372-S
spur on.	37-4768-S
spur, inspire, increase /hasten, urge on.	31-6961-S
spur.	25-3042-B
spurn.	36-6294-S,37-4787-S
spy.	14-4283-S
sqeamishness.	10-6310-S
squadron /part of line of battle /sails, oars.	41-6030-S
squalling.	25-3060-B
squander money /slander someone.	38-2511-S
squander, waste.	39-1206-S
squander.	31-772-S,31-4692-S
square, a square.	25-3079-B
square.	4-737-S,18-2100-S,25-3079-S
squatter, land-grabber.	2-4714-S
squeamish, dainty, fastidious.	25-3107-B
squeeze, press down, strike down.	25-3150-B,37-4806-S
st. eligius.	25-3190-B
st. gilles.	25-3223-B
st. james.	25-3251-B
