stutter, stammer /speak obscurely.	37-7188-S
stuttering, fumbling.	25-3547-S
stylus for writing /writing.	3-6667-S
stylus.	3-6589-S
subdue, break in.	38-2151-S
subdue, overpower, press against, take by surprise.	37-7235-S
subdue, subjugate.	39-3434-S
subdue, take by storm, gain.	29-5914-S
subdue.	37-7298-S
subj clause] to be better, preferable.	3-794-S
subj.) (command) to, that.	1-2689-B
subj.) (purpose) in order that, to, that.	1-2722-B
subj.) (result) so that, that.	1-2770-B
subj.) in such a way that,.	2-10085-S
subj.) just as if.	6-141-S
subj.) provided.	1-7509-S
subj.=take care that.	3-1985-S
subj.] because.	5-776-S
subj.] rather, let, verily.	3-844-S
subject /put next to, add.	35-7097-S
subject to tribute.	25-6153-B
subject to, comply with.	28-6596-S
subject to.	37-7317-S
subject, subordinate.	34-1737-S
subject, topic, theme.	25-6185-B
subject.	25-6214-B,25-6252-S,28-5523-S,37-7357-S
subjected.	25-6232-B
subjugate, enthrall, defeat.	30-3361-S
subjugate, subject.	25-6252-B
subjugate.	39-3434-S
subjunctive of sum) you may be.	1-3187-S
subjunctive) when, as, while, since, although.	2-10126-S
sublime.	17-5236-S
sublimity.	17-5163-S
submission.	16-2449-S
submit /raise, rear, make grow.	2-9123-S
submit to, be inferior to.	1-1538-S
submit to.	27-4524-S
submit, etc. etc.	28-534-S
submit.	37-7377-S
subordinate.	34-1737-S,37-7394-S
suborn.	32-5139-S
subs.) a wise man, philosopher.	2-9364-B
subscription, signature / register.	25-6278-B
subsequent, following, next, future.	25-6325-B
subside.	30-4845-S,32-754-S
subsistence, property.	25-6381-S
subst, chief.	12-2333-S
substance, essence, means of subsistence, property.	25-6381-B
substance, matter.	18-2658-S
substances, heterogenous.	8-5800-S
substitute, forge.	35-6718-S
substitute.	33-4773-S
subtly.	24-5197-S
subtract.	38-1151-S
succeed in (doing something).	28-3174-S
succeeding generations, offspring, posterity.	26-0-B
succeeding, succession, descent, descendant.	26-57-B
success, fate, event, occurrence.	20-4124-S
success.	14-53-S,26-112-B,27-40-S,40-6118-S
successfully.	35-4736-S
succession, descent, descendant.	26-57-S
succession.	26-133-B,28-754-S
successively.	21-23-S
succor, relieve, help, assist.	30-1372-S
