team of oxen, a pair /bond, union /slavery.	42-3443-S
team.	13-5112-S
tear	26-3244-B,26-3262-B,26-3282-B,26-3301-B,26-3320-B,26-3340-B
tear apart /pillage, devastate, lay waste.	36-7761-S
tear apart, away, untie.	38-2249-S
tear away, tear off.	38-2285-S
tear down .	38-2316-S
tear down, snatch away.	38-2339-S
tear in pieces, lay waste, devastate, plunder.	38-2374-S
tear in pieces.	38-2432-S
tear off.	38-2285-S
tear out, pluck out / turn out, result.	38-2461-S
tear to pieces, mangle /squander money /slander someone.	38-2511-S
tear to pieces.	35-3081-S,38-2578-S
teardrop	26-3359-B,26-3381-B
tearful	26-3404-B,26-3432-B,26-3461-B
tearful, mournful, shedding tears,.	26-3491-B
tearfully	26-3538-B,26-3572-B
tearing	26-3610-B
tearing apart.	24-1684-S
tearing, mangling.	4-800-S
tearing, ripping, mangling, mutilating.	4-831-S
tearless	26-3633-B,26-3660-B
tearlessly	26-3694-B
tears	26-3727-B,26-3747-B,26-3768-B,26-3787-B,26-3809-B
tears /exudations from some plants.	26-3828-B
tears /exude, drip.	39-1853-S
tears, sob.	39-1817-S
tears,.	26-3491-S
tears.	30-5200-S,41-2532-S
tease	26-3872-B,26-3893-B,26-3915-B
tease.	42-2428-S
teasel	26-3934-B
teases	26-3956-B,26-3976-B,26-3998-B
teat	26-4016-B,26-4035-B
teat, breast, nipple.	26-4052-B
teats	26-4082-B,26-4103-B
teazel	26-4122-B
technique, conduct, character.	1-6955-S
teetch.	32-7199-S
teeth, bruise, crush, grind.	32-7148-S
teeth, crush, bruise, grind.	14-2349-S
teeth.	34-8075-S
tell it to these (policemen).	2-6667-S
tell it to those (marines).	2-3797-S
tell someone to do.	35-206-S
tell us we're too young.	40-4122-S
tell, declare.	36-6112-S
tell, propose, promise.	11-58-S
tell, relate, and much else.	29-6770-S
tell, speak, name, call, pronounce.	1-8478-S
telling.	39-6420-S
temerity, boldness.	22-4105-S
temerity.	26-4142-B
temper, regulate, mitigate.	34-6468-S
temper.	26-2740-S
temperate.	11-2647-S
tempest, gale; (milit) charge, onset, wave.	25-4744-S
tempest.	26-4160-B
tempestuous.	26-4178-B
