when.	2-10057-S
whence, from where /how, from whom.	41-3952-B
where /how, from whom.	41-3952-S
where four roads meet.	9-5399-S
where the body is curved backward.	3-4119-S
where two ways meet.	21-1767-S
where, seeing that.	15-4130-S
where.	1-4981-S,39-2324-S
whereas, because.	24-4630-S
whereas, the point that, the fact that.	6-5044-S
whereas.	41-3902-S
whereby, whereas.	41-3902-S
wherefore, why, because of which thing.	41-3993-B
wherefore.	41-4039-B,41-4973-S
wherefore? why? for which reason.	41-4061-B
wherein, whereby, whereas.	41-3902-S
wherewith.	2-8862-S
whether .. or.	41-4118-B
whether.	41-4144-B
whetstone.	41-4159-B
which (province) did you live?.	2-1238-S
which account, why.	13-2873-S
which can be imitated,.	26-4621-S
which he died.	2-5952-S
which he lived.	2-4102-S
which he owed his crown.	2-59-S
which he was executed.	2-5287-S
which he was intered.	2-3377-S
which he won rome.	2-5175-S
which is entrusted.	40-715-S
which is stated).	37-4907-S
which is woven, cloth, tissue.	4-1593-S
which killed so many.	2-6498-S
which place, to what place, whither, where.	39-2324-S
which reason, on which account, why.	13-2873-S
which reason.	41-4061-S
which route, where.	1-4981-S
which spins.	15-4859-S
which the lord loved.	2-1073-S
which the pirates were known.	1-9342-S
which there were not a few.	2-5349-S
which thing.	41-3993-S
which was great.	2-6370-S
which was ill.	2-3440-S
which we know.	2-128-S
which we must have.	2-5232-S
which will endure, abide.	26-4661-S
which you cannot drink dry.	2-6146-S
which, what, that.	41-4174-B
which.	42-894-S
which? what?.	41-4214-B
which?.	2-8949-S
whichever of the two you wish.	41-4258-B
whichever of the two.	41-4299-B
while ago, some time ago.	13-2403-S
while, a long while ago, some time ago.	13-2403-S
while, as long as, until.	41-4332-B
while, for a bit.	13-2483-S
while, for a short time.	13-2355-S
while, long time, for a long time.	4-6571-S
while, since, although.	2-10126-S
while.	40-3817-S
whim, caprice, violent desire, passionate longing.	41-4362-B
whimper.	30-2075-S
whine, gripe.	30-1997-S
whine, whimper.	30-2075-S
whining, lamenting.	8-5409-S
whining.	8-5364-S
whip, flog.	34-0-S
whip, scourge.	41-4420-B
whirl.	39-2375-S
whirling motion, whirlwind, whirlpool.	41-4444-B
whirlpool.	41-4444-S,41-4489-B,41-4510-B
whirlwind, whirlpool.	41-4444-S
whiskers.	6-4417-S
whisper, buzz.	39-2391-S
white, snowy.	41-4528-B
white.	7-3384-S,8-1486-S,18-4637-S,29-190-S,41-4549-B
whitewash.	35-6156-S
whither, where.	39-2324-S
who carves food.	20-1508-S
who causes something.	21-6328-S
who fattens fowls.	20-1537-S
who fight from a chariot.	20-1567-S
who gives evidence, witness, spectator / testicle.	20-1608-S
who goes bond, suretor.	20-1670-S
who have ears to hear .	2-194-S
who have eyes to see..	2-3497-S
who is on his guard/ one who goes bond, suretor.	20-1670-S
who kisses.	20-1730-S
who knows more than you? i do!.	1-3600-S
who lies in wait.	20-1755-S
who lives by that (the sword)..	2-958-S
who lives by this (the sword)..	2-1016-S
who loved a milkmaid.	2-3098-S
who loved a prince.	2-1474-S
who makes a pattern.	5-5893-S
who pleads on behalf.	16-4626-S
who provides for, or against.	20-1788-S
who prunes grape vines).	40-6569-S
who punishes, reproves, corrects.	20-1831-S
who retires / a predecessor.	25-905-S
who seizes land, squatter, land-grabber.	2-4714-S
who takes chances.	10-4956-S
who was born of the word (christ).	15-644-S
who, what.	41-4562-B
who?, what?, which?.	2-8949-S
whoever, whatever, whatsoever, anything at all.	41-4590-B,41-4647-B
whole octave.	41-4704-B
whole, entire, complete, all.	41-4727-B
whole, entire.	8-4583-S
whole, missing a part.	18-951-S
whole, safe.	41-4763-B
whole, sum.	26-5820-S
whole, total, universe, world /university.	27-1202-S
whole, untouched, unhurt, undamaged /complete, entire.	41-4784-B
whole.	5-1822-S
wholeheartedly.	29-940-S
wholeness.	23-5424-S
wholesome, expedient, serviceable.	23-5271-S
wholly, certainly, completely.	5-2769-S
wholly, entirely.	1-5858-S
wholly, fully.	1-5055-S
wholly.	9-4025-S,13-4586-S,30-6698-S
whom did you give it?.	2-4528-S
whom he accused of treachery.	2-3319-S
whom he struggled.	2-0-S
whom he was attacked when old.	2-3251-S
whom she was advised.	2-898-S
whom the cattle belonged.	2-6303-S
whom the king struck.	2-4278-S
