obsum	33-3757-B
obtempero	34-7422-B
obtero	29-4831-B
obtestor	28-1910-B,33-4916-B
obtineo	32-5385-B,33-4226-B
obtundere[verb]	26-3893-B
obtundit[verb]	26-3976-B
obtutu	35-0-S
obtutus	14-995-B
obviam	1-5917-B,20-988-B
obviam ire	1-1903-B
obvio	31-5103-B
obvius	20-928-B
obvolvo	34-7120-B,39-3190-B
occasio	12-4647-B,20-2605-B
occasum	32-1344-S
occasus	24-2291-B,26-868-B
occatio	14-5841-B
occidi, occasum	32-1344-S
occidio	24-5613-B
occido	33-6794-B
occido, occidi, occasum	32-1344-B
occisor	19-1031-B
occludo	30-675-B
occulco	38-4882-B
occulte	24-624-B
occulto	33-3652-B
occultus	15-1993-B
occumbo	32-1448-B,32-1490-B
occupo	34-7790-B,38-1632-B
occuro	34-7914-B
occurro	33-447-B,34-7852-B
occursus	3-6161-B
ocius	22-3135-B
oculi, -orum (m.)[noun]	12-2512-B
oculus	12-2500-B
oculus, -i (m.)[noun]	12-2474-B
odio	33-2892-B
odium	15-122-B
odium[noun]	4-3454-B
odorifera	13-5350-B
odorus	16-6984-B
oestrus	15-3561-B
of	17-3878-S
of an umbrella)[noun]	24-2586-S,24-2668-S
of atque)[conjunction]	7-4438-S
offa	17-6305-B
offendo	25-5993-B,31-2300-B,33-6958-B
offensio	8-807-B,25-5405-B
offensus	8-4399-B,19-6398-B
offero	29-3863-B
officina	42-2343-B
officiose	9-3639-B
officiosus	23-1381-B
officium	11-3104-B,19-6555-B
olim	6-1358-B,20-1075-B
olympus	15-1309-B
omitto	34-2009-B,34-8152-B
omnifariam	15-6731-B
omnigenus	19-5682-B
omnimodus	40-2019-B
omnino	5-2769-B
omnipotens	5-2088-B
omnis	5-1864-B
oneratus	17-5063-B
onero	34-3009-B
onis	11-3757-S,12-2541-S,12-2702-S,14-4849-S
onis (f)[noun]	14-4749-S
onis (f.)[noun]	5-228-S,8-6189-S
onis (m)[noun]	14-4646-S
onus	17-5001-B
onustus	7-4132-B
opera	42-2280-B
operae pretium est	16-6094-B
operam do	34-200-B
operatio	42-2306-B
opere	40-5847-S
operis	42-2218-S
operor	28-3555-B,39-3093-B
opes	2-7745-B
opilio	24-3338-S
opimus	25-2629-B
opinio	20-2252-B,23-4629-B
opinor	6-2024-B
opisthotonos	3-4119-B
oporotheca	21-1731-B
oportet	15-5766-B,16-5807-B,16-5866-B,16-5902-B
oportunitas	9-2539-B
oppida[noun]	39-4439-B
oppidum	2-1651-B
oppidum[noun]	39-4403-B
oppono opposui oppositum	37-86-B
opportune	1-4584-B,13-595-B
opportune[adverb]	20-2532-B
opportunitas	13-612-B
opportunitas, -atis (f.)[noun]	20-2562-B
opportunus	13-532-B,18-3762-B,20-2483-B
opportunus[adjective]	20-2451-B
oppositum	37-86-S
oppositus, -us (m.)	20-2686-B
opposui oppositum	37-86-S
oppressi oppressum	38-281-S
oppressum	38-281-S
opprimo	37-7235-B
opprimo oppressi oppressum	38-281-B
opprobrium	23-595-B
opprobrium, -i (n.)[noun]	20-2784-B
oppugno	32-2329-B,39-890-B
ops	6-622-B,24-4762-B
optatus	17-5475-B
optimates	18-713-B,26-4977-B
optime	5-6289-B
optimus	20-1432-B
opto	31-500-B,39-2681-B
opulens	23-2485-B
opulente, opulenter	23-2705-B
opulenter	23-2705-S
opulentia	23-2610-B,41-1988-B
opulentus	41-2066-B
opus	10-2232-B
opus operis	42-2218-B
opusculus	3-6012-B
or copulor	30-4380-S
or cottidie)[adverb]	10-570-S
or quam	10-5110-S
or summus	4-3858-S
or...")[conjunction]	20-2859-S
ora	11-3826-B,22-5785-B,24-170-B
oraculum	4-443-B
orare[verb]	21-4487-B
oratio	21-4704-B,25-2168-B
orationem habere[verb]	21-4812-B
orationem habet[verb]	21-4914-B
orator	20-2980-B
oratorie	20-3081-B
oratorius	20-3049-B
oratu	1-3650-B
orbis	8-2887-B,42-2370-B
orbis lacteus	27-279-B
orbis signifer	27-1379-B
orbis terrarum	27-1342-B
orbita	4-1705-B
orbitas	6-6300-B
orbus	10-3395-B,10-4380-B
orca	3-6829-B
orchadis	4-1392-S
orchas, orchadis	4-1392-B
orchestra	27-1406-B
orcus	27-166-B
ordeum	6-3780-S
ordinarius	4-4443-B
ordinatim	22-6037-B
ordinatio	23-4472-B
ordinatus	5-5864-B
ordine, ordinem	22-5985-B
ordinem	22-5985-S
ordino	1-6799-B
ordior, ordiri, orsus	29-587-B
ordiri, orsus	29-587-S
ordo	22-3728-B
ore, -ori)[adjective]	19-856-S
orexis	5-5052-B
organum	16-4270-B
orgia	3-4582-B
ori)[adjective]	19-856-S
orichalcum	9-2797-B
oriens	23-3074-B
orientales	11-3690-B
originis	20-3511-S
origis	14-1009-S
origo, originis	20-3511-B
orior	23-2990-B,28-3992-B
orior oriri ortus	23-3026-B
