gelamen	6-378-B
gelide	8-4347-B
gelidus	8-4298-B,15-5170-B
gelo	32-4982-B
gelu	13-6768-B
gelus	15-5114-B
gemblacensis	14-1053-B
gemino	31-3079-B
geminus	39-6589-B
gemitus	14-3963-B
gemma	14-1042-B
gemo	37-2093-B
gen. abbatis[noun]	4-3073-S,4-3194-S
gen. deminutionis[noun]	4-2573-S
gen. desertoris[noun]	4-2281-S
gen. destitutionis[noun]	4-2354-S
gen. perturbationis[noun]	4-2784-S
generasco	28-5718-B
generatim	7-5109-B
genero	29-357-B,31-5289-B
generose	19-3204-B
generositas	3-206-B
generosus	19-5983-B
genetrix	19-324-B
genialis	17-6383-B
genitalis	13-7026-B
genitor	24-4836-B
genitus	24-4859-B
gens	8-3276-B,19-1434-B
gentilitas	15-1219-B
genuit)	29-3788-S
genus	8-3375-B,17-453-B
genus hominum	15-4627-B
germen	20-0-B
gero	27-5327-S,29-6706-B,30-2753-S,33-3240-B,38-4909-B
gero)	8-67-S,8-180-S
gerulus	18-4192-B
gestio	27-4325-B
gesto	29-6678-B
gestum (gero)	8-67-B,8-180-B
gigno (genuit)	29-3788-B
gingiber	14-1614-B
glacialis	15-5134-B
glacies	15-5101-B
gladium[noun]	18-332-B
gladius	26-2204-B,26-2219-B
gladius[noun]	26-2064-B
gleba	25-546-B
gloria	12-3657-B
glorifico	32-7032-B
glorificus	14-2113-B
glorior	32-7068-B,35-4993-B
gluten	14-2292-B
gluto	14-2305-B
gluttio	38-727-B
gnare	12-2104-B
gnaritas	17-777-B
gnarus	17-700-B,24-5149-B
gradior	30-2710-B
gramen	14-3393-B
grandaevus	20-439-B
grandis	14-3666-B
grano, onis	14-4849-B
grassor	14-2435-B,35-7377-B
gratanter	42-732-B
grate	13-5991-B
gratia	2-2357-B,14-3048-B,14-3407-B,16-259-B
gratia agere	1-2211-B
grator	34-5783-B
gratuita	14-3143-B
gratulatio	27-4286-B
gratulor	36-1921-B,39-2562-B
gratus[adjective]	41-3105-B
gravatus	24-3843-B
gravida	21-5280-B
gravis	7-4157-B,15-1523-B
gravis[adjective]	41-2989-B
gravitas	41-2881-B
graviter	15-1473-B
gravitus[noun]	41-2837-B
gravo	35-127-B
gregatim	4-6834-B,16-723-B
gressus	20-5036-B
grex	9-5451-B
gubernaculum	15-1770-B
gubernatio	10-5659-B
gubernatio-ionis	12-2659-B
gurges	41-4510-B
gusto	38-2233-B
gutter	19-1924-B
habenae	14-3021-B
habeo habui habitum	33-3260-B
habere	33-3086-S,33-6551-S
habere[verb]	21-4812-S
habet[verb]	21-4914-S
habilis	26-572-B
habitatio -onis (f)[noun]	14-4749-B
habito	31-4491-B,33-2984-B
habitudo	8-6469-B
habitum	33-3260-S
habitus	11-140-B,11-2239-B
habui habitum	33-3260-S
hac	2-1016-B,27-2807-B
hactenus	15-2636-B
